@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,2,1,6,1,3,1,0.25,6,T1,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,6,T7,V,2,2,0,no
1,2,1,6,1,3,1,0.25,6,T7,V,2,2,0,no
1,2,1,6,1,3,1,0.25,6,T7,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,6,T7,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,6,T7,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,6,T10,V,2,2,0,no
1,2,1,6,1,3,1,0.25,6,T12,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,6,T12,V,2,2,0,no
1,2,1,6,1,3,1,0.25,6,T12,V,2,2,0,yes
1,2,1,6,1,3,1,0.25,3,T1,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T7,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T7,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T7,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T10,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T12,V,1,2,0,yes
1,2,1,6,1,3,1,0.25,3,T12,V,1,2,0,no
1,2,1,6,1,3,1,0.25,3,T12,V,1,2,0,yes
1,2,3,11,1,3,1,0.25,0,T1,V,0,0,0,no
1,2,3,11,1,3,1,0.25,6,T1,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T6,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T6,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T7,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T7,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T7,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T8,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T8,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,3,T10,V,1,5,0,yes
1,2,3,11,1,3,1,0.25,6,T10,V,2,9,0,yes
1,2,3,11,1,3,1,0.25,6,T10,V,2,9,0,yes
