@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T1,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T3,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,no
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,1,9,1,1,0,0,3362,T12,V,60,242,2,yes
1,0,2,5,2,1,0,0,0,T1,V,0,0,2,no
1,0,2,5,2,1,0,0,14516,T6,V,53,217,2,yes
1,0,2,5,2,1,0,0,14516,T8,V,53,217,2,yes
1,0,3,13,3,1,0,0,3224,T1,V,60,242,2,yes
1,0,3,13,3,1,0,0,3252,T6,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T6,V,60,242,2,yes
1,0,3,13,3,1,0,0,6247,T6,V,35,167,2,yes
1,0,3,13,3,1,0,0,3224,T7,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T7,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T7,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T7,V,60,242,2,yes
1,0,3,13,3,1,0,0,6247,T7,V,35,167,2,yes
1,0,3,13,3,1,0,0,2,T7,V,1,1,2,yes
1,0,3,13,3,1,0,0,3252,T8,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T8,V,60,242,2,yes
1,0,3,13,3,1,0,0,6247,T8,V,35,167,2,yes
1,0,3,13,3,1,0,0,2,T10,V,1,1,2,yes
1,0,3,13,3,1,0,0,3224,T10,V,60,242,2,no
1,0,3,13,3,1,0,0,3224,T10,V,60,242,2,yes
1,0,3,13,3,1,0,0,3224,T12,V,60,242,2,no
1,0,14,49,4,1,0,0,428,T0,V,38,176,2,yes
1,0,14,49,4,1,0,0,18708,T0,V,43,190,2,no
1,0,14,49,4,1,0,0,6236,T0,V,43,190,2,no
1,0,14,49,4,1,0,0,8,T1,V,2,0,2,yes
1,0,14,49,4,1,0,0,2,T1,V,1,5,2,yes
1,0,14,49,4,1,0,0,2,T1,V,1,5,2,yes
1,0,14,49,4,1,0,0,6220,T1,V,38,176,2,yes
1,0,14,49,4,1,0,0,16,T1,V,6,19,2,yes
1,0,14,49,4,1,0,0,428,T2,V,38,176,2,yes
1,0,14,49,4,1,0,0,18708,T2,V,43,190,2,yes
1,0,14,49,4,1,0,0,428,T3,V,38,176,2,yes
1,0,14,49,4,1,0,0,18708,T3,V,43,190,2,yes
1,0,14,49,4,1,0,0,6236,T3,V,43,190,2,yes
1,0,14,49,4,1,0,0,6220,T3,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T3,V,38,176,2,yes
1,0,14,49,4,1,0,0,6218,T3,V,38,176,2,no
1,0,14,49,4,1,0,0,16,T3,V,6,19,2,yes
1,0,14,49,4,1,0,0,12424,T5,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T5,V,38,176,2,yes
1,0,14,49,4,1,0,0,6236,T5,V,43,190,2,yes
1,0,14,49,4,1,0,0,6236,T5,V,43,190,2,yes
1,0,14,49,4,1,0,0,6218,T5,V,38,176,2,no
1,0,14,49,4,1,0,0,6246,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,6238,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,6238,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,428,T6,V,38,176,2,yes
1,0,14,49,4,1,0,0,286,T6,V,38,176,2,yes
1,0,14,49,4,1,0,0,284,T6,V,38,176,2,yes
1,0,14,49,4,1,0,0,18708,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,12472,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,12436,T6,V,38,176,2,yes
1,0,14,49,4,1,0,0,6236,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,6220,T6,V,38,176,2,yes
1,0,14,49,4,1,0,0,6236,T6,V,43,190,2,no
1,0,14,49,4,1,0,0,6236,T6,V,43,190,2,yes
1,0,14,49,4,1,0,0,6246,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,6246,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,6238,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,286,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,2,T7,V,1,5,2,yes
1,0,14,49,4,1,0,0,2,T7,V,1,5,2,yes
1,0,14,49,4,1,0,0,2,T7,V,1,5,2,no
1,0,14,49,4,1,0,0,284,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,284,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12472,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,12436,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,12424,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6236,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,6236,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6220,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,6218,T7,V,38,176,2,yes
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,no
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,no
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,yes
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,yes
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,yes
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,yes
1,0,14,49,4,1,0,0,16,T7,V,6,19,2,yes
1,0,14,49,4,1,0,0,6236,T7,V,43,190,2,yes
1,0,14,49,4,1,0,0,77,T7,V,10,66,2,yes
1,0,14,49,4,1,0,0,6246,T8,V,43,190,2,yes
1,0,14,49,4,1,0,0,6238,T8,V,43,190,2,yes
1,0,14,49,4,1,0,0,6238,T8,V,43,190,2,yes
1,0,14,49,4,1,0,0,286,T8,V,38,176,2,yes
1,0,14,49,4,1,0,0,284,T8,V,38,176,2,yes
1,0,14,49,4,1,0,0,12472,T8,V,43,190,2,yes
1,0,14,49,4,1,0,0,12436,T8,V,38,176,2,no
