@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,66,5,35,2,130,6,0.044,16,T6,V,5,0,0,yes
1,66,5,35,2,130,6,0.044,6,T6,V,3,0,0,yes
1,66,5,35,2,130,6,0.044,0,T6,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T6,V,0,0,0,no
1,66,5,35,2,130,6,0.044,16,T7,V,5,0,0,no
1,66,5,35,2,130,6,0.044,16,T7,V,5,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T7,V,0,0,0,no
1,66,5,35,2,130,6,0.044,16,T8,V,5,0,0,yes
1,66,5,35,2,130,6,0.044,6,T8,V,3,0,0,no
1,66,5,35,2,130,6,0.044,0,T8,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T8,V,0,0,0,no
1,66,5,35,2,130,6,0.044,10,T10,V,2,0,0,no
1,66,5,35,2,130,6,0.044,6,T10,V,3,0,0,yes
1,66,5,35,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,5,35,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,3,23,2,130,6,0.044,6032368,T6,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T6,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T7,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T7,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T7,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T7,V,18,13,0,no
1,66,3,23,2,130,6,0.044,6032368,T7,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,20063,T7,V,10,12,0,yes
1,66,3,23,2,130,6,0.044,6032368,T8,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,6032368,T8,V,18,13,0,yes
1,66,3,23,2,130,6,0.044,0,T10,V,0,0,0,no
1,66,3,23,2,130,6,0.044,6012305,T10,V,14,13,0,yes
1,66,3,23,2,130,6,0.044,20063,T10,V,10,12,0,yes
1,66,3,23,2,130,6,0.044,20063,T10,V,10,12,0,yes
1,66,3,23,2,130,6,0.044,20063,T10,V,10,12,0,yes
1,66,3,15,2,130,6,0.044,10040678,T6,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,6032522,T6,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,10040678,T7,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,10040678,T8,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,6032522,T8,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,4008156,T10,V,24,24,0,yes
1,66,3,15,2,130,6,0.044,154,T10,V,52,27,0,yes
1,66,3,15,2,130,6,0.044,6032368,T10,V,18,13,0,yes
1,66,1,6,1,130,6,0.044,6012459,T1,V,52,27,0,yes
1,66,1,6,1,130,6,0.044,6012459,T10,V,52,27,0,yes
1,66,1,5,1,130,6,0.044,6,T1,V,3,0,0,yes
1,66,1,5,1,130,6,0.044,6,T10,V,3,0,0,yes
1,66,3,10,2,130,6,0.044,0,T6,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T6,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T7,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T8,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T8,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T9,method,0,0,0,no
1,66,3,10,2,130,6,0.044,0,T9,method,0,0,0,no
1,66,1,4,1,130,6,0.044,10,T7,method,2,0,0,no
1,66,1,4,1,130,6,0.044,10,T9,method,2,0,0,yes
1,66,1,4,1,130,6,0.044,20177157,T9,method,40,25,0,yes
1,66,1,3,1,130,6,0.044,8002,T7,method,2,13,0,yes
1,66,1,3,1,130,6,0.044,8002,T9,method,2,13,0,yes
1,66,2,6,1,130,6,0.044,14,T6,method,1,0,0,no
1,66,2,6,1,130,6,0.044,14,T7,method,1,0,0,no
1,66,2,6,1,130,6,0.044,0,T7,method,0,0,0,no
1,66,2,6,1,130,6,0.044,14,T8,method,1,0,0,no
1,66,2,6,1,130,6,0.044,14,T9,method,1,0,0,no
1,66,2,6,1,130,6,0.044,0,T9,method,0,0,0,no
