@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,5,10,2,52,10,0.161,144,T0,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T0,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T2,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T2,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T2,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T3,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T6,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T6,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T6,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T6,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T7,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T8,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T8,method,12,52,5,no
2,0,5,10,2,52,10,0.161,144,T9,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T11,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T11,method,12,52,5,yes
2,0,5,10,2,52,10,0.161,144,T11,method,12,52,5,yes
2,0,1,4,1,52,10,0.161,39,T9,Z,2,9,5,yes
2,0,10,20,4,52,10,0.161,21063,T2,I,3,24,5,yes
2,0,10,20,4,52,10,0.161,21063,T2,I,3,24,5,yes
2,0,10,20,4,52,10,0.161,153066,T2,I,10,55,5,yes
2,0,10,20,4,52,10,0.161,2922,T3,I,10,55,5,yes
2,0,10,20,4,52,10,0.161,153066,T3,I,10,55,5,no
2,0,10,20,4,52,10,0.161,153066,T3,I,10,55,5,yes
2,0,10,20,4,52,10,0.161,546,T3,I,9,50,5,yes
2,0,10,20,4,52,10,0.161,21,T3,I,2,13,5,yes
2,0,10,20,4,52,10,0.161,351,T3,I,3,39,5,no
2,0,10,20,4,52,10,0.161,153066,T5,I,10,55,5,yes
2,0,10,20,4,52,10,0.161,21,T5,I,2,13,5,yes
2,0,10,20,4,52,10,0.161,351,T5,I,3,39,5,no
2,0,10,20,4,52,10,0.161,153066,T6,I,10,55,5,yes
2,0,10,20,4,52,10,0.161,152520,T6,I,9,54,5,yes
