@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,3,14,3,5,12,0.706,519,T0,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T1,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,519,T2,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T3,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T3,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,216,T3,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T3,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,519,T6,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T7,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T7,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T7,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,303,T7,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,216,T7,method,9,16,0,yes
3,0,3,14,3,5,12,0.706,303,T9,method,25,59,0,yes
3,0,3,14,3,5,12,0.706,519,T11,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T1,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T3,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T3,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T6,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T7,method,25,59,0,no
3,0,2,9,1,5,12,0.706,303,T8,method,25,59,0,yes
3,0,2,9,1,5,12,0.706,303,T9,method,25,59,0,yes
3,0,11,55,5,5,12,0.706,966,T0,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,966,T0,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,0,T0,method,0,0,0,no
3,0,11,55,5,5,12,0.706,246,T1,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,237,T1,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,0,T2,method,0,0,0,no
3,0,11,55,5,5,12,0.706,966,T2,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,966,T2,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,246,T3,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T3,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T3,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T3,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,237,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,966,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,18,T3,method,2,7,0,yes
3,0,11,55,5,5,12,0.706,0,T3,method,0,0,0,no
3,0,11,55,5,5,12,0.706,237,T3,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T5,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,246,T6,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T6,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,9,T6,method,2,4,0,yes
3,0,11,55,5,5,12,0.706,966,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,966,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,1068,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,1002,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,0,T6,method,0,0,0,no
3,0,11,55,5,5,12,0.706,747,T6,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T7,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,9,T7,method,2,4,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,1068,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T7,method,21,55,0,no
3,0,11,55,5,5,12,0.706,0,T7,method,0,0,0,no
3,0,11,55,5,5,12,0.706,0,T7,method,0,0,0,no
3,0,11,55,5,5,12,0.706,984,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,237,T7,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,246,T8,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,246,T8,method,22,56,0,yes
3,0,11,55,5,5,12,0.706,9,T8,method,2,4,0,yes
3,0,11,55,5,5,12,0.706,747,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,1068,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,1002,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,984,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,747,T8,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,9,T9,method,2,4,0,yes
3,0,11,55,5,5,12,0.706,237,T9,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,0,T11,method,0,0,0,no
3,0,11,55,5,5,12,0.706,966,T11,method,21,55,0,yes
3,0,11,55,5,5,12,0.706,966,T11,method,21,55,0,yes
3,0,9,58,6,5,12,0.706,219,T0,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,219,T0,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,0,T0,method,0,0,0,no
3,0,9,58,6,5,12,0.706,57,T1,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,0,T2,method,0,0,0,no
3,0,9,58,6,5,12,0.706,219,T2,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,219,T2,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,57,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,57,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,57,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,54,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,219,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T3,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,0,T3,method,0,0,0,no
3,0,9,58,6,5,12,0.706,0,T3,method,0,0,0,no
3,0,9,58,6,5,12,0.706,51,T3,method,4,5,0,no
3,0,9,58,6,5,12,0.706,51,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,51,T5,method,4,5,0,no
3,0,9,58,6,5,12,0.706,219,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,no
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T5,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,51,T5,method,4,5,0,no
3,0,9,58,6,5,12,0.706,219,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,219,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,168,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,222,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,213,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,213,T6,method,4,5,0,yes
3,0,9,58,6,5,12,0.706,213,T6,method,4,5,0,no
3,0,9,58,6,5,12,0.706,0,T6,method,0,0,0,no
3,0,9,58,6,5,12,0.706,168,T6,method,4,5,0,yes
