@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,1,1,3,1,0,1,1,19425,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19452,T3,V,24,95,1,no
2,1,3,11,2,0,1,1,19461,T0,V,24,95,1,no
2,1,3,11,2,0,1,1,19461,T0,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T1,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T1,V,24,95,1,yes
2,1,3,11,2,0,1,1,6,T1,V,2,2,1,yes
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T3,V,24,95,1,no
2,1,3,11,2,0,1,1,19461,T3,V,24,95,1,yes
2,1,3,11,2,0,1,1,19455,T3,V,24,95,1,yes
2,1,3,11,2,0,1,1,19461,T6,V,24,95,1,yes
2,1,3,11,2,0,1,1,19461,T6,V,24,95,1,yes
2,1,3,11,2,0,1,1,19455,T7,V,24,95,1,yes
2,1,3,11,2,0,1,1,19455,T7,V,24,95,1,yes
2,1,3,11,2,0,1,1,19455,T10,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,yes
2,1,1,3,1,0,1,1,19461,T12,V,24,95,1,no
2,1,3,11,2,0,1,1,19455,T12,V,24,95,1,no
2,1,3,11,2,0,1,1,19455,T12,V,24,95,1,yes
2,1,3,11,2,0,1,1,19455,T12,V,24,95,1,yes
2,1,1,4,1,0,1,1,12,T7,V,2,4,1,no
2,1,1,4,1,0,1,1,12,T7,V,2,4,1,no
2,1,1,4,1,0,1,1,12,T10,V,2,4,1,yes
2,1,1,3,1,0,1,1,219072,T3,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T3,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T6,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T6,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T7,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T8,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T8,Z,24,95,1,yes
2,1,1,3,1,0,1,1,219072,T9,Z,24,95,1,yes
2,1,1,3,1,0,1,1,2963945,T3,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T3,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T6,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T6,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T7,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T8,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T8,Z,5,20,1,yes
2,1,1,3,1,0,1,1,2963945,T9,Z,5,20,1,yes
2,1,3,15,2,0,1,1,21452,T0,I,24,95,1,no
2,1,3,15,2,0,1,1,21452,T3,I,24,95,1,no
2,1,3,15,2,0,1,1,0,T3,I,0,0,1,no
2,1,3,15,2,0,1,1,3,T3,I,1,4,1,no
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,no
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,no
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,no
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,no
2,1,3,15,2,0,1,1,21449,T3,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,no
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21449,T5,I,24,95,1,yes
2,1,3,15,2,0,1,1,21452,T6,I,24,95,1,yes
2,1,3,15,2,0,1,1,21452,T6,I,24,95,1,yes
2,1,3,15,2,0,1,1,21452,T8,I,24,95,1,yes
2,1,3,15,2,0,1,1,0,T9,I,0,0,1,no
2,1,3,15,2,0,1,1,3,T9,I,1,4,1,no
2,1,3,15,2,0,1,1,21449,T9,I,24,95,1,yes
2,1,2,11,3,0,1,1,120,T6,V,3,17,1,yes
2,1,2,11,3,0,1,1,120,T8,V,3,17,1,yes
2,1,2,11,3,0,1,1,118,T10,V,2,13,1,yes
2,1,2,11,3,0,1,1,2,T10,V,1,4,1,yes
2,1,2,11,3,0,1,1,2,T10,V,1,4,1,yes
2,1,3,9,3,0,1,1,120,T0,V,3,17,1,no
2,1,3,9,3,0,1,1,800256,T0,V,3,17,1,yes
2,1,3,9,3,0,1,1,800256,T2,V,3,17,1,yes
2,1,3,9,3,0,1,1,96,T3,V,3,17,1,yes
2,1,3,9,3,0,1,1,800256,T3,V,3,17,1,yes
2,1,3,9,3,0,1,1,96,T3,V,3,17,1,no
2,1,3,9,3,0,1,1,96,T5,V,3,17,1,no
2,1,3,9,3,0,1,1,120,T6,V,3,17,1,yes
2,1,3,9,3,0,1,1,800256,T6,V,3,17,1,yes
2,1,3,9,3,0,1,1,96,T12,V,3,17,1,yes
2,1,3,9,3,0,1,1,96,T12,V,3,17,1,no
2,1,3,9,3,0,1,1,800256,T11,V,3,17,1,yes
2,1,2,11,3,0,1,1,9,T6,method,1,12,1,no
2,1,2,11,3,0,1,1,6,T7,method,1,12,1,yes
2,1,2,11,3,0,1,1,3,T7,method,1,12,1,yes
2,1,2,11,3,0,1,1,9,T8,method,1,12,1,yes
2,1,2,11,3,0,1,1,6,T9,method,1,12,1,yes
2,1,2,11,3,0,1,1,3,T9,method,1,12,1,yes
2,1,2,11,3,0,1,1,3,T10,method,1,12,1,no
2,1,2,14,2,0,1,1,9,T3,method,1,12,1,no
2,1,2,14,2,0,1,1,9,T7,method,1,12,1,yes
2,1,2,14,2,0,1,1,9,T7,method,1,12,1,yes
2,1,2,14,2,0,1,1,9,T9,method,1,12,1,yes
2,1,2,14,2,0,1,1,0,T9,method,0,0,1,no
2,1,2,14,2,0,1,1,9,T10,method,1,12,1,yes
2,1,2,14,2,0,1,1,9,T12,method,1,12,1,yes
2,1,2,14,2,0,1,1,9,T12,method,1,12,1,yes
2,1,2,14,2,0,1,1,9,T12,method,1,12,1,no
2,1,2,14,2,0,1,1,9,T12,method,1,12,1,no
2,1,1,3,1,0,1,1,2061486,T7,I,24,95,1,yes
2,1,1,3,1,0,1,1,2061486,T9,I,24,95,1,yes
2,1,2,4,1,0,1,1,19793,T5,V,24,95,1,yes
2,1,2,4,1,0,1,1,19793,T6,V,24,95,1,yes
2,1,2,4,1,0,1,1,19793,T8,V,24,95,1,yes
2,1,2,4,1,0,1,1,19793,T12,V,24,95,1,yes
2,1,1,5,1,0,1,1,6669,T3,Z,6,43,1,yes
2,1,1,5,1,0,1,1,6669,T3,Z,6,43,1,yes
2,1,1,5,1,0,1,1,6669,T6,Z,6,43,1,yes
2,1,1,5,1,0,1,1,6669,T7,Z,6,43,1,yes
2,1,1,5,1,0,1,1,6669,T8,Z,6,43,1,yes
2,1,1,5,1,0,1,1,6669,T9,Z,6,43,1,yes
2,1,16,49,5,0,1,1,7529996,T0,Z,5,20,1,yes
2,1,16,49,5,0,1,1,4995,T0,Z,1,3,1,no
2,1,16,49,5,0,1,1,383359,T0,Z,2,5,1,no
2,1,16,49,5,0,1,1,0,T0,Z,0,0,1,no
2,1,16,49,5,0,1,1,7529996,T2,Z,5,20,1,yes
2,1,16,49,5,0,1,1,4995,T2,Z,1,3,1,yes
2,1,16,49,5,0,1,1,383359,T2,Z,2,5,1,yes
2,1,16,49,5,0,1,1,0,T2,Z,0,0,1,no
2,1,16,49,5,0,1,1,7529996,T3,Z,5,20,1,yes
2,1,16,49,5,0,1,1,5212,T3,Z,5,20,1,yes
2,1,16,49,5,0,1,1,4995,T3,Z,1,3,1,no
2,1,16,49,5,0,1,1,39,T3,Z,1,3,1,yes
2,1,16,49,5,0,1,1,399,T3,Z,1,3,1,yes
2,1,16,49,5,0,1,1,383359,T3,Z,2,5,1,no
2,1,16,49,5,0,1,1,917,T3,Z,1,3,1,yes
2,1,16,49,5,0,1,1,0,T3,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T3,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T3,Z,1,2,1,no
2,1,16,49,5,0,1,1,6570,T6,Z,5,20,1,yes
2,1,16,49,5,0,1,1,7529996,T6,Z,5,20,1,yes
2,1,16,49,5,0,1,1,10045347,T6,Z,5,20,1,yes
2,1,16,49,5,0,1,1,2521816,T6,Z,5,20,1,yes
2,1,16,49,5,0,1,1,4995,T6,Z,1,3,1,yes
2,1,16,49,5,0,1,1,5694,T6,Z,1,3,1,yes
2,1,16,49,5,0,1,1,804,T6,Z,1,3,1,no
2,1,16,49,5,0,1,1,1319,T6,Z,2,5,1,yes
2,1,16,49,5,0,1,1,920,T6,Z,2,5,1,no
2,1,16,49,5,0,1,1,383359,T6,Z,2,5,1,yes
2,1,16,49,5,0,1,1,824340,T6,Z,2,5,1,yes
2,1,16,49,5,0,1,1,441901,T6,Z,2,5,1,no
2,1,16,49,5,0,1,1,0,T6,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T6,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T6,Z,0,0,1,no
2,1,16,49,5,0,1,1,2521816,T7,Z,5,20,1,yes
2,1,16,49,5,0,1,1,441901,T7,Z,2,5,1,yes
2,1,16,49,5,0,1,1,6570,T8,Z,5,20,1,yes
2,1,16,49,5,0,1,1,10045347,T8,Z,5,20,1,yes
2,1,16,49,5,0,1,1,2521816,T8,Z,5,20,1,yes
2,1,16,49,5,0,1,1,5694,T8,Z,1,3,1,yes
2,1,16,49,5,0,1,1,804,T8,Z,1,3,1,no
2,1,16,49,5,0,1,1,1319,T8,Z,2,5,1,yes
2,1,16,49,5,0,1,1,920,T8,Z,2,5,1,no
2,1,16,49,5,0,1,1,824340,T8,Z,2,5,1,yes
2,1,16,49,5,0,1,1,441901,T8,Z,2,5,1,no
2,1,16,49,5,0,1,1,0,T8,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T8,Z,0,0,1,no
2,1,16,49,5,0,1,1,5212,T9,Z,5,20,1,yes
2,1,16,49,5,0,1,1,39,T9,Z,1,3,1,yes
2,1,16,49,5,0,1,1,399,T9,Z,1,3,1,yes
2,1,16,49,5,0,1,1,917,T9,Z,1,3,1,yes
2,1,16,49,5,0,1,1,0,T9,Z,0,0,1,no
2,1,16,49,5,0,1,1,0,T9,Z,1,2,1,no
2,1,16,49,5,0,1,1,7529996,T11,Z,5,20,1,yes
2,1,16,49,5,0,1,1,4995,T11,Z,1,3,1,yes
2,1,16,49,5,0,1,1,383359,T11,Z,2,5,1,yes
2,1,16,49,5,0,1,1,0,T11,Z,0,0,1,no
2,1,1,7,1,0,1,1,0,T1,method,0,0,1,no
2,1,1,7,1,0,1,1,0,T9,method,0,0,1,no
2,1,1,7,1,0,1,1,0,T12,method,0,0,1,no
2,1,3,16,3,0,1,1,898578,T1,method,24,95,1,yes
2,1,3,16,3,0,1,1,220387,T3,method,24,95,1,yes
2,1,3,16,3,0,1,1,220387,T5,method,24,95,1,yes
2,1,3,16,3,0,1,1,220387,T5,method,24,95,1,yes
2,1,3,16,3,0,1,1,898578,T6,method,24,95,1,yes
2,1,3,16,3,0,1,1,220388,T6,method,24,95,1,yes
2,1,3,16,3,0,1,1,220388,T7,method,24,95,1,yes
2,1,3,16,3,0,1,1,898578,T8,method,24,95,1,yes
2,1,3,16,3,0,1,1,220388,T8,method,24,95,1,no
2,1,3,16,3,0,1,1,220387,T9,method,24,95,1,yes
2,1,3,16,3,0,1,1,678191,T9,method,24,95,1,yes
2,1,3,16,3,0,1,1,220388,T12,method,24,95,1,yes
2,1,3,16,3,0,1,1,678191,T12,method,24,95,1,yes
2,1,1,8,2,0,1,1,198,T1,V,24,95,1,yes
2,1,1,8,2,0,1,1,198,T3,V,24,95,1,yes
2,1,1,8,2,0,1,1,198,T3,V,24,95,1,no
2,1,1,8,2,0,1,1,198,T10,V,24,95,1,yes
2,1,1,8,2,0,1,1,198,T10,V,24,95,1,no
2,1,1,8,2,0,1,1,198,T12,V,24,95,1,no
2,1,1,4,1,0,1,1,16365,T1,method,8,34,1,yes
2,1,1,4,1,0,1,1,16365,T9,method,8,34,1,yes
2,1,3,9,1,0,1,1,821,T3,method,8,52,1,yes
2,1,3,9,1,0,1,1,821,T5,method,8,52,1,yes
2,1,3,9,1,0,1,1,821,T5,method,8,52,1,yes
2,1,3,9,1,0,1,1,222522,T6,method,24,95,1,yes
2,1,3,9,1,0,1,1,201197,T6,method,10,66,1,yes
2,1,3,9,1,0,1,1,222522,T7,method,24,95,1,yes
2,1,3,9,1,0,1,1,821,T7,method,8,52,1,yes
2,1,3,9,1,0,1,1,222522,T8,method,24,95,1,yes
2,1,3,9,1,0,1,1,201197,T8,method,10,66,1,yes
2,1,3,9,1,0,1,1,21325,T9,method,23,92,1,yes
