@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,6,1,2,2,0.5,54,T1,method,18,0,0,yes
1,0,1,6,1,2,2,0.5,54,T7,method,18,0,0,yes
1,0,1,6,1,2,2,0.5,54,T9,method,18,0,0,yes
1,0,1,6,1,2,2,0.5,54,T10,method,18,0,0,no
1,0,1,6,1,2,2,0.5,54,T10,method,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T3,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T3,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T6,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T8,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,461250,T9,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T3,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T3,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T6,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T6,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T7,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T8,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,497850,T8,Z,18,0,0,no
1,0,1,3,1,2,2,0.5,497850,T9,Z,18,0,0,yes
1,0,1,3,1,2,2,0.5,42,T1,method,14,0,0,yes
1,0,1,3,1,2,2,0.5,42,T1,method,14,0,0,yes
1,0,1,3,1,2,2,0.5,42,T7,method,14,0,0,yes
1,0,1,3,1,2,2,0.5,42,T9,method,14,0,0,yes
1,0,2,9,2,2,2,0.5,60,T1,method,20,0,0,yes
1,0,2,9,2,2,2,0.5,60,T6,method,20,0,0,yes
1,0,2,9,2,2,2,0.5,60,T7,method,20,0,0,no
1,0,2,9,2,2,2,0.5,6,T7,method,2,0,0,yes
1,0,2,9,2,2,2,0.5,60,T8,method,20,0,0,yes
1,0,2,9,2,2,2,0.5,60,T9,method,20,0,0,yes
1,0,2,9,2,2,2,0.5,6,T10,method,2,0,0,no
1,0,2,9,2,2,2,0.5,54,T10,method,18,0,0,yes
1,0,7,20,4,2,2,0.5,5514,T0,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,558060,T0,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T1,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T1,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,558060,T2,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,5514,T2,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,5514,T3,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,558060,T3,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,5514,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,558060,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,552600,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,497850,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T6,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,no
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,no
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,552600,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,497850,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T7,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,552600,T8,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,497850,T8,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T8,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,485250,T8,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,54,T10,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,33138,T10,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,558060,T11,V,18,0,0,yes
1,0,7,20,4,2,2,0.5,5514,T11,V,18,0,0,yes
1,0,1,5,1,2,2,0.5,108,T3,V,18,0,0,yes
1,0,1,5,1,2,2,0.5,108,T3,V,18,0,0,yes
1,0,1,5,1,2,2,0.5,108,T7,V,18,0,0,yes
1,0,1,5,1,2,2,0.5,108,T7,V,18,0,0,yes
1,0,1,5,1,2,2,0.5,108,T10,V,18,0,0,no
1,0,1,4,1,2,2,0.5,60,T9,method,20,0,0,yes
1,0,1,4,1,2,2,0.5,60,T12,method,20,0,0,yes
1,0,1,4,1,2,2,0.5,66,T9,method,20,0,0,yes
1,0,1,4,1,2,2,0.5,66,T12,method,20,0,0,yes
3,0,1,3,1,1,1,0.5,3,T1,V,1,0,0,no
3,0,1,3,1,1,1,0.5,3,T3,V,1,0,0,no
3,0,1,3,1,1,1,0.5,0,T3,V,0,0,0,no
3,0,1,3,1,1,1,0.5,3,T12,V,1,0,0,no
3,0,1,3,1,1,1,0.5,3,T12,V,1,0,0,no
3,0,1,3,1,1,1,0.5,0,T12,V,0,0,0,no
3,0,1,3,1,1,1,0.5,3,T1,V,1,0,0,yes
3,0,1,3,1,1,1,0.5,3,T3,V,1,0,0,no
3,0,1,3,1,1,1,0.5,3,T12,V,1,0,0,no
3,0,1,3,1,1,1,0.5,3,T12,V,1,0,0,yes
3,0,1,3,1,1,1,0.5,3,T12,V,1,0,0,yes
3,0,1,4,1,1,1,0.5,0,T7,method,0,0,0,no
3,0,1,4,1,1,1,0.5,0,T9,method,0,0,0,no
3,0,1,6,2,1,1,0.5,3,T6,method,1,0,0,yes
3,0,1,6,2,1,1,0.5,3,T7,method,1,0,0,yes
3,0,1,6,2,1,1,0.5,3,T7,method,1,0,0,no
3,0,1,6,2,1,1,0.5,3,T7,method,1,0,0,no
3,0,1,6,2,1,1,0.5,0,T7,method,0,0,0,no
3,0,1,6,2,1,1,0.5,3,T8,method,1,0,0,yes
3,0,1,6,2,1,1,0.5,3,T9,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T1,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T3,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T3,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T9,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T12,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T12,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T12,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T12,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T1,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T5,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,yes
3,0,1,8,1,1,1,0.5,3,T7,method,1,0,0,no
3,0,1,8,1,1,1,0.5,3,T9,method,1,0,0,yes
