@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,33,70,1,3,7,0.7,5536,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,5536,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,10232,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,10232,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,15572,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,15572,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,21068,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,21068,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,28652,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,28652,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,34060,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,34060,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,41116,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,41116,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,48860,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,48860,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,62412,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,62412,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,72856,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,72856,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,84896,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,84896,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,96608,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,96608,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,110156,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,110156,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,120360,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,120360,T2,V,1,6,0,yes
2,0,33,70,1,3,7,0.7,132972,T2,V,2,23,0,yes
2,0,33,70,1,3,7,0.7,132972,T2,V,2,23,0,yes
