@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,6,1,2,1,0.333,159,T1,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T1,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T1,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T1,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T12,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T12,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T12,V,53,121,1,yes
1,0,1,6,1,2,1,0.333,159,T12,V,53,121,1,yes
1,0,18,50,7,2,1,0.333,3,T1,method,1,0,1,yes
1,0,18,50,7,2,1,0.333,204,T6,method,45,98,1,yes
1,0,18,50,7,2,1,0.333,201,T6,method,44,98,1,yes
1,0,18,50,7,2,1,0.333,195,T6,method,43,96,1,yes
1,0,18,50,7,2,1,0.333,192,T6,method,42,95,1,yes
1,0,18,50,7,2,1,0.333,171,T6,method,35,88,1,yes
1,0,18,50,7,2,1,0.333,171,T6,method,35,88,1,yes
1,0,18,50,7,2,1,0.333,168,T6,method,34,87,1,yes
1,0,18,50,7,2,1,0.333,78,T6,method,16,39,1,yes
1,0,18,50,7,2,1,0.333,75,T6,method,15,38,1,yes
1,0,18,50,7,2,1,0.333,6,T6,method,2,2,1,yes
1,0,18,50,7,2,1,0.333,3,T6,method,1,1,1,yes
1,0,18,50,7,2,1,0.333,78,T6,method,34,87,1,no
1,0,18,50,7,2,1,0.333,78,T6,method,34,87,1,no
1,0,18,50,7,2,1,0.333,33,T6,method,7,17,1,yes
1,0,18,50,7,2,1,0.333,24,T6,method,5,15,1,yes
1,0,18,50,7,2,1,0.333,21,T6,method,4,14,1,yes
1,0,18,50,7,2,1,0.333,24,T6,method,7,17,1,no
1,0,18,50,7,2,1,0.333,201,T7,method,44,98,1,yes
1,0,18,50,7,2,1,0.333,195,T7,method,43,96,1,no
1,0,18,50,7,2,1,0.333,192,T7,method,42,95,1,yes
1,0,18,50,7,2,1,0.333,171,T7,method,35,88,1,yes
1,0,18,50,7,2,1,0.333,171,T7,method,35,88,1,yes
1,0,18,50,7,2,1,0.333,168,T7,method,34,87,1,yes
1,0,18,50,7,2,1,0.333,78,T7,method,16,39,1,yes
1,0,18,50,7,2,1,0.333,75,T7,method,15,38,1,yes
1,0,18,50,7,2,1,0.333,3,T7,method,1,1,1,yes
1,0,18,50,7,2,1,0.333,78,T7,method,34,87,1,no
1,0,18,50,7,2,1,0.333,78,T7,method,34,87,1,no
1,0,18,50,7,2,1,0.333,33,T7,method,7,17,1,yes
1,0,18,50,7,2,1,0.333,24,T7,method,5,15,1,yes
1,0,18,50,7,2,1,0.333,21,T7,method,4,14,1,yes
1,0,18,50,7,2,1,0.333,21,T7,method,4,14,1,yes
1,0,18,50,7,2,1,0.333,21,T7,method,4,14,1,yes
1,0,18,50,7,2,1,0.333,24,T7,method,7,17,1,no
1,0,18,50,7,2,1,0.333,204,T8,method,45,98,1,yes
1,0,18,50,7,2,1,0.333,201,T8,method,44,98,1,yes
1,0,18,50,7,2,1,0.333,195,T8,method,43,96,1,yes
1,0,18,50,7,2,1,0.333,192,T8,method,42,95,1,yes
1,0,18,50,7,2,1,0.333,171,T8,method,35,88,1,no
1,0,18,50,7,2,1,0.333,171,T8,method,35,88,1,no
1,0,18,50,7,2,1,0.333,168,T8,method,34,87,1,yes
1,0,18,50,7,2,1,0.333,78,T8,method,16,39,1,yes
1,0,18,50,7,2,1,0.333,75,T8,method,15,38,1,yes
1,0,18,50,7,2,1,0.333,6,T8,method,2,2,1,yes
1,0,18,50,7,2,1,0.333,3,T8,method,1,1,1,no
