@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,4,1,0.2,666,T3,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T3,V,6,17,3,no
1,0,1,3,1,4,1,0.2,666,T3,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T3,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T7,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T7,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T7,V,6,17,3,yes
1,0,1,3,1,4,1,0.2,666,T12,V,6,17,3,no
1,0,1,3,1,4,1,0.2,666,T12,V,6,17,3,no
1,0,1,3,1,4,1,0.2,666,T12,V,6,17,3,yes
1,0,3,7,2,4,1,0.2,54,T3,Z,2,6,3,yes
1,0,3,7,2,4,1,0.2,3873,T3,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,54,T5,Z,2,6,3,yes
1,0,3,7,2,4,1,0.2,3927,T6,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,3927,T6,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,3927,T7,Z,6,17,3,no
1,0,3,7,2,4,1,0.2,3927,T7,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,54,T7,Z,2,6,3,yes
1,0,3,7,2,4,1,0.2,3927,T8,Z,6,17,3,no
1,0,3,7,2,4,1,0.2,3927,T8,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,54,T9,Z,2,6,3,yes
1,0,3,7,2,4,1,0.2,3873,T9,Z,6,17,3,yes
1,0,3,7,2,4,1,0.2,54,T12,Z,2,6,3,yes
1,0,5,11,3,4,1,0.2,198,T3,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T3,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T6,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T6,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,78,T6,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T7,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,78,T7,V,1,3,3,no
1,0,5,11,3,4,1,0.2,78,T7,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,6,T7,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T8,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,198,T8,V,1,3,3,yes
1,0,5,11,3,4,1,0.2,78,T8,V,1,3,3,yes
1,0,10,21,3,4,1,0.2,336,T0,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T0,I,1,3,3,no
1,0,10,21,3,4,1,0.2,72,T0,I,1,3,3,no
1,0,10,21,3,4,1,0.2,72,T0,I,1,3,3,no
1,0,10,21,3,4,1,0.2,264,T2,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,12,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,264,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T3,I,1,3,3,no
1,0,10,21,3,4,1,0.2,72,T3,I,1,3,3,no
1,0,10,21,3,4,1,0.2,6,T3,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,264,T5,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,264,T5,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,162,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,150,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,336,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,336,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T6,I,1,3,3,no
1,0,10,21,3,4,1,0.2,72,T6,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,162,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,150,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,150,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,336,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,336,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,264,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,264,T7,I,1,3,3,yes
1,0,10,21,3,4,1,0.2,72,T7,I,1,3,3,yes
