@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,1,6,1,27,18,0.4,30,T1,V,10,14,4,yes
3,0,1,6,1,27,18,0.4,30,T12,V,10,14,4,yes
3,0,1,6,1,27,18,0.4,30,T12,V,10,14,4,no
3,0,1,6,1,27,18,0.4,30,T12,V,10,14,4,yes
3,0,1,6,1,27,18,0.4,30,T12,V,10,14,4,yes
3,0,2,10,2,27,18,0.4,36,T1,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,42,T6,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,42,T7,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,36,T7,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,42,T8,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,45,T10,V,9,13,4,yes
3,0,2,10,2,27,18,0.4,6,T10,V,2,4,4,yes
3,0,2,10,2,27,18,0.4,42,T10,V,9,13,4,yes
3,0,1,5,1,27,18,0.4,0,T10,V,0,0,4,no
3,0,1,5,1,27,18,0.4,0,T10,V,0,0,4,no
3,0,1,5,1,27,18,0.4,0,T12,V,0,0,4,no
3,0,1,3,1,27,18,0.4,0,T12,V,0,0,4,no
3,0,2,4,1,27,18,0.4,3,T1,V,1,0,4,yes
3,0,2,4,1,27,18,0.4,54,T6,V,9,13,4,yes
3,0,2,4,1,27,18,0.4,3,T7,V,1,0,4,no
3,0,2,4,1,27,18,0.4,3,T7,V,1,0,4,no
3,0,2,4,1,27,18,0.4,54,T8,V,9,13,4,yes
3,0,2,7,2,27,18,0.4,0,T3,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T3,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T6,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T6,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T7,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T7,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T7,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T7,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T7,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T8,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T8,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T9,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,0,T9,Z,0,0,4,no
3,0,2,7,2,27,18,0.4,42,T6,method,9,13,4,yes
3,0,2,7,2,27,18,0.4,15,T6,method,5,8,4,yes
