@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,12,2,2,9,0.818,16,T0,V,8,7,1,no
1,0,1,12,2,2,9,0.818,32,T0,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T1,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T1,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T1,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T1,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T1,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,32,T2,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,no
1,0,1,12,2,2,9,0.818,32,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T3,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T6,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,32,T6,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,no
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,16,T7,V,8,7,1,no
1,0,1,12,2,2,9,0.818,16,T10,V,8,7,1,no
1,0,1,12,2,2,9,0.818,16,T12,V,8,7,1,yes
1,0,1,12,2,2,9,0.818,32,T11,V,8,7,1,yes
1,0,1,8,2,2,9,0.818,4,T6,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T7,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T7,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T7,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T7,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T7,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T8,V,2,2,1,yes
1,0,1,8,2,2,9,0.818,4,T10,V,2,2,1,yes
