@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,7,1,1,2,0.667,21,T12,V,7,5,1,yes
1,0,1,7,1,1,2,0.667,21,T12,V,7,5,1,yes
1,0,1,7,1,1,2,0.667,21,T12,V,7,5,1,yes
1,0,4,14,2,1,2,0.667,18,T0,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,3,T1,method,1,0,1,yes
1,0,4,14,2,1,2,0.667,9,T3,method,3,2,1,no
1,0,4,14,2,1,2,0.667,18,T6,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,18,T6,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,9,T6,method,3,2,1,yes
1,0,4,14,2,1,2,0.667,18,T7,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,18,T7,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,18,T7,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,18,T7,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,18,T7,method,6,5,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,3,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,3,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,3,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,3,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,3,1,yes
1,0,4,14,2,1,2,0.667,9,T7,method,3,2,1,no
1,0,4,14,2,1,2,0.667,12,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,6,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,6,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,6,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,6,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,12,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,12,T7,method,2,2,1,yes
1,0,4,14,2,1,2,0.667,12,T7,method,2,2,1,no
1,0,4,14,2,1,2,0.667,15,T7,method,5,5,1,yes
1,0,4,14,2,1,2,0.667,18,T8,method,6,5,1,no
1,0,4,14,2,1,2,0.667,9,T8,method,3,2,1,no
1,0,4,14,2,1,2,0.667,15,T9,method,5,5,1,yes
1,0,2,16,3,1,2,0.667,3,T1,V,1,1,1,no
1,0,2,16,3,1,2,0.667,3,T1,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T3,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T3,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T6,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T6,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,no
1,0,2,16,3,1,2,0.667,3,T7,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T8,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T8,V,1,1,1,no
1,0,2,16,3,1,2,0.667,3,T10,V,1,1,1,yes
1,0,2,16,3,1,2,0.667,3,T10,V,1,1,1,yes
1,0,1,3,1,1,2,0.667,3,T10,V,1,0,1,yes
1,0,1,4,1,1,2,0.667,21,T7,V,7,5,0,no
1,0,1,4,1,1,2,0.667,21,T12,V,7,5,0,yes
1,0,1,4,1,1,2,0.667,21,T12,V,7,5,0,no
1,0,1,3,1,1,2,0.667,3,T9,method,1,1,0,yes
1,0,1,3,1,1,2,0.667,9,T9,method,3,3,0,yes
1,0,1,3,1,1,2,0.667,0,T12,V,0,0,0,no
1,0,1,3,1,1,2,0.667,24,T7,V,7,5,0,yes
1,0,1,3,1,1,2,0.667,24,T12,V,7,5,0,yes
1,0,1,4,1,1,2,0.667,3,T12,V,1,1,1,yes
1,0,1,6,1,1,2,0.667,3,T7,method,1,1,1,yes
1,0,1,6,1,1,2,0.667,3,T7,method,1,1,1,yes
1,0,1,6,1,1,2,0.667,3,T7,method,1,1,1,yes
1,0,1,6,1,1,2,0.667,3,T9,method,1,1,1,yes
