@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T1,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T6,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T6,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T7,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T8,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T8,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,2,9,1,2,0,0,0,T12,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T1,V,0,0,35,no
1,0,3,7,1,2,0,0,0,T1,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T1,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T6,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T6,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T7,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T8,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T8,V,1,35,35,no
1,0,3,7,1,2,0,0,0,T12,V,1,35,35,no
1,0,1,3,1,2,0,0,0,T1,method,1,35,35,no
1,0,1,3,1,2,0,0,0,T9,method,1,35,35,no
1,0,1,11,2,2,0,0,0,T3,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T6,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T7,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T7,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T7,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T7,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T7,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T8,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T10,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T10,V,0,0,35,no
1,0,1,11,2,2,0,0,0,T10,V,0,0,35,no
1,0,1,9,2,2,0,0,0,T7,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T9,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T10,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T10,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T7,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T9,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,Z,0,0,35,no
1,0,1,4,1,2,0,0,0,T1,method,1,35,35,no
1,0,1,4,1,2,0,0,0,T7,method,1,35,35,no
1,0,1,4,1,2,0,0,0,T9,method,1,35,35,no
1,0,4,33,3,2,0,0,0,T1,method,0,0,35,no
1,0,4,33,3,2,0,0,0,T9,method,0,0,35,no
1,0,1,9,2,2,0,0,0,T7,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T9,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,Z,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,Z,0,0,35,no
1,0,4,21,2,2,0,0,0,T3,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T6,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T6,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T6,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T7,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T8,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T8,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T8,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T9,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T9,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T9,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T10,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T10,method,1,35,35,no
1,0,4,21,2,2,0,0,0,T10,method,1,35,35,no
1,0,2,12,2,2,0,0,0,T1,J,0,0,35,no
1,0,2,12,2,2,0,0,0,T5,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T6,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T8,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T9,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T10,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T10,J,1,35,35,no
1,0,1,3,1,2,0,0,0,T7,J,0,0,35,no
1,0,1,3,1,2,0,0,0,T7,J,0,0,35,no
1,0,1,3,1,2,0,0,0,T9,J,0,0,35,no
1,0,2,12,2,2,0,0,0,T1,J,0,0,35,no
1,0,2,12,2,2,0,0,0,T6,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T7,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T8,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T9,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T10,J,1,35,35,no
1,0,2,12,2,2,0,0,0,T10,J,1,35,35,no
1,0,1,9,2,2,0,0,0,T7,I,0,0,35,no
1,0,1,9,2,2,0,0,0,T9,I,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,I,0,0,35,no
1,0,1,9,2,2,0,0,0,T10,I,0,0,35,no
1,0,1,9,2,2,0,0,0,T7,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T9,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T10,Z,1,35,35,no
1,0,1,9,2,2,0,0,0,T10,Z,1,35,35,no
1,0,2,26,2,2,0,0,0,T1,method,0,0,35,no
1,0,2,26,2,2,0,0,0,T9,method,0,0,35,no
1,0,1,16,2,2,0,0,0,T1,method,0,0,35,no
1,0,1,16,2,2,0,0,0,T9,method,0,0,35,no
1,0,5,26,4,2,0,0,0,T0,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T1,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T3,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T3,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T3,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T5,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T6,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T6,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T6,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T6,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T6,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T7,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T8,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T8,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T8,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T8,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T10,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T10,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T10,V,1,35,35,no
1,0,5,26,4,2,0,0,0,T12,V,1,35,35,no
1,0,2,6,1,2,0,0,0,T1,method,0,0,35,no
1,0,2,6,1,2,0,0,0,T6,method,1,35,35,no
1,0,2,6,1,2,0,0,0,T7,method,1,35,35,no
1,0,2,6,1,2,0,0,0,T7,method,1,35,35,no
