@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,6,26,4,0,1,1,112,T0,V,18,16,2,yes
1,0,6,26,4,0,1,1,276,T0,V,18,16,2,yes
1,0,6,26,4,0,1,1,428,T0,V,18,16,2,yes
1,0,6,26,4,0,1,1,126,T0,V,16,16,2,yes
1,0,6,26,4,0,1,1,34,T0,V,16,16,2,no
1,0,6,26,4,0,1,1,4,T1,V,2,0,2,yes
1,0,6,26,4,0,1,1,428,T2,V,18,16,2,yes
1,0,6,26,4,0,1,1,276,T2,V,18,16,2,yes
1,0,6,26,4,0,1,1,112,T2,V,18,16,2,yes
1,0,6,26,4,0,1,1,126,T2,V,16,16,2,yes
1,0,6,26,4,0,1,1,112,T3,V,18,16,2,yes
1,0,6,26,4,0,1,1,78,T3,V,18,16,2,yes
1,0,6,26,4,0,1,1,4,T3,V,2,0,2,no
1,0,6,26,4,0,1,1,4,T3,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T3,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T3,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T3,V,2,0,2,yes
1,0,6,26,4,0,1,1,276,T3,V,18,16,2,yes
1,0,6,26,4,0,1,1,428,T3,V,18,16,2,yes
1,0,6,26,4,0,1,1,34,T3,V,16,16,2,yes
1,0,6,26,4,0,1,1,34,T3,V,16,16,2,yes
1,0,6,26,4,0,1,1,126,T3,V,16,16,2,yes
1,0,6,26,4,0,1,1,4,T3,V,2,2,2,yes
1,0,6,26,4,0,1,1,4,T5,V,2,0,2,yes
1,0,6,26,4,0,1,1,34,T5,V,16,16,2,yes
1,0,6,26,4,0,1,1,34,T5,V,16,16,2,yes
1,0,6,26,4,0,1,1,92,T5,V,16,16,2,yes
1,0,6,26,4,0,1,1,4,T5,V,2,2,2,yes
1,0,6,26,4,0,1,1,4,T5,V,2,2,2,yes
1,0,6,26,4,0,1,1,4,T5,V,2,2,2,yes
1,0,6,26,4,0,1,1,112,T6,V,18,16,2,yes
1,0,6,26,4,0,1,1,78,T6,V,18,16,2,yes
1,0,6,26,4,0,1,1,78,T6,V,18,16,2,yes
1,0,6,26,4,0,1,1,276,T6,V,18,16,2,yes
1,0,6,26,4,0,1,1,428,T6,V,18,16,2,yes
1,0,6,26,4,0,1,1,126,T6,V,16,16,2,yes
1,0,6,26,4,0,1,1,34,T6,V,16,16,2,yes
1,0,6,26,4,0,1,1,4,T7,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T7,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T7,V,2,0,2,yes
1,0,6,26,4,0,1,1,4,T7,V,2,0,2,yes
1,0,6,26,4,0,1,1,428,T7,V,18,16,2,yes
1,0,6,26,4,0,1,1,226,T7,V,18,16,2,yes
1,0,6,26,4,0,1,1,226,T7,V,18,16,2,yes
1,0,6,26,4,0,1,1,34,T7,V,16,16,2,yes
1,0,6,26,4,0,1,1,4,T7,V,2,2,2,yes
1,0,6,26,4,0,1,1,78,T8,V,18,16,2,yes
1,0,6,26,4,0,1,1,78,T8,V,18,16,2,yes
1,0,6,26,4,0,1,1,38,T12,V,18,16,2,yes
1,0,6,26,4,0,1,1,38,T12,V,18,16,2,yes
1,0,6,26,4,0,1,1,38,T12,V,18,16,2,yes
1,0,6,26,4,0,1,1,38,T12,V,18,16,2,yes
1,0,6,26,4,0,1,1,34,T12,V,16,16,2,yes
1,0,6,26,4,0,1,1,428,T11,V,18,16,2,yes
1,0,6,26,4,0,1,1,276,T11,V,18,16,2,yes
1,0,6,26,4,0,1,1,112,T11,V,18,16,2,yes
1,0,6,26,4,0,1,1,126,T11,V,16,16,2,yes
1,0,4,6,1,0,1,1,44,T1,method,21,16,2,yes
1,0,4,6,1,0,1,1,42,T1,method,20,16,2,yes
1,0,4,6,1,0,1,1,40,T1,method,19,16,2,yes
1,0,4,6,1,0,1,1,38,T1,method,18,16,2,yes
1,0,4,6,1,0,1,1,44,T6,method,21,16,2,yes
1,0,4,6,1,0,1,1,42,T6,method,20,16,2,yes
1,0,4,6,1,0,1,1,40,T6,method,19,16,2,yes
1,0,4,6,1,0,1,1,38,T7,method,18,16,2,yes
1,0,4,6,1,0,1,1,44,T8,method,21,16,2,yes
1,0,4,6,1,0,1,1,42,T8,method,20,16,2,yes
1,0,4,6,1,0,1,1,40,T8,method,19,16,2,yes
1,0,4,6,1,0,1,1,38,T9,method,18,16,2,yes
1,0,1,3,1,0,1,1,568,T1,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T3,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T3,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T7,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T7,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T7,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T7,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T7,method,16,16,2,yes
1,0,1,3,1,0,1,1,568,T9,method,16,16,2,yes
1,0,1,4,1,0,1,1,156,T0,V,16,16,2,yes
1,0,1,4,1,0,1,1,312,T0,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T0,V,16,16,2,yes
1,0,1,4,1,0,1,1,312,T2,V,16,16,2,yes
1,0,1,4,1,0,1,1,156,T2,V,16,16,2,yes
1,0,1,4,1,0,1,1,156,T3,V,16,16,2,yes
1,0,1,4,1,0,1,1,156,T3,V,16,16,2,yes
1,0,1,4,1,0,1,1,312,T3,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T3,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T3,V,16,16,2,yes
1,0,1,4,1,0,1,1,156,T6,V,16,16,2,yes
1,0,1,4,1,0,1,1,312,T6,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T6,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T6,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,86,T7,V,16,16,2,yes
1,0,1,4,1,0,1,1,226,T8,V,16,16,2,yes
1,0,1,4,1,0,1,1,312,T11,V,16,16,2,yes
1,0,1,4,1,0,1,1,156,T11,V,16,16,2,yes
