@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,3,1,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,no
1,0,1,43,2,34,5,0.128,93,T1,V,31,321,0,no
1,0,1,43,2,34,5,0.128,93,T7,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T7,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,no
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,no
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,43,2,34,5,0.128,93,T12,V,31,321,0,yes
1,0,1,3,1,34,5,0.128,93,T7,V,25,281,0,yes
1,0,1,3,1,34,5,0.128,15,T7,V,4,15,0,yes
1,0,2,9,3,34,5,0.128,750,T0,V,22,210,0,no
1,0,2,9,3,34,5,0.128,750,T6,V,22,210,0,yes
1,0,2,9,3,34,5,0.128,93,T6,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T7,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T7,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T7,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T8,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T10,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T10,V,19,195,0,yes
1,0,2,9,3,34,5,0.128,93,T10,V,19,195,0,yes
1,0,1,3,1,34,5,0.128,57,T7,method,11,58,0,yes
1,0,1,3,1,34,5,0.128,57,T9,method,11,58,0,yes
1,0,1,3,1,34,5,0.128,99,T7,method,25,281,0,yes
1,0,1,3,1,34,5,0.128,99,T9,method,25,281,0,yes
1,0,1,3,1,34,5,0.128,27,T7,method,1,24,0,yes
1,0,1,3,1,34,5,0.128,27,T9,method,1,24,0,yes
1,0,3,8,2,34,5,0.128,21,T6,V,5,22,0,yes
1,0,3,8,2,34,5,0.128,21,T6,V,5,22,0,no
1,0,3,8,2,34,5,0.128,21,T7,V,5,22,0,no
1,0,3,8,2,34,5,0.128,21,T7,V,5,22,0,yes
1,0,3,8,2,34,5,0.128,21,T7,V,5,22,0,no
1,0,3,8,2,34,5,0.128,0,T7,V,0,0,0,no
1,0,3,8,2,34,5,0.128,21,T8,V,5,22,0,no
1,0,3,8,2,34,5,0.128,21,T8,V,5,22,0,no
1,0,1,3,1,34,5,0.128,0,T3,V,0,0,0,no
1,0,1,3,1,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,7,2,34,5,0.128,0,T3,V,0,0,0,no
1,0,2,7,2,34,5,0.128,0,T6,V,0,0,0,no
1,0,2,7,2,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,7,2,34,5,0.128,0,T8,V,0,0,0,no
1,0,2,7,2,34,5,0.128,0,T12,V,0,0,0,no
1,0,1,3,1,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T6,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T6,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T7,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T8,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T8,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T10,V,0,0,0,no
1,0,2,19,2,34,5,0.128,0,T12,V,0,0,0,no
1,0,1,3,1,34,5,0.128,0,T7,V,0,0,0,no
1,0,1,3,1,34,5,0.128,138,T9,method,28,294,0,yes
1,0,1,3,1,34,5,0.128,48,T9,F,3,20,0,yes
1,0,1,3,1,34,5,0.128,0,T7,method,0,0,0,no
1,0,1,3,1,34,5,0.128,0,T9,method,0,0,0,no
1,0,1,3,1,34,5,0.128,156,T9,method,27,293,0,yes
1,0,1,3,1,34,5,0.128,0,T9,method,0,0,0,no
1,0,2,6,2,34,5,0.128,117,T6,V,2,31,0,yes
1,0,2,6,2,34,5,0.128,117,T8,V,2,31,0,no
1,0,2,6,2,34,5,0.128,117,T10,V,2,31,0,yes
1,0,2,6,2,34,5,0.128,117,T10,V,2,31,0,yes
1,0,2,9,3,34,5,0.128,45,T6,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,129,T6,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,45,T7,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,45,T7,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,45,T7,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,129,T7,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,129,T7,method,15,242,0,yes
1,0,2,9,3,34,5,0.128,45,T8,method,15,242,0,no
1,0,2,9,3,34,5,0.128,129,T8,method,15,242,0,yes
