@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,11,1,4,1,0.2,12,T7,V,1,1,2,no
1,0,1,11,1,4,1,0.2,6,T7,V,1,1,2,no
1,0,1,11,1,4,1,0.2,6,T7,V,1,1,2,no
1,0,4,18,1,4,1,0.2,5376,T3,method,19,69,2,yes
1,0,4,18,1,4,1,0.2,5376,T3,method,19,69,2,yes
1,0,4,18,1,4,1,0.2,5376,T3,method,19,69,2,yes
1,0,4,18,1,4,1,0.2,5376,T7,method,19,69,2,yes
1,0,4,18,1,4,1,0.2,5376,T7,method,19,69,2,yes
1,0,4,18,1,4,1,0.2,10752,T9,method,19,69,2,yes
1,0,8,28,3,4,1,0.2,1254,T3,method,10,56,2,yes
1,0,8,28,3,4,1,0.2,1254,T3,method,10,56,2,no
1,0,8,28,3,4,1,0.2,6,T3,method,2,11,2,yes
1,0,8,28,3,4,1,0.2,1149,T5,method,12,61,2,yes
1,0,8,28,3,4,1,0.2,1542,T5,method,10,57,2,yes
1,0,8,28,3,4,1,0.2,1542,T5,method,10,57,2,yes
1,0,8,28,3,4,1,0.2,1467,T7,method,12,60,2,yes
1,0,8,28,3,4,1,0.2,1467,T7,method,12,60,2,yes
1,0,8,28,3,4,1,0.2,1467,T7,method,12,60,2,yes
1,0,8,28,3,4,1,0.2,1149,T7,method,12,61,2,yes
1,0,8,28,3,4,1,0.2,1149,T7,method,12,61,2,yes
1,0,8,28,3,4,1,0.2,24,T7,method,2,12,2,yes
1,0,8,28,3,4,1,0.2,6,T9,method,2,11,2,yes
1,0,8,28,3,4,1,0.2,24,T9,method,2,12,2,yes
1,0,2,9,1,4,1,0.2,42,T5,D,9,21,2,yes
1,0,2,9,1,4,1,0.2,42,T7,D,9,21,2,yes
1,0,2,9,1,4,1,0.2,42,T5,D,8,9,2,yes
1,0,2,9,1,4,1,0.2,42,T5,D,8,9,2,yes
1,0,2,9,1,4,1,0.2,42,T5,D,8,9,2,yes
1,0,1,3,1,4,1,0.2,5418,T6,V,25,75,2,yes
1,0,5,30,3,4,1,0.2,960,T0,method,18,45,2,yes
1,0,5,30,3,4,1,0.2,114,T3,method,21,45,2,yes
1,0,5,30,3,4,1,0.2,114,T3,method,21,45,2,yes
1,0,5,30,3,4,1,0.2,111,T3,method,20,45,2,yes
1,0,5,30,3,4,1,0.2,108,T5,method,18,45,2,yes
1,0,5,30,3,4,1,0.2,108,T5,method,18,45,2,yes
1,0,5,30,3,4,1,0.2,108,T7,method,19,45,2,yes
1,0,5,30,3,4,1,0.2,978,T7,method,18,45,2,yes
1,0,5,30,3,4,1,0.2,852,T7,method,18,45,2,yes
1,0,5,30,3,4,1,0.2,108,T9,method,18,45,2,yes
1,0,5,18,2,4,1,0.2,39,T8,method,13,27,2,no
1,0,5,18,2,4,1,0.2,30,T8,method,10,26,2,yes
1,0,1,9,1,4,1,0.2,3,T7,method,1,1,2,no
1,0,1,9,1,4,1,0.2,3,T9,method,1,1,2,no
1,0,1,13,1,4,1,0.2,3,T7,method,1,1,2,yes
1,0,1,13,1,4,1,0.2,3,T7,method,1,1,2,no
1,0,1,13,1,4,1,0.2,3,T7,method,1,1,2,no
1,0,1,13,1,4,1,0.2,3,T9,method,1,1,2,no
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,5652,T3,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,29730,T7,method,29,88,2,yes
1,0,4,26,4,4,1,0.2,24078,T7,method,28,86,2,yes
1,0,4,26,4,4,1,0.2,120390,T8,method,28,86,2,yes
1,0,4,26,4,4,1,0.2,5652,T9,method,29,88,2,yes
1,0,1,3,1,4,1,0.2,30033,T3,method,12,62,2,yes
1,0,2,9,1,4,1,0.2,66354,T0,method,32,108,2,yes
1,0,2,9,1,4,1,0.2,66357,T3,method,32,108,2,yes
1,0,2,9,1,4,1,0.2,66357,T3,method,32,108,2,yes
1,0,2,9,1,4,1,0.2,66354,T3,method,32,108,2,yes
1,0,2,9,1,4,1,0.2,66348,T7,method,31,108,2,yes
1,0,2,9,1,4,1,0.2,66348,T7,method,31,108,2,yes
1,0,2,9,1,4,1,0.2,66348,T9,method,31,108,2,yes
1,0,1,3,1,4,1,0.2,3,T9,method,1,1,2,yes
1,0,5,28,4,4,1,0.2,134796,T3,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,134796,T3,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,134796,T3,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,2471307,T5,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,1376621,T5,J,39,111,2,yes
1,0,5,28,4,4,1,0.2,134796,T5,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,5101281,T8,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,4966485,T8,J,41,123,2,yes
1,0,5,28,4,4,1,0.2,4966485,T8,J,41,123,2,yes
1,0,4,11,2,4,1,0.2,132867,T3,method,40,120,2,yes
1,0,4,11,2,4,1,0.2,132867,T3,method,40,120,2,yes
1,0,4,11,2,4,1,0.2,132867,T3,method,40,120,2,yes
1,0,4,11,2,4,1,0.2,6,T7,method,2,0,2,yes
1,0,4,11,2,4,1,0.2,6,T7,method,2,0,2,no
1,0,4,11,2,4,1,0.2,988914,T7,method,38,120,2,yes
1,0,4,11,2,4,1,0.2,132861,T9,method,38,120,2,yes
1,0,4,16,3,4,1,0.2,753,T7,method,2,12,2,yes
1,0,4,16,3,4,1,0.2,753,T7,method,2,12,2,no
1,0,4,16,3,4,1,0.2,90,T7,method,1,12,2,no
1,0,4,16,3,4,1,0.2,753,T8,method,2,12,2,no
1,0,1,6,1,4,1,0.2,24,T0,Z,2,5,2,no
1,0,1,6,1,4,1,0.2,15,T3,Z,2,5,2,no
1,0,1,6,1,4,1,0.2,15,T7,Z,2,5,2,yes
1,0,9,34,4,4,1,0.2,480,T0,I,18,32,2,no
1,0,9,34,4,4,1,0.2,216,T3,I,16,30,2,no
1,0,9,34,4,4,1,0.2,3,T3,I,1,1,2,no
1,0,9,34,4,4,1,0.2,3,T3,I,1,1,2,no
1,0,9,34,4,4,1,0.2,261,T5,I,18,32,2,yes
1,0,9,34,4,4,1,0.2,261,T5,I,18,32,2,yes
1,0,9,34,4,4,1,0.2,39,T5,I,13,28,2,yes
1,0,9,34,4,4,1,0.2,477,T6,I,18,32,2,no
1,0,9,34,4,4,1,0.2,120,T6,I,16,30,2,yes
1,0,9,34,4,4,1,0.2,141,T6,I,16,30,2,yes
1,0,4,8,2,4,1,0.2,36,T3,D,7,19,2,yes
1,0,4,8,2,4,1,0.2,375,T3,D,24,62,2,yes
1,0,4,8,2,4,1,0.2,6,T7,D,2,2,2,yes
1,0,4,8,2,4,1,0.2,375,T9,D,24,62,2,yes
1,0,1,3,1,4,1,0.2,3,T7,method,1,1,2,yes
1,0,1,14,1,4,1,0.2,15,T7,method,5,41,2,yes
1,0,1,14,1,4,1,0.2,15,T7,method,5,41,2,yes
1,0,1,14,1,4,1,0.2,15,T7,method,5,41,2,yes
1,0,2,6,1,4,1,0.2,60225,T3,V,28,86,2,yes
1,0,2,6,1,4,1,0.2,60225,T3,V,28,86,2,yes
1,0,2,6,1,4,1,0.2,60225,T3,V,28,86,2,yes
1,0,2,6,1,4,1,0.2,60165,T5,V,28,86,2,yes
1,0,2,6,1,4,1,0.2,120390,T8,V,28,86,2,yes
1,0,1,3,1,4,1,0.2,75,T7,method,3,5,2,yes
1,0,1,3,1,4,1,0.2,75,T9,method,3,5,2,yes
1,0,4,9,3,4,1,0.2,5790,T0,D,46,123,2,yes
1,0,4,9,3,4,1,0.2,5784,T5,D,44,121,2,yes
1,0,4,9,3,4,1,0.2,5790,T6,D,46,123,2,yes
1,0,4,14,2,4,1,0.2,5402040,T0,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,5402040,T2,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,720306,T3,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,720306,T3,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,720306,T3,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,720306,T3,J,12,27,2,yes
1,0,4,14,2,4,1,0.2,5402040,T3,J,12,27,2,yes
