@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,6,1,2,11,0.846,279,T0,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T0,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T3,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T3,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T3,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T3,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T6,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T6,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T7,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T7,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T7,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T7,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T10,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T10,V,4,57,8,no
1,0,1,6,1,2,11,0.846,279,T12,V,4,57,8,yes
1,0,1,6,1,2,11,0.846,279,T12,V,4,57,8,yes
1,0,1,3,1,2,11,0.846,465,T9,method,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T0,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T0,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T0,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T0,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T3,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T3,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T6,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T6,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T6,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T6,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T7,Z,4,57,8,no
1,0,1,4,1,2,11,0.846,297,T7,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T7,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,297,T7,Z,4,57,8,no
1,0,1,4,1,2,11,0.846,201,T7,Z,4,57,8,no
1,0,1,4,1,2,11,0.846,201,T7,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T7,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,201,T7,Z,4,57,8,no
1,0,1,4,1,2,11,0.846,201,T9,Z,4,57,8,yes
1,0,1,4,1,2,11,0.846,189,T3,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T3,Z,3,49,8,no
1,0,1,4,1,2,11,0.846,189,T6,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T6,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T7,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T7,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T7,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T7,Z,3,49,8,yes
1,0,1,4,1,2,11,0.846,189,T8,Z,3,49,8,no
1,0,1,4,1,2,11,0.846,189,T8,Z,3,49,8,no
1,0,1,4,1,2,11,0.846,189,T9,Z,3,49,8,yes
1,0,1,5,1,2,11,0.846,189,T3,Z,3,49,8,yes
1,0,1,5,1,2,11,0.846,189,T3,Z,3,49,8,no
1,0,1,5,1,2,11,0.846,189,T6,Z,3,49,8,yes
1,0,1,5,1,2,11,0.846,189,T6,Z,3,49,8,yes
1,0,1,5,1,2,11,0.846,189,T7,Z,3,49,8,yes
1,0,1,5,1,2,11,0.846,189,T8,Z,3,49,8,no
1,0,1,5,1,2,11,0.846,189,T8,Z,3,49,8,no
1,0,1,5,1,2,11,0.846,189,T9,Z,3,49,8,yes
1,0,1,3,1,2,11,0.846,96,T7,method,2,34,8,yes
1,0,1,3,1,2,11,0.846,96,T7,method,2,34,8,yes
1,0,1,3,1,2,11,0.846,96,T7,method,2,34,8,yes
1,0,1,3,1,2,11,0.846,96,T9,method,2,34,8,yes
1,0,1,3,1,2,11,0.846,72,T7,method,4,57,8,yes
1,0,1,3,1,2,11,0.846,72,T9,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T1,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T1,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T1,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,168,T6,method,4,57,8,no
1,0,3,5,1,2,11,0.846,168,T6,method,4,57,8,no
1,0,3,5,1,2,11,0.846,168,T7,method,4,57,8,no
1,0,3,5,1,2,11,0.846,168,T7,method,4,57,8,no
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,84,T7,method,4,57,8,yes
1,0,3,5,1,2,11,0.846,168,T8,method,4,57,8,no
1,0,3,5,1,2,11,0.846,168,T8,method,4,57,8,no
1,0,3,5,1,2,11,0.846,84,T9,method,4,57,8,yes
1,0,1,4,1,2,11,0.846,0,T3,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T3,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T3,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,I,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T9,I,0,0,8,no
1,0,1,3,1,2,11,0.846,0,T7,I,0,0,8,no
1,0,1,3,1,2,11,0.846,0,T9,I,0,0,8,no
1,0,1,3,1,2,11,0.846,3,T1,method,1,19,8,yes
1,0,1,3,1,2,11,0.846,3,T7,method,1,19,8,yes
1,0,1,3,1,2,11,0.846,3,T7,method,1,19,8,yes
1,0,1,3,1,2,11,0.846,3,T9,method,1,19,8,yes
1,0,1,3,1,2,11,0.846,60,T7,D,3,38,8,yes
1,0,1,3,1,2,11,0.846,60,T9,D,3,38,8,yes
1,0,1,4,1,2,11,0.846,0,T1,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T7,method,0,0,8,no
1,0,1,4,1,2,11,0.846,0,T9,method,0,0,8,no
1,0,1,3,1,2,11,0.846,465,T9,method,4,57,8,yes
1,0,1,4,1,2,11,0.846,3,T10,V,1,19,8,yes
1,0,1,4,1,2,11,0.846,3,T10,V,1,19,8,yes
1,0,1,5,1,2,11,0.846,219,T12,V,3,49,49,yes
