@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,4,1,12,5,0.294,3,T7,method,1,2,1,yes
2,0,1,4,1,12,5,0.294,3,T9,method,1,2,1,yes
2,0,10,14,1,12,5,0.294,3,T3,Z,1,2,1,yes
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T3,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,3,T6,Z,1,2,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T6,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T7,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,3,T8,Z,1,2,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T8,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,3,T9,Z,1,2,1,yes
2,0,10,14,1,12,5,0.294,0,T9,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T9,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T9,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T9,Z,0,0,1,no
2,0,10,14,1,12,5,0.294,0,T9,Z,0,0,1,no
2,0,1,3,1,12,5,0.294,6,T9,method,2,3,1,yes
2,0,1,3,1,12,5,0.294,3,T9,method,1,1,1,yes
2,0,1,3,1,12,5,0.294,6,T9,method,2,2,1,yes
2,0,1,4,1,12,5,0.294,0,T7,method,0,0,1,no
2,0,1,4,1,12,5,0.294,0,T9,method,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T3,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T5,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T6,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T6,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T6,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T7,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T7,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T7,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T7,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T8,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T8,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T8,I,0,0,1,no
2,0,1,7,1,12,5,0.294,0,T9,I,0,0,1,no
2,0,1,3,1,12,5,0.294,3,T12,V,1,2,1,yes
2,0,1,3,1,12,5,0.294,0,T12,V,0,0,1,no
2,0,1,3,1,12,5,0.294,0,T12,V,0,0,1,no
2,0,1,3,1,12,5,0.294,0,T7,V,0,0,1,no
2,0,1,4,1,12,5,0.294,3,T1,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T7,method,1,1,1,yes
2,0,1,4,1,12,5,0.294,3,T9,method,1,1,1,yes
1,0,1,2,1,12,5,0.294,279,T3,V,34,58,2,yes
1,0,1,2,1,12,5,0.294,279,T12,V,34,58,2,yes
1,0,1,2,1,12,5,0.294,279,T3,V,34,58,2,yes
1,0,1,2,1,12,5,0.294,279,T12,V,34,58,2,yes
1,0,1,4,1,12,5,0.294,150,T12,V,21,30,2,yes
1,0,1,4,1,12,5,0.294,150,T12,V,21,30,2,yes
1,0,1,2,1,12,5,0.294,279,T3,V,34,58,2,yes
1,0,1,2,1,12,5,0.294,279,T12,V,34,58,2,yes
1,0,1,5,1,12,5,0.294,21,T12,V,4,2,2,yes
1,0,1,5,1,12,5,0.294,21,T12,V,4,2,2,no
1,0,1,5,1,12,5,0.294,21,T12,V,4,2,2,yes
1,0,3,12,2,12,5,0.294,0,T3,Z,0,0,2,no
1,0,3,12,2,12,5,0.294,0,T3,Z,0,0,2,no
1,0,3,12,2,12,5,0.294,9,T3,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,9,T3,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T6,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T6,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T6,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T6,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,9,T6,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T7,Z,4,2,2,no
1,0,3,12,2,12,5,0.294,12,T7,Z,4,2,2,no
1,0,3,12,2,12,5,0.294,9,T7,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T8,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T8,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,12,T8,Z,4,2,2,no
1,0,3,12,2,12,5,0.294,12,T8,Z,4,2,2,no
1,0,3,12,2,12,5,0.294,9,T8,Z,4,2,2,yes
1,0,3,12,2,12,5,0.294,0,T9,Z,0,0,2,no
1,0,3,12,2,12,5,0.294,0,T9,Z,0,0,2,no
1,0,3,12,2,12,5,0.294,9,T9,Z,4,2,2,yes
1,0,1,3,1,12,5,0.294,51,T9,D,3,8,2,yes
1,0,1,3,1,12,5,0.294,237,T9,D,14,29,2,yes
1,0,1,3,1,12,5,0.294,237,T9,D,14,29,2,yes
1,0,1,3,1,12,5,0.294,189,T3,Z,13,26,2,yes
1,0,1,3,1,12,5,0.294,189,T3,Z,13,26,2,yes
1,0,1,3,1,12,5,0.294,189,T6,Z,13,26,2,yes
1,0,1,3,1,12,5,0.294,189,T7,Z,13,26,2,yes
1,0,1,3,1,12,5,0.294,189,T8,Z,13,26,2,yes
1,0,1,3,1,12,5,0.294,189,T9,Z,13,26,2,yes
1,0,1,10,1,12,5,0.294,0,T3,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T3,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T3,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T3,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T3,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T5,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T7,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T7,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T7,I,0,0,2,no
1,0,1,10,1,12,5,0.294,0,T9,I,0,0,2,no
1,0,1,3,1,12,5,0.294,108,T12,V,9,26,2,yes
