@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,0,0,1,30,T3,V,10,23,3,no
1,0,13,57,3,0,0,1,33,T0,V,11,26,3,no
1,0,13,57,3,0,0,1,2079,T0,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T0,V,11,26,3,no
1,0,13,57,3,0,0,1,495,T0,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T0,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T0,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T0,V,11,26,3,no
1,0,13,57,3,0,0,1,2046,T1,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T1,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T1,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T1,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T1,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T1,V,0,0,3,no
1,0,13,57,3,0,0,1,462,T1,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T1,V,0,0,3,no
1,0,13,57,3,0,0,1,2079,T2,V,11,26,3,yes
1,0,13,57,3,0,0,1,495,T2,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T2,V,0,0,3,no
1,0,1,3,1,0,0,1,33,T3,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,2079,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T3,V,11,26,3,no
1,0,13,57,3,0,0,1,495,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,462,T3,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,462,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,462,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T3,V,11,26,3,no
1,0,13,57,3,0,0,1,33,T3,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T3,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T3,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T5,V,0,0,3,no
1,0,13,57,3,0,0,1,462,T5,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T5,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T5,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T5,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T5,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,2079,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,495,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,462,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,no
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,no
1,0,13,57,3,0,0,1,0,T6,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T6,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T6,V,11,26,3,yes
1,0,13,57,3,0,0,1,2079,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,no
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,no
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,2046,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,33,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,33,T7,V,11,26,3,no
1,0,13,57,3,0,0,1,495,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,462,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,462,T7,V,11,26,3,yes
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
1,0,13,57,3,0,0,1,0,T7,V,0,0,3,no
