@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T1,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T7,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,1,4,1,1,18,0.947,288,T12,V,65,180,0,yes
2,0,5,25,1,1,18,0.947,213,T1,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,141,T3,V,20,81,0,yes
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T3,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T5,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T6,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,no
2,0,5,25,1,1,18,0.947,141,T7,V,20,81,0,yes
2,0,5,25,1,1,18,0.947,213,T7,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T8,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T10,V,22,88,0,no
2,0,5,25,1,1,18,0.947,213,T10,V,22,88,0,yes
2,0,5,25,1,1,18,0.947,213,T10,V,22,88,0,yes
