@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,0,13,1,442,T7,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T1,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T1,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T1,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T3,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T3,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T3,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T3,V,109,128,0,no
1,0,1,5,1,0,13,1,600,T3,V,109,128,0,no
1,0,1,5,1,0,13,1,600,T3,V,109,128,0,no
1,0,1,5,1,0,13,1,600,T7,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T7,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T7,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,no
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,no
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,3,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T12,V,109,128,0,yes
1,0,1,5,1,0,13,1,600,T12,V,109,128,0,yes
1,0,3,9,2,0,13,1,304,T0,I,15,15,0,yes
1,0,3,9,2,0,13,1,304,T2,I,15,15,0,yes
1,0,3,9,2,0,13,1,304,T3,I,15,15,0,yes
1,0,3,9,2,0,13,1,304,T6,I,15,15,0,yes
1,0,3,9,2,0,13,1,208,T6,I,10,10,0,yes
1,0,3,9,2,0,13,1,236,T7,I,15,15,0,yes
1,0,3,9,2,0,13,1,236,T7,I,15,15,0,yes
1,0,3,9,2,0,13,1,236,T7,I,15,15,0,yes
1,0,3,9,2,0,13,1,208,T7,I,10,10,0,yes
1,0,3,9,2,0,13,1,208,T7,I,10,10,0,yes
1,0,3,9,2,0,13,1,208,T7,I,10,10,0,yes
1,0,3,9,2,0,13,1,208,T8,I,10,10,0,yes
1,0,3,9,2,0,13,1,208,T9,I,10,10,0,yes
1,0,3,9,2,0,13,1,96,T9,I,8,8,0,yes
1,0,3,9,2,0,13,1,304,T11,I,15,15,0,yes
1,0,3,9,3,0,13,1,498,T3,Z,39,42,0,no
1,0,3,9,3,0,13,1,72,T3,Z,4,4,0,yes
1,0,3,9,3,0,13,1,906,T3,Z,73,84,0,yes
1,0,3,9,3,0,13,1,926,T6,Z,73,84,0,yes
1,0,3,9,3,0,13,1,498,T6,Z,39,42,0,yes
1,0,3,9,3,0,13,1,486,T6,Z,39,42,0,yes
1,0,3,9,3,0,13,1,72,T6,Z,4,4,0,yes
1,0,3,9,3,0,13,1,926,T7,Z,73,84,0,yes
1,0,3,9,3,0,13,1,926,T7,Z,73,84,0,yes
1,0,3,9,3,0,13,1,926,T7,Z,73,84,0,yes
1,0,3,9,3,0,13,1,498,T7,Z,39,42,0,yes
1,0,3,9,3,0,13,1,498,T7,Z,39,42,0,no
1,0,3,9,3,0,13,1,486,T7,Z,39,42,0,yes
1,0,3,9,3,0,13,1,486,T7,Z,39,42,0,yes
1,0,3,9,3,0,13,1,486,T7,Z,39,42,0,yes
1,0,3,9,3,0,13,1,72,T7,Z,4,4,0,yes
1,0,3,9,3,0,13,1,72,T7,Z,4,4,0,yes
1,0,3,9,3,0,13,1,926,T8,Z,73,84,0,yes
1,0,3,9,3,0,13,1,498,T8,Z,39,42,0,yes
1,0,3,9,3,0,13,1,486,T8,Z,39,42,0,yes
1,0,3,9,3,0,13,1,72,T8,Z,4,4,0,yes
1,0,3,9,3,0,13,1,498,T9,Z,39,42,0,no
1,0,3,9,3,0,13,1,72,T9,Z,4,4,0,yes
1,0,3,9,3,0,13,1,906,T9,Z,73,84,0,yes
1,0,11,47,3,0,13,1,90,T0,method,14,16,0,no
1,0,11,47,3,0,13,1,2206,T2,method,84,100,0,yes
1,0,11,47,3,0,13,1,40,T2,method,10,10,0,yes
1,0,11,47,3,0,13,1,172,T2,method,27,30,0,yes
1,0,11,47,3,0,13,1,1046,T2,method,77,86,0,yes
1,0,11,47,3,0,13,1,6052,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,no
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T3,method,103,119,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,no
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,no
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,no
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,no
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,no
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T3,method,14,16,0,yes
1,0,11,47,3,0,13,1,6052,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T6,method,103,119,0,yes
1,0,11,47,3,0,13,1,344,T6,method,27,30,0,yes
1,0,11,47,3,0,13,1,90,T6,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T6,method,14,16,0,yes
1,0,11,47,3,0,13,1,90,T6,method,14,16,0,yes
1,0,11,47,3,0,13,1,6052,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,6052,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,6052,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T7,method,103,119,0,yes
1,0,11,47,3,0,13,1,10570,T7,method,103,119,0,yes
