@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,1,10,1,21,8,0.276,42,T12,V,14,33,7,yes
3,0,2,5,2,21,8,0.276,12,T6,V,4,12,7,yes
3,0,2,5,2,21,8,0.276,12,T7,V,4,12,7,yes
3,0,2,5,2,21,8,0.276,12,T7,V,4,12,7,yes
3,0,2,5,2,21,8,0.276,0,T7,V,0,0,7,no
3,0,2,5,2,21,8,0.276,12,T8,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T6,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T6,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T7,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T7,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T7,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T7,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T7,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T8,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T8,V,4,12,7,yes
3,0,3,10,3,21,8,0.276,12,T10,V,4,12,7,yes
3,0,3,9,2,21,8,0.276,6,T1,I,2,5,7,yes
3,0,3,9,2,21,8,0.276,12,T6,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T6,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T7,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,6,T7,I,2,5,7,yes
3,0,3,9,2,21,8,0.276,12,T8,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T8,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,12,T9,I,4,12,7,yes
3,0,3,9,2,21,8,0.276,6,T10,I,2,5,7,yes
3,0,1,4,1,21,8,0.276,45,T7,method,5,14,7,yes
3,0,1,4,1,21,8,0.276,45,T9,method,5,14,7,yes
3,0,1,3,1,21,8,0.276,36,T7,method,7,21,7,yes
3,0,1,3,1,21,8,0.276,36,T9,method,7,21,7,yes
3,0,1,3,1,21,8,0.276,12,T7,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,12,T7,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,12,T9,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,15,T7,method,5,17,7,yes
3,0,1,3,1,21,8,0.276,15,T9,method,5,17,7,yes
3,0,1,3,1,21,8,0.276,6,T9,method,1,2,7,yes
3,0,2,7,2,21,8,0.276,12,T6,method,4,12,7,yes
3,0,2,7,2,21,8,0.276,12,T7,method,4,12,7,yes
3,0,2,7,2,21,8,0.276,0,T7,method,0,0,7,no
3,0,2,7,2,21,8,0.276,12,T8,method,4,12,7,yes
3,0,2,7,2,21,8,0.276,12,T9,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,24,T7,method,7,19,7,yes
3,0,1,3,1,21,8,0.276,24,T9,method,7,19,7,yes
3,0,1,4,1,21,8,0.276,48,T1,method,11,26,7,yes
3,0,1,4,1,21,8,0.276,48,T9,method,11,26,7,yes
3,0,1,3,1,21,8,0.276,21,T7,method,7,19,7,yes
3,0,1,3,1,21,8,0.276,21,T9,method,7,19,7,yes
3,0,1,3,1,21,8,0.276,12,T7,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,12,T7,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,12,T9,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T0,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T0,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T2,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T3,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T3,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T6,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T6,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T6,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T6,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,24,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T7,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T8,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,12,T8,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,0,T9,method,0,0,7,no
3,0,4,11,3,21,8,0.276,12,T9,method,4,12,7,yes
3,0,4,11,3,21,8,0.276,0,T9,method,0,0,7,no
3,0,4,11,3,21,8,0.276,24,T11,method,4,12,7,yes
3,0,1,3,1,21,8,0.276,9,T7,method,2,7,7,yes
3,0,1,3,1,21,8,0.276,9,T9,method,2,7,7,yes
3,0,1,3,1,21,8,0.276,12,T9,method,4,12,7,yes
3,0,5,12,2,21,8,0.276,0,T0,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T1,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T1,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T3,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T5,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T6,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T6,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T6,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T6,V,0,0,7,no
3,0,5,12,2,21,8,0.276,0,T7,V,0,0,7,no
