@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,2,1,17,7,0.292,12,T1,V,2,10,0,no
2,0,1,2,1,17,7,0.292,12,T12,V,2,10,0,no
2,0,1,2,1,17,7,0.292,12,T12,V,2,10,0,no
2,0,1,2,1,17,7,0.292,12,T1,V,2,10,0,no
2,0,1,2,1,17,7,0.292,12,T12,V,2,10,0,no
2,0,1,2,1,17,7,0.292,12,T12,V,2,10,0,no
2,0,1,3,1,17,7,0.292,0,T12,V,0,0,0,no
2,0,1,13,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,13,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,13,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,13,1,17,7,0.292,0,T12,V,0,0,0,no
2,0,1,14,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,14,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,14,1,17,7,0.292,0,T1,V,0,0,0,no
2,0,1,14,1,17,7,0.292,0,T12,V,0,0,0,no
2,0,1,16,1,17,7,0.292,12,T1,V,2,10,0,yes
2,0,1,16,1,17,7,0.292,12,T12,V,2,10,0,yes
2,0,1,7,1,17,7,0.292,0,T1,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T7,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T9,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T12,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T12,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T12,method,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T0,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T2,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T3,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T3,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T3,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T6,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T6,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T8,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T9,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T9,Z,0,0,0,no
2,0,3,8,3,17,7,0.292,0,T11,Z,0,0,0,no
2,0,2,5,2,17,7,0.292,0,T6,V,0,0,0,no
2,0,2,5,2,17,7,0.292,0,T8,V,0,0,0,no
2,0,2,5,2,17,7,0.292,0,T10,V,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T9,method,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T7,method,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T9,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T3,[B,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T6,[B,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T8,[B,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T9,[B,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T12,[B,0,0,0,no
2,0,1,3,1,17,7,0.292,6,T1,method,2,10,0,yes
2,0,1,3,1,17,7,0.292,6,T9,method,2,10,0,yes
2,0,1,3,1,17,7,0.292,6,T1,method,2,10,0,yes
2,0,1,3,1,17,7,0.292,6,T9,method,2,10,0,yes
2,0,1,3,1,17,7,0.292,0,T1,method,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T9,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T1,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T6,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T8,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T9,method,0,0,0,no
2,0,2,6,2,17,7,0.292,0,T12,method,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T7,I,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T9,I,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T7,method,0,0,0,no
2,0,1,3,1,17,7,0.292,0,T9,method,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T7,V,0,0,0,no
2,0,1,7,1,17,7,0.292,0,T10,V,0,0,0,no
