@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,36,8,0.182,9,T10,V,2,4,0,yes
1,0,1,3,1,36,8,0.182,0,T10,V,1,5,0,no
1,0,1,3,1,36,8,0.182,6,T10,V,2,4,0,yes
1,0,1,3,1,36,8,0.182,6,T10,V,2,5,0,yes
1,0,2,7,2,36,8,0.182,0,T1,method,1,1,0,no
1,0,2,7,2,36,8,0.182,0,T1,method,1,1,0,no
1,0,2,7,2,36,8,0.182,0,T3,method,1,1,0,no
1,0,2,7,2,36,8,0.182,0,T3,method,1,1,0,no
1,0,2,7,2,36,8,0.182,0,T6,method,2,2,0,no
1,0,2,7,2,36,8,0.182,0,T7,method,2,2,0,no
1,0,2,7,2,36,8,0.182,0,T8,method,2,2,0,no
1,0,2,7,2,36,8,0.182,0,T9,method,1,1,0,no
1,0,2,7,2,36,8,0.182,0,T9,method,1,1,0,no
1,0,5,5,2,36,8,0.182,0,T6,V,8,11,0,no
1,0,5,5,2,36,8,0.182,0,T6,V,8,11,0,no
1,0,5,5,2,36,8,0.182,0,T8,V,8,11,0,no
1,0,5,5,2,36,8,0.182,0,T8,V,8,11,0,no
1,0,5,5,2,36,8,0.182,0,T10,V,8,11,0,no
1,0,5,5,2,36,8,0.182,0,T10,V,8,11,0,no
1,0,5,20,2,36,8,0.182,0,T1,method,1,1,0,no
1,0,5,20,2,36,8,0.182,0,T1,method,1,1,0,no
1,0,5,20,2,36,8,0.182,0,T1,method,1,1,0,no
1,0,5,20,2,36,8,0.182,0,T3,method,1,1,0,no
1,0,5,20,2,36,8,0.182,0,T3,method,1,1,0,no
1,0,5,20,2,36,8,0.182,0,T3,method,1,1,0,no
1,0,5,20,2,36,8,0.182,21,T6,method,7,13,0,yes
