@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,5,1,43,9,0.173,93,T3,V,27,94,0,no
1,0,1,5,1,43,9,0.173,93,T12,V,27,94,0,no
1,0,1,5,1,43,9,0.173,93,T12,V,27,94,0,no
1,0,1,5,1,43,9,0.173,93,T12,V,27,94,0,no
1,0,7,16,3,43,9,0.173,0,T1,V,0,0,0,no
1,0,7,16,3,43,9,0.173,0,T1,V,0,0,0,no
1,0,7,16,3,43,9,0.173,1035,T6,V,20,79,0,no
1,0,7,16,3,43,9,0.173,1035,T6,V,20,79,0,no
1,0,7,16,3,43,9,0.173,927,T6,V,17,72,0,no
1,0,7,16,3,43,9,0.173,243,T6,V,11,67,0,no
1,0,7,16,3,43,9,0.173,243,T6,V,11,67,0,no
1,0,7,16,3,43,9,0.173,684,T6,V,17,72,0,no
1,0,7,16,3,43,9,0.173,1035,T7,V,20,79,0,no
1,0,7,16,3,43,9,0.173,927,T7,V,17,72,0,no
1,0,7,16,3,43,9,0.173,927,T7,V,17,72,0,no
1,0,7,16,3,43,9,0.173,243,T7,V,11,67,0,no
1,0,7,16,3,43,9,0.173,243,T7,V,11,67,0,no
1,0,7,16,3,43,9,0.173,243,T7,V,11,67,0,no
1,0,7,16,3,43,9,0.173,243,T7,V,11,67,0,no
1,0,7,16,3,43,9,0.173,0,T7,V,0,0,0,no
1,0,7,16,3,43,9,0.173,684,T7,V,17,72,0,yes
1,0,7,16,3,43,9,0.173,684,T7,V,17,72,0,no
1,0,7,16,3,43,9,0.173,0,T7,V,0,0,0,no
1,0,7,16,3,43,9,0.173,1035,T8,V,20,79,0,no
1,0,7,16,3,43,9,0.173,1035,T8,V,20,79,0,yes
1,0,7,16,3,43,9,0.173,927,T8,V,17,72,0,no
