@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,7,15,0.682,75,T12,V,20,48,2,yes
1,0,2,7,2,7,15,0.682,18,T1,method,1,0,2,yes
1,0,2,7,2,7,15,0.682,582,T7,method,20,48,2,yes
1,0,2,7,2,7,15,0.682,582,T9,method,20,48,2,yes
1,0,1,3,1,7,15,0.682,297,T7,I,20,48,2,yes
1,0,1,3,1,7,15,0.682,297,T9,I,20,48,2,yes
1,0,1,3,1,7,15,0.682,117,T7,Z,17,31,2,yes
1,0,1,3,1,7,15,0.682,117,T9,Z,17,31,2,yes
1,0,2,7,2,7,15,0.682,111,T3,Z,16,29,2,yes
1,0,2,7,2,7,15,0.682,111,T3,Z,16,29,2,yes
1,0,2,7,2,7,15,0.682,90,T3,Z,12,22,2,yes
1,0,2,7,2,7,15,0.682,21,T3,Z,6,15,2,yes
1,0,2,7,2,7,15,0.682,111,T6,Z,16,29,2,yes
1,0,2,7,2,7,15,0.682,111,T7,Z,16,29,2,yes
1,0,2,7,2,7,15,0.682,21,T7,Z,6,15,2,yes
1,0,2,7,2,7,15,0.682,21,T7,Z,6,15,2,yes
1,0,2,7,2,7,15,0.682,21,T7,Z,6,15,2,no
1,0,2,7,2,7,15,0.682,21,T7,Z,6,15,2,yes
1,0,2,7,2,7,15,0.682,21,T7,Z,6,15,2,yes
1,0,2,7,2,7,15,0.682,111,T8,Z,16,29,2,yes
1,0,2,7,2,7,15,0.682,90,T9,Z,12,22,2,yes
1,0,2,7,2,7,15,0.682,21,T9,Z,6,15,2,yes
1,0,3,12,3,7,15,0.682,393,T6,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,393,T6,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,249,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,249,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,393,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,393,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,393,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,249,T7,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,393,T8,Z,18,36,2,no
1,0,3,12,3,7,15,0.682,393,T8,Z,18,36,2,yes
1,0,3,12,3,7,15,0.682,249,T9,Z,18,36,2,yes
1,0,1,3,1,7,15,0.682,132,T7,Z,18,36,2,yes
1,0,1,3,1,7,15,0.682,132,T9,Z,18,36,2,yes
1,0,1,3,1,7,15,0.682,18,T1,method,1,0,2,yes
1,0,1,3,1,7,15,0.682,18,T1,method,1,0,2,yes
1,0,1,3,1,7,15,0.682,18,T9,method,1,0,2,yes
1,0,1,7,1,7,15,0.682,90,T3,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,90,T3,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,105,T7,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,105,T7,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,90,T7,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,87,T9,method,20,48,2,yes
1,0,1,7,1,7,15,0.682,105,T12,method,20,48,2,yes
1,0,7,26,2,7,15,0.682,3,T0,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T0,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T0,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T0,method,1,6,2,no
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T3,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T5,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T6,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T6,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T6,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T6,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T6,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T6,method,1,6,2,no
1,0,7,26,2,7,15,0.682,9,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,9,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,no
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T7,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,0,T7,method,0,0,2,no
1,0,7,26,2,7,15,0.682,9,T8,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,6,T8,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T9,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,3,T9,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,0,T9,method,0,0,2,no
1,0,7,26,2,7,15,0.682,0,T9,method,0,0,2,no
1,0,7,26,2,7,15,0.682,3,T9,method,1,6,2,yes
1,0,7,26,2,7,15,0.682,0,T9,method,0,0,2,no
1,0,7,33,1,7,15,0.682,93,T7,method,13,23,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,13,23,2,yes
1,0,7,33,1,7,15,0.682,6,T7,method,2,3,2,yes
1,0,7,33,1,7,15,0.682,6,T7,method,2,3,2,yes
1,0,7,33,1,7,15,0.682,6,T7,method,2,3,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,1,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,1,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,1,2,yes
1,0,7,33,1,7,15,0.682,15,T7,method,3,9,2,yes
1,0,7,33,1,7,15,0.682,15,T7,method,3,9,2,yes
1,0,7,33,1,7,15,0.682,15,T7,method,3,9,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,5,12,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,5,12,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,5,12,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,6,19,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,6,19,2,yes
1,0,7,33,1,7,15,0.682,27,T7,method,6,19,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,2,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,2,2,yes
1,0,7,33,1,7,15,0.682,3,T7,method,1,2,2,yes
1,0,7,33,1,7,15,0.682,12,T7,method,2,1,2,yes
1,0,7,33,1,7,15,0.682,12,T7,method,2,1,2,yes
1,0,7,33,1,7,15,0.682,84,T9,method,13,23,2,yes
1,0,7,33,1,7,15,0.682,3,T14,method,13,23,2,yes
1,0,1,5,1,7,15,0.682,6,T3,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T3,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T7,method,2,4,2,yes
1,0,1,5,1,7,15,0.682,6,T9,method,2,4,2,yes
