@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,1,1,3,1,14,17,0.548,0,T3,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T3,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T3,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T3,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,6,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,6,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,6,1,14,17,0.548,0,T12,V,54,90,0,no
1,1,1,3,1,14,17,0.548,0,T1,V,0,0,0,no
1,1,1,3,1,14,17,0.548,0,T1,V,8,26,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T6,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,7,29,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,7,29,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,12,28,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,12,28,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,12,28,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,0,0,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T7,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,18,40,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T8,method,6,12,0,no
1,1,7,26,2,14,17,0.548,0,T9,method,18,40,0,no
1,1,1,13,1,14,17,0.548,0,T1,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T1,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T1,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
1,1,1,13,1,14,17,0.548,0,T7,method,0,0,0,no
