@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,4,1,0,0,1,120,T1,V,8,32,0,yes
1,0,1,4,1,0,0,1,120,T12,V,8,32,0,no
1,0,1,4,1,0,0,1,120,T12,V,8,32,0,yes
1,0,1,5,1,0,0,1,36,T10,V,3,5,0,yes
1,0,1,5,1,0,0,1,36,T12,V,3,5,0,yes
1,0,1,4,1,0,0,1,3,T12,V,1,6,0,no
1,0,1,4,1,0,0,1,3,T12,V,1,6,0,yes
1,0,1,4,1,0,0,1,84,T10,V,7,31,0,yes
1,0,2,7,2,0,0,1,20007,T0,J,4,11,0,yes
1,0,2,7,2,0,0,1,20007,T2,J,4,11,0,yes
1,0,2,7,2,0,0,1,39,T3,J,4,11,0,no
1,0,2,7,2,0,0,1,20007,T3,J,4,11,0,no
1,0,2,7,2,0,0,1,19968,T3,J,4,11,0,no
1,0,2,7,2,0,0,1,19968,T5,J,4,11,0,no
1,0,2,7,2,0,0,1,19968,T5,J,4,11,0,no
1,0,2,7,2,0,0,1,20007,T6,J,4,11,0,no
1,0,2,7,2,0,0,1,39,T9,J,4,11,0,no
1,0,2,7,2,0,0,1,20007,T11,J,4,11,0,yes
1,0,1,3,1,0,0,1,3,T7,Z,1,6,0,yes
1,0,1,3,1,0,0,1,3,T7,Z,1,6,0,yes
1,0,1,3,1,0,0,1,3,T7,Z,1,6,0,yes
1,0,1,3,1,0,0,1,3,T9,Z,1,6,0,yes
1,0,1,3,1,0,0,1,36,T3,V,3,5,0,no
1,0,1,3,1,0,0,1,36,T5,V,3,5,0,no
