@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,5,10,2,11,1,0.083,24,T0,V,6,9,3,no
1,0,5,10,2,11,1,0.083,3,T1,V,1,0,3,yes
1,0,5,10,2,11,1,0.083,3,T1,V,1,0,3,yes
1,0,5,10,2,11,1,0.083,27,T6,V,7,9,3,yes
1,0,5,10,2,11,1,0.083,27,T6,V,7,9,3,yes
1,0,5,10,2,11,1,0.083,24,T6,V,6,9,3,yes
1,0,5,10,2,11,1,0.083,24,T6,V,6,9,3,yes
1,0,5,10,2,11,1,0.083,27,T7,V,7,9,3,yes
1,0,5,10,2,11,1,0.083,27,T7,V,7,9,3,no
1,0,5,10,2,11,1,0.083,27,T7,V,7,9,3,no
1,0,5,10,2,11,1,0.083,24,T7,V,6,9,3,yes
1,0,5,10,2,11,1,0.083,24,T7,V,6,9,3,yes
1,0,5,10,2,11,1,0.083,24,T7,V,6,9,3,no
1,0,5,10,2,11,1,0.083,27,T8,V,7,9,3,no
1,0,5,10,2,11,1,0.083,27,T8,V,7,9,3,yes
1,0,5,10,2,11,1,0.083,24,T8,V,6,9,3,no
1,0,2,9,3,11,1,0.083,21,T1,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,21,T6,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,63,T6,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,21,T7,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,21,T7,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,21,T7,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,21,T7,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,63,T7,method,5,11,3,yes
1,0,2,9,3,11,1,0.083,63,T7,method,5,11,3,yes
