@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,6,2,21,14,0.4,0,T6,method,18,52,0,no
1,0,2,6,2,21,14,0.4,0,T7,method,8,32,0,no
1,0,2,6,2,21,14,0.4,0,T8,method,18,52,0,no
1,0,2,6,2,21,14,0.4,0,T9,method,14,44,0,no
1,0,2,6,2,21,14,0.4,0,T9,method,8,32,0,no
1,0,2,6,2,21,14,0.4,0,T6,method,0,0,0,no
1,0,2,6,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,6,2,21,14,0.4,0,T8,method,0,0,0,no
1,0,2,6,2,21,14,0.4,0,T9,method,0,0,0,no
1,0,2,6,2,21,14,0.4,0,T9,method,0,0,0,no
1,0,3,12,2,21,14,0.4,0,T1,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T9,method,0,0,0,no
1,0,3,12,2,21,14,0.4,0,T9,method,2,4,0,no
1,0,2,11,2,21,14,0.4,0,T1,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T6,method,26,68,0,no
1,0,2,11,2,21,14,0.4,0,T6,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,26,68,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T8,method,26,68,0,no
1,0,2,11,2,21,14,0.4,0,T8,method,17,50,0,no
1,0,2,11,2,21,14,0.4,0,T9,method,20,56,0,no
1,0,2,11,2,21,14,0.4,0,T9,method,17,50,0,no
1,0,3,12,2,21,14,0.4,0,T1,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,17,34,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,17,34,0,no
1,0,3,12,2,21,14,0.4,0,T6,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,17,34,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T7,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,17,34,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,17,34,0,no
1,0,3,12,2,21,14,0.4,0,T8,method,16,32,0,no
1,0,3,12,2,21,14,0.4,0,T9,method,2,4,0,no
1,0,3,12,2,21,14,0.4,0,T9,method,16,32,0,no
1,0,2,10,2,21,14,0.4,0,T1,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T6,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T6,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T7,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T8,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T8,method,12,24,0,no
1,0,2,10,2,21,14,0.4,0,T9,method,0,0,0,no
1,0,2,10,2,21,14,0.4,0,T9,method,12,24,0,no
1,0,2,11,2,21,14,0.4,0,T1,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T6,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T6,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T7,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T8,method,0,0,0,no
1,0,2,11,2,21,14,0.4,0,T8,method,0,0,0,no
