@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,5,1,7,25,0.781,24,T1,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T1,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T3,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T3,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T7,V,3,14,3,no
2,0,1,5,1,7,25,0.781,24,T7,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T7,V,3,14,3,yes
2,0,1,5,1,7,25,0.781,24,T10,V,3,14,3,no
2,0,4,17,3,7,25,0.781,3,T1,method,1,3,3,yes
2,0,4,17,3,7,25,0.781,3,T3,method,1,3,3,yes
2,0,4,17,3,7,25,0.781,3,T3,method,1,3,3,yes
2,0,4,17,3,7,25,0.781,3,T3,method,1,3,3,no
2,0,4,17,3,7,25,0.781,3,T3,method,1,3,3,no
2,0,4,17,3,7,25,0.781,1845,T3,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,1845,T3,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,159,T3,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,31368,T5,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,31365,T5,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,31365,T5,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,33213,T6,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,31368,T6,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,31365,T7,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,3,T7,method,1,3,3,yes
2,0,4,17,3,7,25,0.781,3,T7,method,1,3,3,yes
2,0,4,17,3,7,25,0.781,159,T7,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,159,T7,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,159,T7,method,3,14,3,yes
2,0,4,17,3,7,25,0.781,33213,T11,method,3,14,3,yes
2,0,1,7,1,7,25,0.781,0,T3,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T3,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T3,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T3,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T5,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T5,V,0,0,3,no
2,0,1,7,1,7,25,0.781,0,T7,V,0,0,3,no
