@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,0,0,1,3,T3,V,1,4,4,no
1,0,1,3,1,0,0,1,3,T12,V,1,4,4,yes
1,0,3,7,2,0,0,1,0,T0,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T0,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T1,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T1,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T3,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T5,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T5,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T5,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T5,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T5,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T6,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T6,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T7,I,0,0,4,no
1,0,3,7,2,0,0,1,0,T9,I,0,0,4,no
1,0,16,75,5,0,0,1,3083010,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6291525,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208521,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208521,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T0,[B,2,8,4,no
1,0,16,75,5,0,0,1,1478835,T0,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T0,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T0,[B,1,4,4,yes
1,0,16,75,5,0,0,1,0,T0,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T0,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T0,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T0,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T0,[B,0,0,4,no
1,0,16,75,5,0,0,1,3083004,T0,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6,T1,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083007,T2,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208521,T2,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208518,T2,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1604169,T2,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1478835,T2,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T2,[B,1,4,4,yes
1,0,16,75,5,0,0,1,0,T2,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T2,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T2,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T2,[B,0,0,4,no
1,0,16,75,5,0,0,1,3083004,T2,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6291525,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,15,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,30,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,3083004,T3,[B,2,8,4,no
1,0,16,75,5,0,0,1,1604169,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1604169,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,no
1,0,16,75,5,0,0,1,15,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T3,[B,0,0,4,no
1,0,16,75,5,0,0,1,24,T3,[B,1,4,4,yes
1,0,16,75,5,0,0,1,3083004,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T3,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1604169,T5,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1604169,T5,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1478835,T5,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T5,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T5,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T5,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T5,[B,1,4,4,yes
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,0,T5,[B,0,0,4,no
1,0,16,75,5,0,0,1,3083004,T5,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T5,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083010,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,6291525,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208521,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3208521,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,3083004,T6,[B,2,8,4,yes
1,0,16,75,5,0,0,1,1478835,T6,[B,1,4,4,yes
1,0,16,75,5,0,0,1,1478835,T6,[B,1,4,4,no
1,0,16,75,5,0,0,1,1478835,T6,[B,1,4,4,yes
