@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,12,10,0.455,177,T7,V,59,0,0,yes
1,0,1,3,1,12,10,0.455,177,T12,V,59,0,0,yes
1,0,1,3,1,12,10,0.455,177,T12,V,59,0,0,yes
1,0,7,26,4,12,10,0.455,3,T1,method,1,0,0,yes
1,0,7,26,4,12,10,0.455,3,T1,method,1,0,0,yes
1,0,7,26,4,12,10,0.455,309,T1,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,36,T1,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,36,T1,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,204,T1,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,549,T3,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T6,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,549,T6,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T6,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T6,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,312,T6,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,312,T6,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,543,T6,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,210,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,549,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T7,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,312,T7,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,312,T7,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,309,T7,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,309,T7,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,309,T7,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,543,T7,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,36,T7,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,36,T7,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,36,T7,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,36,T7,method,8,0,0,yes
1,0,7,26,4,12,10,0.455,210,T8,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,549,T8,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T8,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,315,T8,method,56,0,0,yes
1,0,7,26,4,12,10,0.455,312,T8,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,312,T8,method,55,0,0,yes
1,0,7,26,4,12,10,0.455,543,T8,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,204,T9,method,54,0,0,yes
1,0,7,26,4,12,10,0.455,549,T10,method,56,0,0,yes
1,0,1,4,1,12,10,0.455,66,T7,method,20,0,0,yes
1,0,1,4,1,12,10,0.455,66,T7,method,20,0,0,yes
1,0,1,4,1,12,10,0.455,66,T7,method,20,0,0,yes
1,0,1,4,1,12,10,0.455,66,T9,method,20,0,0,yes
