@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,11,2,0,2,1,0,T1,method,0,0,2,no
1,0,2,11,2,0,2,1,12,T6,method,2,3,2,yes
1,0,2,11,2,0,2,1,12,T8,method,2,3,2,yes
1,0,2,11,2,0,2,1,12,T9,method,2,3,2,yes
1,0,2,11,2,0,2,1,12,T10,method,2,3,2,no
1,0,2,11,2,0,2,1,12,T10,method,2,3,2,no
1,0,2,11,2,0,2,1,12,T12,method,2,3,2,no
1,0,2,11,2,0,2,1,12,T12,method,2,3,2,yes
1,0,1,6,1,0,2,1,4,T9,method,1,0,2,yes
1,0,1,6,1,0,2,1,8,T10,method,1,0,2,no
1,0,1,6,1,0,2,1,8,T10,method,1,0,2,yes
1,0,1,6,1,0,2,1,4,T12,method,1,0,2,no
1,0,1,6,1,0,2,1,4,T9,method,1,0,2,yes
1,0,1,6,1,0,2,1,8,T10,method,1,0,2,no
1,0,1,6,1,0,2,1,8,T10,method,1,0,2,yes
1,0,1,6,1,0,2,1,4,T12,method,1,0,2,no
1,0,2,13,2,0,2,1,0,T1,method,0,0,2,no
1,0,2,13,2,0,2,1,0,T1,method,0,0,2,no
1,0,2,13,2,0,2,1,28,T7,method,5,9,2,yes
1,0,2,13,2,0,2,1,0,T7,method,0,0,2,no
1,0,2,13,2,0,2,1,0,T7,method,0,0,2,no
1,0,2,13,2,0,2,1,0,T7,method,0,0,2,no
1,0,2,13,2,0,2,1,28,T9,method,5,9,2,yes
1,0,2,13,2,0,2,1,32,T10,method,5,9,2,no
1,0,2,13,2,0,2,1,32,T10,method,5,9,2,yes
1,0,2,13,2,0,2,1,28,T12,method,5,9,2,yes
1,0,2,13,2,0,2,1,28,T12,method,5,9,2,yes
1,0,1,7,1,0,2,1,4,T9,method,1,0,2,yes
1,0,1,7,1,0,2,1,8,T10,method,1,0,2,no
1,0,1,7,1,0,2,1,8,T10,method,1,0,2,yes
1,0,1,7,1,0,2,1,4,T12,method,1,0,2,no
1,0,1,7,1,0,2,1,4,T12,method,1,0,2,no
1,0,10,32,2,0,2,1,28,T1,method,4,5,2,yes
1,0,10,32,2,0,2,1,16,T1,method,2,4,2,yes
1,0,10,32,2,0,2,1,0,T1,method,0,0,2,no
1,0,10,32,2,0,2,1,0,T1,method,0,0,2,no
1,0,10,32,2,0,2,1,8,T1,method,2,3,2,yes
1,0,10,32,2,0,2,1,4,T1,method,1,0,2,yes
1,0,10,32,2,0,2,1,28,T6,method,4,5,2,yes
1,0,10,32,2,0,2,1,28,T6,method,4,5,2,yes
1,0,10,32,2,0,2,1,28,T6,method,4,5,2,yes
