@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,5,1,3,1,0.25,0,T12,V,27,74,3,no
1,0,1,5,1,3,1,0.25,0,T12,V,27,74,3,no
1,0,1,5,1,3,1,0.25,0,T12,V,27,74,3,no
1,0,2,7,2,3,1,0.25,0,T1,method,1,3,3,no
1,0,2,7,2,3,1,0.25,0,T6,method,2,7,3,no
1,0,2,7,2,3,1,0.25,0,T8,method,2,7,3,no
1,0,2,7,2,3,1,0.25,0,T9,method,1,4,3,no
1,0,2,7,2,3,1,0.25,0,T12,method,1,4,3,no
1,0,2,7,2,3,1,0.25,0,T1,method,1,3,3,no
1,0,2,7,2,3,1,0.25,0,T6,method,2,7,3,no
1,0,2,7,2,3,1,0.25,0,T8,method,2,7,3,no
1,0,2,7,2,3,1,0.25,0,T9,method,1,4,3,no
1,0,2,7,2,3,1,0.25,0,T12,method,1,4,3,no
1,0,1,3,1,3,1,0.25,0,T7,method,1,4,3,no
1,0,1,3,1,3,1,0.25,0,T7,method,1,4,3,no
1,0,1,3,1,3,1,0.25,0,T9,method,1,4,3,no
1,0,16,63,4,3,1,0.25,0,T0,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T1,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T3,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T3,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,9,33,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,8,30,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,8,30,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,4,4,3,no
1,0,16,63,4,3,1,0.25,0,T6,method,18,55,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,3,3,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,1,5,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,4,10,3,no
1,0,16,63,4,3,1,0.25,0,T7,method,4,10,3,no
