@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,1,3,15,3,5,5,0.5,0,T0,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T1,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T1,V,3,0,5,no
1,1,3,15,3,5,5,0.5,0,T1,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T1,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T2,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T3,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T6,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T6,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T6,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T7,V,8,0,5,no
1,1,3,15,3,5,5,0.5,0,T8,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T8,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T12,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T12,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T12,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T12,V,106,31,5,no
1,1,3,15,3,5,5,0.5,0,T11,V,106,31,5,no
1,1,2,10,2,5,5,0.5,0,T1,V,28,0,5,no
1,1,2,10,2,5,5,0.5,0,T6,V,39,0,5,no
1,1,2,10,2,5,5,0.5,0,T7,V,39,0,5,no
1,1,2,10,2,5,5,0.5,0,T7,V,28,0,5,no
1,1,2,10,2,5,5,0.5,0,T7,V,28,0,5,no
1,1,2,10,2,5,5,0.5,0,T8,V,39,0,5,no
1,1,2,10,2,5,5,0.5,0,T10,V,39,0,5,no
1,1,1,4,1,5,5,0.5,0,T7,I,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T7,I,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T7,I,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T9,I,0,0,5,no
1,1,1,6,1,5,5,0.5,0,T1,method,6,0,5,no
1,1,1,6,1,5,5,0.5,0,T7,method,6,0,5,no
1,1,1,6,1,5,5,0.5,0,T7,method,6,0,5,no
1,1,1,6,1,5,5,0.5,0,T9,method,6,0,5,no
1,1,1,3,1,5,5,0.5,0,T3,method,23,6,5,no
1,1,1,3,1,5,5,0.5,0,T3,method,23,6,5,no
1,1,1,3,1,5,5,0.5,0,T3,method,23,6,5,no
1,1,1,3,1,5,5,0.5,0,T9,method,23,6,5,no
1,1,1,4,1,5,5,0.5,0,T9,method,3,10,5,no
1,1,1,4,1,5,5,0.5,0,T9,method,40,27,5,no
1,1,3,20,5,5,5,0.5,0,T1,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T6,V,17,10,5,no
1,1,3,20,5,5,5,0.5,0,T6,V,14,6,5,no
1,1,3,20,5,5,5,0.5,0,T6,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,17,10,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,14,6,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T7,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T8,V,17,10,5,no
1,1,3,20,5,5,5,0.5,0,T8,V,14,6,5,no
1,1,3,20,5,5,5,0.5,0,T8,V,6,0,5,no
1,1,3,20,5,5,5,0.5,0,T10,V,3,4,5,no
1,1,3,20,5,5,5,0.5,0,T10,V,6,0,5,no
1,1,1,4,1,5,5,0.5,0,T12,V,106,31,5,no
1,1,1,4,1,5,5,0.5,0,T3,method,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T3,method,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T7,method,0,0,5,no
1,1,1,4,1,5,5,0.5,0,T9,method,0,0,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T9,method,2,4,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T1,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T7,method,3,3,5,no
1,1,1,9,1,5,5,0.5,0,T9,method,3,3,5,no
1,1,3,11,3,5,5,0.5,0,T6,V,12,0,5,no
1,1,3,11,3,5,5,0.5,0,T6,V,3,0,5,no
1,1,3,11,3,5,5,0.5,0,T7,V,12,0,5,no
1,1,3,11,3,5,5,0.5,0,T7,V,3,0,5,no
1,1,3,11,3,5,5,0.5,0,T7,V,3,0,5,no
1,1,3,11,3,5,5,0.5,0,T7,V,3,0,5,no
1,1,3,11,3,5,5,0.5,0,T8,V,12,0,5,no
1,1,3,11,3,5,5,0.5,0,T8,V,3,0,5,no
1,1,3,11,3,5,5,0.5,0,T10,V,12,0,5,no
1,1,3,12,3,5,5,0.5,0,T1,V,20,4,5,no
1,1,3,12,3,5,5,0.5,0,T6,V,37,15,5,no
1,1,3,12,3,5,5,0.5,0,T6,V,37,15,5,no
1,1,3,12,3,5,5,0.5,0,T7,V,20,4,5,no
1,1,3,12,3,5,5,0.5,0,T8,V,37,15,5,no
1,1,3,12,3,5,5,0.5,0,T8,V,37,15,5,no
1,1,3,12,3,5,5,0.5,0,T10,V,20,4,5,no
1,1,3,12,3,5,5,0.5,0,T12,V,37,15,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T1,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T6,V,39,0,5,no
1,1,5,16,2,5,5,0.5,0,T6,V,36,0,5,no
1,1,5,16,2,5,5,0.5,0,T6,V,34,0,5,no
1,1,5,16,2,5,5,0.5,0,T6,V,31,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,6,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,2,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,34,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T7,V,3,0,5,no
1,1,5,16,2,5,5,0.5,0,T8,V,39,0,5,no
1,1,5,16,2,5,5,0.5,0,T8,V,36,0,5,no
1,1,5,16,2,5,5,0.5,0,T8,V,34,0,5,no
1,1,5,16,2,5,5,0.5,0,T8,V,31,0,5,no
3,0,1,4,1,5,5,0.5,129,T1,V,42,14,3,yes
3,0,1,4,1,5,5,0.5,129,T7,V,42,14,3,yes
3,0,1,4,1,5,5,0.5,129,T12,V,42,14,3,yes
3,0,2,8,2,5,5,0.5,12,T1,V,4,0,3,yes
3,0,2,8,2,5,5,0.5,48,T6,V,15,0,3,yes
3,0,2,8,2,5,5,0.5,48,T8,V,15,0,3,yes
