@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,8,1,3,1,3,5,0.625,10452,T1,method,7,1,1,yes
1,8,1,3,1,3,5,0.625,10452,T7,method,7,1,1,yes
1,8,1,3,1,3,5,0.625,10452,T9,method,7,1,1,yes
1,8,1,3,1,3,5,0.625,5732,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,5732,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,5732,T9,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,1200,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,1200,T9,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,35616,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,35616,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,35616,T9,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,35616,T7,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,35616,T9,method,6,1,1,yes
1,8,2,5,1,3,5,0.625,0,T6,method,0,0,1,no
1,8,2,5,1,3,5,0.625,0,T7,method,0,0,1,no
1,8,2,5,1,3,5,0.625,0,T8,method,0,0,1,no
1,8,2,5,1,3,5,0.625,0,T9,method,0,0,1,no
1,8,2,5,1,3,5,0.625,0,T9,method,0,0,1,no
1,8,1,3,1,3,5,0.625,8,T3,Z,1,0,1,yes
1,8,1,3,1,3,5,0.625,8,T9,Z,1,0,1,yes
1,8,1,3,1,3,5,0.625,6316,T3,I,6,1,1,yes
1,8,1,3,1,3,5,0.625,6316,T9,I,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T1,method,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T6,method,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T7,method,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T7,method,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T7,method,6,1,1,yes
1,8,2,3,1,3,5,0.625,6140,T8,method,6,1,1,no
1,8,2,3,1,3,5,0.625,6140,T9,method,6,1,1,yes
1,8,1,5,1,3,5,0.625,6140,T7,method,6,1,1,yes
1,8,1,5,1,3,5,0.625,6140,T9,method,6,1,1,yes
1,8,1,5,1,3,5,0.625,6140,T10,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,0,T9,method,0,0,1,no
1,8,1,3,1,3,5,0.625,6140,T7,Z,6,1,1,yes
1,8,1,3,1,3,5,0.625,6140,T7,Z,6,1,1,yes
1,8,1,3,1,3,5,0.625,6140,T9,Z,6,1,1,yes
1,8,1,3,1,3,5,0.625,0,T9,Z,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T3,Z,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T9,Z,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T9,Z,0,0,1,no
1,8,1,3,1,3,5,0.625,6660,T9,method,7,2,1,yes
1,8,1,3,1,3,5,0.625,6144,T12,V,7,2,1,yes
1,8,1,4,1,3,5,0.625,24,T3,method,6,1,1,no
1,8,1,4,1,3,5,0.625,24,T9,method,6,1,1,no
1,8,1,4,1,3,5,0.625,24,T12,method,6,1,1,no
1,8,1,4,1,3,5,0.625,24,T3,method,6,1,1,no
1,8,1,4,1,3,5,0.625,24,T9,method,6,1,1,no
1,8,1,4,1,3,5,0.625,24,T12,method,6,1,1,no
1,8,1,3,1,3,5,0.625,8,T9,method,1,0,1,yes
1,8,1,3,1,3,5,0.625,0,T7,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T9,method,0,0,1,no
1,8,1,3,1,3,5,0.625,1200,T9,method,6,1,1,yes
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T1,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T3,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T7,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T7,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T7,method,0,0,1,no
1,8,1,3,1,3,5,0.625,0,T9,method,0,0,1,no
