@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,6,16,4,18,33,0.647,288,T6,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,288,T6,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,336,T6,method,32,100,0,no
2,0,6,16,4,18,33,0.647,336,T6,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T6,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T6,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,288,T7,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,288,T7,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,288,T7,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,288,T7,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,336,T7,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T7,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T7,method,32,100,0,no
2,0,6,16,4,18,33,0.647,336,T7,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T7,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,280,T7,method,31,92,0,yes
2,0,6,16,4,18,33,0.647,288,T8,method,33,101,0,no
2,0,6,16,4,18,33,0.647,288,T8,method,33,101,0,yes
2,0,6,16,4,18,33,0.647,336,T8,method,32,100,0,no
2,0,6,16,4,18,33,0.647,336,T8,method,32,100,0,no
2,0,6,16,4,18,33,0.647,336,T8,method,32,100,0,yes
2,0,6,16,4,18,33,0.647,336,T8,method,32,100,0,no
2,0,6,16,4,18,33,0.647,288,T9,method,33,101,0,yes
2,0,5,14,3,18,33,0.647,140,T3,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,124,T3,method,27,84,0,yes
2,0,5,14,3,18,33,0.647,148,T6,method,33,101,0,yes
2,0,5,14,3,18,33,0.647,140,T6,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,140,T6,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,140,T6,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,148,T7,method,33,101,0,yes
2,0,5,14,3,18,33,0.647,140,T7,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,140,T7,method,31,92,0,no
2,0,5,14,3,18,33,0.647,140,T7,method,31,92,0,no
2,0,5,14,3,18,33,0.647,140,T7,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,124,T7,method,27,84,0,yes
2,0,5,14,3,18,33,0.647,124,T7,method,27,84,0,yes
2,0,5,14,3,18,33,0.647,140,T7,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,148,T8,method,33,101,0,yes
2,0,5,14,3,18,33,0.647,140,T8,method,31,92,0,no
2,0,5,14,3,18,33,0.647,140,T8,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,140,T8,method,31,92,0,yes
2,0,5,14,3,18,33,0.647,148,T9,method,33,101,0,yes
2,0,4,19,5,18,33,0.647,136,T0,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,228,T1,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,136,T2,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,136,T3,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T3,method,4,8,0,no
2,0,4,19,5,18,33,0.647,32,T3,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T3,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,228,T6,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,136,T6,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,104,T6,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T6,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,32,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,104,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T7,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T7,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,228,T8,method,7,14,0,no
2,0,4,19,5,18,33,0.647,104,T8,method,4,8,0,yes
2,0,4,19,5,18,33,0.647,32,T8,method,4,8,0,no
2,0,4,19,5,18,33,0.647,228,T9,method,7,14,0,yes
2,0,4,19,5,18,33,0.647,136,T11,method,4,8,0,yes
2,0,1,3,1,18,33,0.647,8952,T9,method,73,197,0,yes
2,0,1,3,1,18,33,0.647,0,T9,Z,0,0,0,no
2,0,1,3,1,18,33,0.647,4100,T7,Z,32,100,0,yes
2,0,1,3,1,18,33,0.647,4100,T7,Z,32,100,0,yes
2,0,1,3,1,18,33,0.647,4100,T9,Z,32,100,0,yes
2,0,1,6,1,18,33,0.647,324,T3,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T3,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T6,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T6,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T7,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T7,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T7,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T7,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T8,Z,73,197,0,no
2,0,1,6,1,18,33,0.647,324,T8,Z,73,197,0,yes
2,0,1,6,1,18,33,0.647,324,T9,Z,73,197,0,yes
