@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,2,1,7,1,60,12,0.167,8390,T1,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8390,T3,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8390,T3,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T3,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T3,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T3,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T5,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T5,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T5,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T5,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T7,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T7,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8390,T10,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T10,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8390,T12,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8390,T12,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8390,T12,V,296,581,4,no
1,2,1,7,1,60,12,0.167,8386,T12,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T12,V,296,581,4,yes
1,2,1,7,1,60,12,0.167,8386,T12,V,296,581,4,no
1,2,10,40,3,60,12,0.167,8293,T0,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,32,T0,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,32,T0,method,3,13,4,no
1,2,10,40,3,60,12,0.167,2884,T1,method,205,426,4,yes
1,2,10,40,3,60,12,0.167,4606,T1,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,2858,T1,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,1708,T1,method,79,147,4,yes
1,2,10,40,3,60,12,0.167,8,T1,method,1,9,4,yes
1,2,10,40,3,60,12,0.167,0,T1,method,0,0,4,no
1,2,10,40,3,60,12,0.167,8293,T2,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,8293,T3,method,158,289,4,no
1,2,10,40,3,60,12,0.167,0,T3,method,0,0,4,no
1,2,10,40,3,60,12,0.167,32,T3,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,7498,T6,method,271,543,4,yes
1,2,10,40,3,60,12,0.167,7490,T6,method,270,542,4,yes
1,2,10,40,3,60,12,0.167,4606,T6,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,8293,T6,method,158,289,4,no
1,2,10,40,3,60,12,0.167,1748,T6,method,82,160,4,yes
1,2,10,40,3,60,12,0.167,40,T6,method,4,22,4,yes
1,2,10,40,3,60,12,0.167,32,T6,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,32,T6,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,32,T6,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,7498,T7,method,271,543,4,no
1,2,10,40,3,60,12,0.167,4606,T7,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,4606,T7,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,2858,T7,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,2858,T7,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,5435,T7,method,158,289,4,no
1,2,10,40,3,60,12,0.167,32,T7,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,0,T7,method,0,0,4,no
1,2,10,40,3,60,12,0.167,32,T7,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,32,T7,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,7498,T8,method,271,543,4,yes
1,2,10,40,3,60,12,0.167,7490,T8,method,270,542,4,yes
1,2,10,40,3,60,12,0.167,4606,T8,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,1748,T8,method,82,160,4,yes
1,2,10,40,3,60,12,0.167,40,T8,method,4,22,4,yes
1,2,10,40,3,60,12,0.167,32,T8,method,3,13,4,no
1,2,10,40,3,60,12,0.167,8,T9,method,2,6,4,yes
1,2,10,40,3,60,12,0.167,2884,T9,method,205,426,4,yes
1,2,10,40,3,60,12,0.167,2858,T9,method,158,289,4,yes
1,2,10,40,3,60,12,0.167,1708,T9,method,79,147,4,yes
1,2,10,40,3,60,12,0.167,8,T9,method,1,9,4,yes
1,2,10,40,3,60,12,0.167,0,T9,method,0,0,4,no
1,2,10,40,3,60,12,0.167,32,T9,method,3,13,4,yes
1,2,10,40,3,60,12,0.167,4606,T10,method,162,297,4,yes
1,2,10,40,3,60,12,0.167,8293,T11,method,158,289,4,yes
1,2,5,17,2,60,12,0.167,4,T0,method,1,4,4,yes
1,2,5,17,2,60,12,0.167,8,T3,method,2,4,4,yes
1,2,5,17,2,60,12,0.167,28,T3,method,6,17,4,yes
1,2,5,17,2,60,12,0.167,0,T3,method,0,0,4,no
1,2,5,17,2,60,12,0.167,72,T6,method,16,40,4,yes
1,2,5,17,2,60,12,0.167,40,T6,method,9,25,4,yes
1,2,5,17,2,60,12,0.167,32,T6,method,7,21,4,yes
1,2,5,17,2,60,12,0.167,4,T6,method,1,4,4,yes
1,2,5,17,2,60,12,0.167,72,T7,method,16,40,4,yes
1,2,5,17,2,60,12,0.167,72,T7,method,16,40,4,yes
1,2,5,17,2,60,12,0.167,32,T7,method,7,15,4,yes
1,2,5,17,2,60,12,0.167,32,T7,method,7,15,4,yes
1,2,5,17,2,60,12,0.167,40,T7,method,9,25,4,yes
1,2,5,17,2,60,12,0.167,8,T7,method,2,4,4,yes
1,2,5,17,2,60,12,0.167,32,T7,method,7,21,4,yes
1,2,5,17,2,60,12,0.167,28,T7,method,6,17,4,yes
1,2,5,17,2,60,12,0.167,4,T7,method,1,4,4,no
1,2,5,17,2,60,12,0.167,4,T7,method,1,4,4,no
1,2,5,17,2,60,12,0.167,0,T7,method,0,0,4,no
1,2,5,17,2,60,12,0.167,72,T8,method,16,40,4,yes
1,2,5,17,2,60,12,0.167,40,T8,method,9,25,4,yes
1,2,5,17,2,60,12,0.167,32,T8,method,7,21,4,no
1,2,5,17,2,60,12,0.167,32,T9,method,7,15,4,yes
1,2,5,17,2,60,12,0.167,8,T9,method,2,4,4,yes
1,2,5,17,2,60,12,0.167,28,T9,method,6,17,4,yes
1,2,5,17,2,60,12,0.167,0,T9,method,0,0,4,no
1,2,5,17,2,60,12,0.167,4,T9,method,1,4,4,yes
1,2,3,10,2,60,12,0.167,8,T0,method,2,13,4,yes
1,2,3,10,2,60,12,0.167,12,T3,method,3,5,4,yes
1,2,3,10,2,60,12,0.167,8,T3,method,2,13,4,no
1,2,3,10,2,60,12,0.167,0,T3,method,0,0,4,no
1,2,3,10,2,60,12,0.167,20,T6,method,5,18,4,yes
1,2,3,10,2,60,12,0.167,8,T6,method,2,13,4,yes
1,2,3,10,2,60,12,0.167,20,T7,method,5,18,4,yes
1,2,3,10,2,60,12,0.167,12,T7,method,3,5,4,yes
