@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,1,8,1,2,6,0.75,6,T10,V,1,1,0,yes
2,0,1,8,1,2,6,0.75,6,T12,V,1,1,0,yes
2,0,1,8,1,2,6,0.75,6,T12,V,1,1,0,yes
2,0,1,8,1,2,6,0.75,6,T12,V,1,1,0,yes
2,0,2,14,2,2,6,0.75,3,T1,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T3,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T5,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T6,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T8,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,0,T9,method,0,0,0,no
2,0,2,14,2,2,6,0.75,3,T9,method,1,2,0,yes
2,0,1,6,1,2,6,0.75,6,T7,method,1,3,0,yes
2,0,1,6,1,2,6,0.75,6,T7,method,1,3,0,yes
2,0,1,6,1,2,6,0.75,6,T9,method,1,3,0,yes
2,0,1,6,1,2,6,0.75,6,T10,method,1,3,0,yes
2,0,1,6,1,2,6,0.75,6,T10,method,1,3,0,yes
2,0,2,8,1,2,6,0.75,6,T1,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T6,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T7,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T7,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T7,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T7,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T7,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T8,method,2,4,0,yes
2,0,2,8,1,2,6,0.75,6,T9,method,2,4,0,yes
2,0,2,14,2,2,6,0.75,3,T0,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T0,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,0,T1,method,0,0,0,no
2,0,2,14,2,2,6,0.75,3,T1,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,0,T3,method,0,0,0,no
2,0,2,14,2,2,6,0.75,3,T5,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T6,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T6,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
2,0,2,14,2,2,6,0.75,3,T7,method,1,2,0,yes
