@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,2,2,17,3,3,5,0.625,0,T1,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T1,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T3,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T3,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T6,V,23,64,0,no
2,2,2,17,3,3,5,0.625,0,T7,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T7,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T7,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T7,V,21,59,0,no
2,2,2,17,3,3,5,0.625,0,T8,V,23,64,0,no
2,2,2,17,3,3,5,0.625,0,T10,V,23,64,0,no
2,2,2,17,3,3,5,0.625,0,T10,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T12,V,3,7,0,no
2,2,2,17,3,3,5,0.625,0,T12,V,21,59,0,no
2,2,2,5,2,3,5,0.625,0,T1,V,0,0,0,no
2,2,2,5,2,3,5,0.625,0,T6,V,23,64,0,no
2,2,2,5,2,3,5,0.625,0,T8,V,23,64,0,no
2,2,6,26,6,3,5,0.625,0,T1,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T1,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T1,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T3,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T3,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,22,62,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,22,62,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,12,37,0,no
2,2,6,26,6,3,5,0.625,0,T6,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,12,37,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,12,37,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,3,10,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T7,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,22,62,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,22,62,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,12,37,0,no
2,2,6,26,6,3,5,0.625,0,T8,V,11,35,0,no
2,2,6,26,6,3,5,0.625,0,T10,V,15,43,0,no
2,2,6,26,6,3,5,0.625,0,T10,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T10,V,0,0,0,no
2,2,6,26,6,3,5,0.625,0,T12,V,15,43,0,no
2,2,5,19,4,3,5,0.625,0,T1,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T1,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T3,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T3,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T6,V,22,62,0,no
2,2,5,19,4,3,5,0.625,0,T6,V,22,62,0,no
2,2,5,19,4,3,5,0.625,0,T6,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T6,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,1,2,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T7,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T8,V,22,62,0,no
2,2,5,19,4,3,5,0.625,0,T8,V,22,62,0,no
2,2,5,19,4,3,5,0.625,0,T8,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T8,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T10,V,21,60,0,no
2,2,5,19,4,3,5,0.625,0,T10,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T10,V,0,0,0,no
2,2,5,19,4,3,5,0.625,0,T12,V,21,60,0,no
2,2,3,11,3,3,5,0.625,0,T6,V,22,62,0,no
2,2,3,11,3,3,5,0.625,0,T8,V,22,62,0,no
2,2,3,11,3,3,5,0.625,0,T10,V,22,62,0,no
2,2,3,11,3,3,5,0.625,0,T10,V,22,62,0,no
2,2,3,11,3,3,5,0.625,0,T10,V,0,0,0,no
2,2,2,4,1,3,5,0.625,0,T6,method,21,62,0,no
2,2,2,4,1,3,5,0.625,0,T8,method,21,62,0,no
2,2,2,4,1,3,5,0.625,0,T9,method,21,62,0,no
2,2,1,4,1,3,5,0.625,0,T9,method,20,60,0,no
2,2,6,14,3,3,5,0.625,0,T0,V,23,64,0,no
2,2,6,14,3,3,5,0.625,0,T0,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T1,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T1,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T1,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T1,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T2,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T3,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T3,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T3,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T6,V,23,64,0,no
2,2,6,14,3,3,5,0.625,0,T6,V,23,64,0,no
2,2,6,14,3,3,5,0.625,0,T6,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T6,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T6,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T7,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T8,V,23,64,0,no
2,2,6,14,3,3,5,0.625,0,T8,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T8,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T10,V,1,2,0,no
2,2,6,14,3,3,5,0.625,0,T11,V,1,2,0,no
2,2,9,32,4,3,5,0.625,0,T0,V,23,64,0,no
2,2,9,32,4,3,5,0.625,0,T0,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T0,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T1,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T1,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T1,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T1,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T2,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T3,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T3,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T3,V,19,56,0,no
2,2,9,32,4,3,5,0.625,0,T3,V,18,54,0,no
2,2,9,32,4,3,5,0.625,0,T6,V,23,64,0,no
2,2,9,32,4,3,5,0.625,0,T6,V,23,64,0,no
