@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,14,4,0.222,787530,T7,Z,64,136,1,yes
1,0,1,3,1,14,4,0.222,787530,T9,Z,64,136,1,yes
1,0,3,12,3,14,4,0.222,66333,T6,V,66,142,1,yes
1,0,3,12,3,14,4,0.222,123,T6,V,24,74,1,yes
1,0,3,12,3,14,4,0.222,42,T7,V,14,44,1,yes
1,0,3,12,3,14,4,0.222,66333,T8,V,66,142,1,yes
1,0,3,12,3,14,4,0.222,123,T8,V,24,74,1,yes
1,0,3,12,3,14,4,0.222,42,T10,V,14,44,1,yes
1,0,3,12,3,14,4,0.222,42,T10,V,14,44,1,no
1,0,3,12,3,14,4,0.222,66210,T10,V,42,68,1,no
1,0,2,6,2,14,4,0.222,66330,T0,V,65,139,1,yes
1,0,2,6,2,14,4,0.222,66330,T2,V,65,139,1,yes
1,0,2,6,2,14,4,0.222,66330,T6,V,65,139,1,yes
1,0,2,6,2,14,4,0.222,24,T10,V,5,17,1,yes
1,0,2,6,2,14,4,0.222,66330,T11,V,65,139,1,yes
1,0,21,85,7,14,4,0.222,3,T1,method,1,3,1,yes
1,0,21,85,7,14,4,0.222,9,T1,method,3,6,1,yes
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,no
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,no
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,no
1,0,21,85,7,14,4,0.222,66330,T3,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T6,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66327,T6,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,66327,T6,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,66321,T6,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,426891,T6,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,426891,T6,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,360639,T6,method,58,117,1,yes
1,0,21,85,7,14,4,0.222,360639,T6,method,58,117,1,yes
1,0,21,85,7,14,4,0.222,360636,T6,method,57,116,1,yes
1,0,21,85,7,14,4,0.222,66069,T6,method,27,59,1,yes
1,0,21,85,7,14,4,0.222,66330,T6,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T7,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T7,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T7,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66327,T7,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,66321,T7,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,426891,T7,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,426891,T7,method,64,136,1,no
1,0,21,85,7,14,4,0.222,360822,T7,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,66330,T7,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,360639,T7,method,58,117,1,yes
1,0,21,85,7,14,4,0.222,360639,T7,method,58,117,1,no
1,0,21,85,7,14,4,0.222,360636,T7,method,57,116,1,yes
1,0,21,85,7,14,4,0.222,72,T7,method,21,66,1,yes
1,0,21,85,7,14,4,0.222,66069,T7,method,27,59,1,yes
1,0,21,85,7,14,4,0.222,66063,T7,method,25,57,1,yes
1,0,21,85,7,14,4,0.222,66126,T7,method,38,95,1,yes
1,0,21,85,7,14,4,0.222,66330,T8,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66327,T8,method,64,136,1,no
1,0,21,85,7,14,4,0.222,66327,T8,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,66321,T8,method,64,136,1,no
1,0,21,85,7,14,4,0.222,426891,T8,method,64,136,1,yes
1,0,21,85,7,14,4,0.222,426891,T8,method,64,136,1,no
1,0,21,85,7,14,4,0.222,360639,T8,method,58,117,1,yes
1,0,21,85,7,14,4,0.222,360639,T8,method,58,117,1,no
1,0,21,85,7,14,4,0.222,360636,T8,method,57,116,1,yes
1,0,21,85,7,14,4,0.222,66069,T8,method,27,59,1,yes
1,0,21,85,7,14,4,0.222,66330,T8,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T9,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,66330,T9,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,63015,T10,method,8,12,1,yes
1,0,21,85,7,14,4,0.222,66330,T10,method,65,139,1,yes
1,0,21,85,7,14,4,0.222,360648,T10,method,59,118,1,yes
1,0,21,85,7,14,4,0.222,360648,T10,method,59,118,1,yes
1,0,21,85,7,14,4,0.222,294555,T10,method,37,68,1,yes
1,0,21,85,7,14,4,0.222,6,T10,method,2,2,1,yes
1,0,21,85,7,14,4,0.222,66330,T10,method,65,139,1,yes
1,0,2,6,2,14,4,0.222,360648,T0,V,59,118,1,yes
1,0,2,6,2,14,4,0.222,360648,T2,V,59,118,1,yes
1,0,2,6,2,14,4,0.222,360648,T6,V,59,118,1,yes
1,0,2,6,2,14,4,0.222,9,T10,V,2,8,1,yes
1,0,2,6,2,14,4,0.222,360648,T11,V,59,118,1,yes
1,0,2,7,2,14,4,0.222,66354,T0,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,66354,T2,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,66330,T3,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,66354,T3,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,24,T3,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,24,T3,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,66354,T6,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,24,T6,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,24,T6,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,24,T7,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,24,T8,Z,5,17,1,no
1,0,2,7,2,14,4,0.222,24,T8,Z,5,17,1,yes
1,0,2,7,2,14,4,0.222,66330,T9,Z,65,139,1,yes
1,0,2,7,2,14,4,0.222,66354,T11,Z,65,139,1,yes
1,0,1,3,1,14,4,0.222,66300,T7,method,68,146,1,yes
1,0,1,3,1,14,4,0.222,66300,T7,method,68,146,1,yes
1,0,1,3,1,14,4,0.222,66300,T9,method,68,146,1,yes
1,0,1,3,1,14,4,0.222,66198,T7,method,38,63,1,yes
1,0,1,3,1,14,4,0.222,66198,T9,method,38,63,1,yes
1,0,1,4,1,14,4,0.222,12,T7,method,4,5,1,yes
1,0,1,4,1,14,4,0.222,12,T9,method,4,5,1,yes
1,0,1,5,1,14,4,0.222,87,T7,method,17,51,1,yes
1,0,1,5,1,14,4,0.222,87,T9,method,17,51,1,yes
1,0,1,4,1,14,4,0.222,33,T7,method,6,20,1,yes
1,0,1,4,1,14,4,0.222,33,T9,method,6,20,1,yes
1,0,4,14,2,14,4,0.222,66063,T6,method,25,57,1,yes
1,0,4,14,2,14,4,0.222,66063,T6,method,25,57,1,yes
1,0,4,14,2,14,4,0.222,66033,T6,method,15,34,1,yes
1,0,4,14,2,14,4,0.222,27,T7,method,9,30,1,no
1,0,4,14,2,14,4,0.222,30,T7,method,10,23,1,yes
1,0,4,14,2,14,4,0.222,66024,T7,method,12,22,1,yes
1,0,4,14,2,14,4,0.222,66024,T7,method,12,22,1,yes
1,0,4,14,2,14,4,0.222,66063,T8,method,25,57,1,yes
1,0,4,14,2,14,4,0.222,66063,T8,method,25,57,1,yes
1,0,4,14,2,14,4,0.222,66033,T8,method,15,34,1,yes
1,0,4,14,2,14,4,0.222,30,T9,method,10,23,1,yes
1,0,4,14,2,14,4,0.222,27,T10,method,9,30,1,no
1,0,4,14,2,14,4,0.222,9,T10,method,3,12,1,yes
1,0,6,23,3,14,4,0.222,0,T1,method,0,0,1,no
1,0,6,23,3,14,4,0.222,66348,T6,method,68,146,1,yes
1,0,6,23,3,14,4,0.222,138,T6,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,138,T6,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,48,T6,method,14,48,1,yes
1,0,6,23,3,14,4,0.222,0,T6,method,0,0,1,no
1,0,6,23,3,14,4,0.222,66210,T7,method,42,68,1,yes
1,0,6,23,3,14,4,0.222,138,T7,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,138,T7,method,26,78,1,no
1,0,6,23,3,14,4,0.222,0,T7,method,0,0,1,no
1,0,6,23,3,14,4,0.222,138,T7,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,90,T7,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,48,T7,method,14,48,1,yes
1,0,6,23,3,14,4,0.222,0,T7,method,0,0,1,no
1,0,6,23,3,14,4,0.222,0,T7,method,0,0,1,no
1,0,6,23,3,14,4,0.222,66348,T8,method,68,146,1,yes
1,0,6,23,3,14,4,0.222,138,T8,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,138,T8,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,48,T8,method,14,48,1,yes
1,0,6,23,3,14,4,0.222,0,T8,method,0,0,1,no
1,0,6,23,3,14,4,0.222,66210,T9,method,42,68,1,yes
1,0,6,23,3,14,4,0.222,0,T9,method,0,0,1,no
1,0,6,23,3,14,4,0.222,90,T9,method,26,78,1,yes
1,0,6,23,3,14,4,0.222,0,T9,method,0,0,1,no
1,0,6,23,3,14,4,0.222,48,T9,method,14,48,1,yes
1,0,1,5,1,14,4,0.222,6,T1,V,2,7,1,yes
1,0,1,5,1,14,4,0.222,6,T7,V,2,7,1,yes
1,0,1,5,1,14,4,0.222,6,T7,V,2,7,1,yes
1,0,1,5,1,14,4,0.222,6,T7,V,2,7,1,no
1,0,1,5,1,14,4,0.222,6,T7,V,2,7,1,yes
1,0,1,5,1,14,4,0.222,6,T12,V,2,7,1,yes
1,0,4,14,3,14,4,0.222,93,T0,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,3,T1,V,1,3,1,yes
1,0,4,14,3,14,4,0.222,360654,T6,V,61,123,1,yes
1,0,4,14,3,14,4,0.222,93,T6,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,93,T6,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,93,T7,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,93,T7,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,93,T7,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,360654,T8,V,61,123,1,yes
1,0,4,14,3,14,4,0.222,93,T8,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,90,T10,V,25,76,1,yes
1,0,4,14,3,14,4,0.222,360648,T10,V,61,123,1,yes
1,0,2,10,2,14,4,0.222,12,T1,V,4,13,1,yes
1,0,2,10,2,14,4,0.222,15,T6,V,5,14,1,yes
1,0,2,10,2,14,4,0.222,3,T7,V,1,1,1,yes
1,0,2,10,2,14,4,0.222,12,T7,V,4,13,1,yes
1,0,2,10,2,14,4,0.222,15,T8,V,5,14,1,yes
1,0,1,3,1,14,4,0.222,66090,T12,V,22,31,1,yes
1,0,1,4,1,14,4,0.222,9,T7,V,3,10,1,yes
1,0,1,4,1,14,4,0.222,9,T7,V,3,10,1,yes
1,0,1,4,1,14,4,0.222,9,T12,V,3,10,1,yes
1,0,1,3,1,14,4,0.222,15,T12,V,5,16,1,yes
1,0,1,3,1,14,4,0.222,66309,T12,V,59,116,1,yes
1,0,1,3,1,14,4,0.222,3,T12,V,1,1,1,yes
1,0,1,3,1,14,4,0.222,360636,T3,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T3,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T6,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T6,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T7,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T7,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T8,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T8,Z,57,116,1,yes
1,0,1,3,1,14,4,0.222,360636,T9,Z,57,116,1,yes
1,0,3,13,2,14,4,0.222,0,T1,method,0,0,1,no
1,0,3,13,2,14,4,0.222,132222,T6,method,38,95,1,yes
1,0,3,13,2,14,4,0.222,132216,T6,method,37,94,1,yes
1,0,3,13,2,14,4,0.222,132222,T8,method,38,95,1,yes
1,0,3,13,2,14,4,0.222,132216,T8,method,37,94,1,no
1,0,3,13,2,14,4,0.222,132216,T9,method,37,94,1,yes
1,0,1,12,2,11,3,0.214,21,T1,V,4,6,0,no
1,0,1,12,2,11,3,0.214,21,T1,V,4,6,0,no
1,0,1,12,2,11,3,0.214,21,T1,V,4,6,0,yes
1,0,1,12,2,11,3,0.214,33,T1,V,4,6,0,yes
1,0,1,12,2,11,3,0.214,21,T7,V,4,6,0,yes
1,0,1,12,2,11,3,0.214,33,T10,V,4,6,0,no
1,0,1,12,2,11,3,0.214,21,T12,V,4,6,0,no
1,0,1,12,2,11,3,0.214,21,T12,V,4,6,0,no
1,0,1,12,2,11,3,0.214,21,T12,V,4,6,0,yes
1,0,1,12,2,11,3,0.214,21,T12,V,4,6,0,yes
1,0,3,14,3,11,3,0.214,0,T1,method,0,0,0,no
1,0,3,14,3,11,3,0.214,0,T1,method,0,0,0,no
1,0,3,14,3,11,3,0.214,21,T6,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,33,T6,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T6,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T7,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T7,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T7,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,33,T7,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T7,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,0,T7,method,0,0,0,no
1,0,3,14,3,11,3,0.214,0,T7,method,0,0,0,no
1,0,3,14,3,11,3,0.214,0,T7,method,0,0,0,no
1,0,3,14,3,11,3,0.214,0,T7,method,0,0,0,no
1,0,3,14,3,11,3,0.214,21,T8,method,4,6,0,no
1,0,3,14,3,11,3,0.214,33,T8,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T8,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T9,method,4,6,0,yes
1,0,3,14,3,11,3,0.214,21,T10,method,4,6,0,no
1,0,33,100,6,11,3,0.214,36,T0,Z,3,5,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T0,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,36,T2,Z,3,5,0,yes
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T2,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,33,T3,Z,4,6,0,no
1,0,33,100,6,11,3,0.214,33,T3,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,33,T3,Z,4,6,0,no
1,0,33,100,6,11,3,0.214,33,T3,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,12,T3,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,36,T3,Z,3,5,0,no
1,0,33,100,6,11,3,0.214,27,T3,Z,3,5,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,9,T3,Z,3,5,0,yes
1,0,33,100,6,11,3,0.214,12,T3,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T3,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,33,T5,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,33,T5,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T5,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,33,T6,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,21,T6,Z,4,6,0,yes
1,0,33,100,6,11,3,0.214,36,T6,Z,3,5,0,no
1,0,33,100,6,11,3,0.214,27,T6,Z,3,5,0,no
1,0,33,100,6,11,3,0.214,27,T6,Z,3,5,0,yes
1,0,33,100,6,11,3,0.214,12,T6,Z,4,6,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
1,0,33,100,6,11,3,0.214,0,T6,Z,0,0,0,no
