@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,5,4,0.444,272,T1,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T1,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T1,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T1,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T12,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T12,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T12,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T12,V,43,52,1,yes
1,0,1,3,1,5,4,0.444,272,T12,V,43,52,1,yes
1,0,1,4,1,5,4,0.444,52,T7,V,11,15,1,yes
1,0,1,11,3,5,4,0.444,0,T1,V,0,0,1,no
1,0,1,11,3,5,4,0.444,0,T7,V,0,0,1,no
1,0,1,4,1,5,4,0.444,36,T7,V,7,9,1,yes
1,0,1,4,1,5,4,0.444,60,T7,V,15,19,1,yes
1,0,2,9,2,5,4,0.444,76,T1,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T6,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T7,V,16,19,1,no
1,0,2,9,2,5,4,0.444,80,T7,V,16,19,1,no
1,0,2,9,2,5,4,0.444,76,T7,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,76,T7,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T7,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T7,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T7,V,16,19,1,yes
1,0,2,9,2,5,4,0.444,80,T8,V,16,19,1,no
1,0,1,3,1,5,4,0.444,16,T3,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T3,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T6,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T7,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T7,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T8,method,4,4,1,yes
1,0,1,3,1,5,4,0.444,16,T9,method,4,4,1,yes
1,0,4,11,3,5,4,0.444,76,T6,V,16,19,1,yes
1,0,4,11,3,5,4,0.444,68,T6,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,56,T6,V,12,14,1,yes
1,0,4,11,3,5,4,0.444,76,T7,V,16,19,1,yes
1,0,4,11,3,5,4,0.444,68,T7,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,68,T7,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,76,T8,V,16,19,1,yes
1,0,4,11,3,5,4,0.444,68,T8,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,56,T8,V,12,14,1,yes
1,0,4,11,3,5,4,0.444,8,T10,V,2,3,1,yes
1,0,4,11,3,5,4,0.444,12,T10,V,3,3,1,yes
1,0,4,11,3,5,4,0.444,56,T10,V,12,14,1,yes
1,0,1,7,2,5,4,0.444,64,T6,V,14,17,1,yes
1,0,1,7,2,5,4,0.444,64,T7,V,14,17,1,yes
1,0,1,7,2,5,4,0.444,64,T7,V,14,17,1,yes
1,0,1,7,2,5,4,0.444,64,T7,V,14,17,1,yes
1,0,1,7,2,5,4,0.444,64,T8,V,14,17,1,yes
1,0,1,7,2,5,4,0.444,36,T10,V,7,10,1,yes
1,0,1,6,2,5,4,0.444,60,T6,V,13,15,1,yes
1,0,1,6,2,5,4,0.444,60,T7,V,13,15,1,yes
1,0,1,6,2,5,4,0.444,60,T7,V,13,15,1,yes
1,0,1,6,2,5,4,0.444,60,T7,V,13,15,1,yes
1,0,1,6,2,5,4,0.444,60,T8,V,13,15,1,yes
1,0,1,6,2,5,4,0.444,28,T10,V,5,7,1,yes
1,0,4,11,3,5,4,0.444,72,T6,V,15,17,1,yes
1,0,4,11,3,5,4,0.444,68,T6,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,56,T6,V,12,14,1,yes
1,0,4,11,3,5,4,0.444,72,T7,V,15,17,1,no
1,0,4,11,3,5,4,0.444,68,T7,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,68,T7,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,72,T8,V,15,17,1,yes
1,0,4,11,3,5,4,0.444,68,T8,V,14,16,1,yes
1,0,4,11,3,5,4,0.444,56,T8,V,12,14,1,yes
1,0,4,11,3,5,4,0.444,4,T10,V,1,1,1,no
1,0,4,11,3,5,4,0.444,56,T10,V,12,14,1,yes
1,0,4,11,3,5,4,0.444,12,T10,V,3,3,1,yes
