@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,3,22,3,2,4,0.667,396,T0,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T1,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,0,T1,method,0,0,0,no
1,0,3,22,3,2,4,0.667,384,T2,method,1,2,0,no
1,0,3,22,3,2,4,0.667,396,T2,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,396,T3,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T3,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,0,T3,method,0,0,0,no
1,0,3,22,3,2,4,0.667,0,T3,method,0,0,0,no
1,0,3,22,3,2,4,0.667,396,T6,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T6,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,396,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,no
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T7,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,0,T7,method,0,0,0,no
1,0,3,22,3,2,4,0.667,0,T7,method,0,0,0,no
1,0,3,22,3,2,4,0.667,384,T8,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,12,T9,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,12,T10,method,1,2,0,yes
1,0,3,22,3,2,4,0.667,384,T11,method,1,2,0,no
1,0,3,22,3,2,4,0.667,396,T11,method,1,2,0,yes
1,0,4,24,3,2,4,0.667,630,T0,method,1,2,0,yes
