@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,4,28,2,0,1,1,24,T1,V,3,68,0,no
1,0,4,28,2,0,1,1,24,T1,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T6,V,3,68,0,no
1,0,4,28,2,0,1,1,336,T6,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T6,V,3,68,0,yes
1,0,4,28,2,0,1,1,24,T7,V,3,68,0,yes
1,0,4,28,2,0,1,1,24,T7,V,3,68,0,yes
1,0,4,28,2,0,1,1,312,T7,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T8,V,3,68,0,no
1,0,4,28,2,0,1,1,336,T8,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T8,V,3,68,0,yes
1,0,4,28,2,0,1,1,24,T12,V,3,68,0,no
1,0,4,28,2,0,1,1,312,T12,V,3,68,0,no
1,0,4,28,2,0,1,1,24,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,312,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,24,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,312,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,4,28,2,0,1,1,336,T12,V,3,68,0,yes
1,0,1,4,1,0,1,1,9,T7,method,1,54,0,yes
1,0,1,4,1,0,1,1,9,T7,method,1,54,0,yes
1,0,1,4,1,0,1,1,9,T7,method,1,54,0,yes
1,0,1,4,1,0,1,1,9,T9,method,1,54,0,yes
1,0,1,3,1,0,1,1,24,T1,method,3,68,0,yes
1,0,1,3,1,0,1,1,24,T9,method,3,68,0,yes
