@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,4,1,2,20,0.909,288,T1,V,41,34,2,yes
1,0,1,3,1,2,20,0.909,216,T7,V,14,15,2,yes
1,0,1,4,1,2,20,0.909,288,T7,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T12,V,41,34,2,yes
1,0,1,4,1,2,20,0.909,288,T1,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T7,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T7,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T7,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T10,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T12,V,41,34,2,no
1,0,1,4,1,2,20,0.909,288,T1,V,41,34,2,yes
1,0,1,4,1,2,20,0.909,84,T7,V,30,23,2,yes
1,0,1,4,1,2,20,0.909,84,T7,V,30,23,2,yes
1,0,1,4,1,2,20,0.909,84,T7,V,30,23,2,yes
1,0,1,4,1,2,20,0.909,288,T7,V,41,34,2,yes
1,0,1,4,1,2,20,0.909,84,T10,V,30,23,2,no
1,0,1,4,1,2,20,0.909,288,T12,V,41,34,2,yes
1,0,2,9,2,2,20,0.909,423,T1,method,13,14,2,yes
1,0,2,9,2,2,20,0.909,0,T1,method,0,0,2,no
1,0,1,10,2,2,20,0.909,462,T7,method,37,34,2,yes
1,0,2,9,2,2,20,0.909,423,T7,method,13,14,2,yes
1,0,2,9,2,2,20,0.909,423,T7,method,13,14,2,yes
1,0,2,9,2,2,20,0.909,423,T9,method,13,14,2,yes
1,0,2,9,2,2,20,0.909,423,T10,method,13,14,2,no
1,0,2,18,3,2,20,0.909,6,T1,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,6,T1,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,6,T1,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,0,T1,method,0,0,2,no
1,0,2,18,3,2,20,0.909,12,T3,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,12,T3,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,6,T3,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,6,T3,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,3,T6,method,1,1,2,yes
1,0,2,9,2,2,20,0.909,423,T7,method,13,14,2,yes
1,0,2,18,3,2,20,0.909,3,T7,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,3,T7,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,3,T7,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,3,T7,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,3,T7,method,1,1,2,yes
1,0,2,18,3,2,20,0.909,6,T7,method,1,1,2,yes
