@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,4,1,7,5,0.417,555,T3,V,17,56,3,yes
1,0,1,4,1,7,5,0.417,555,T10,V,17,56,3,no
1,0,1,4,1,7,5,0.417,555,T12,V,17,56,3,no
1,0,1,4,1,7,5,0.417,555,T12,V,17,56,3,yes
1,0,1,3,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,1,3,1,7,5,0.417,0,T10,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T1,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T3,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T12,V,0,0,3,no
1,0,1,4,1,7,5,0.417,0,T12,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T3,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T5,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T6,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T7,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T8,V,0,0,3,no
1,0,2,3,1,7,5,0.417,0,T12,V,0,0,3,no
1,0,9,19,3,7,5,0.417,3486,T0,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T0,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,387,T1,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,405,T2,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,402,T2,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,387,T3,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,387,T3,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T3,method,12,42,3,no
1,0,9,19,3,7,5,0.417,3489,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T6,method,12,42,3,no
1,0,9,19,3,7,5,0.417,3486,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3462,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3057,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T6,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3489,T7,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T7,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3486,T7,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3462,T7,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3462,T7,method,12,42,3,yes
1,0,9,19,3,7,5,0.417,3057,T7,method,12,42,3,yes
