@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,1,3,1,164,31,0.159,24,T7,V,0,0,47,yes
3,0,1,3,1,164,31,0.159,24,T7,V,0,0,47,no
3,0,1,9,1,164,31,0.159,264,T3,V,0,0,47,yes
3,0,1,9,1,164,31,0.159,264,T3,V,0,0,47,yes
3,0,1,9,1,164,31,0.159,132,T7,V,0,0,47,no
3,0,1,10,1,164,31,0.159,32,T3,V,0,0,47,yes
3,0,1,10,1,164,31,0.159,16,T7,V,0,0,47,no
3,0,1,11,1,164,31,0.159,2064,T7,V,0,0,47,no
3,0,1,16,1,164,31,0.159,2516,T15,V,0,0,47,yes
3,0,1,16,1,164,31,0.159,2516,T7,V,0,0,47,yes
3,0,1,16,1,164,31,0.159,2516,T7,V,0,0,47,yes
3,0,1,16,1,164,31,0.159,2516,T7,V,0,0,47,yes
3,0,1,16,1,164,31,0.159,2460,T12,V,0,0,47,yes
3,0,1,16,1,164,31,0.159,2460,T12,V,0,0,47,yes
3,0,1,3,1,164,31,0.159,64,T7,V,0,0,47,no
3,0,1,6,1,164,31,0.159,1148,T15,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T15,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T7,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T7,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T7,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T7,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T12,V,0,0,47,yes
3,0,1,6,1,164,31,0.159,1148,T12,V,0,0,47,yes
3,0,1,3,1,164,31,0.159,12,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T15,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T15,V,0,0,47,no
3,0,1,8,1,164,31,0.159,56,T3,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,56,T3,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,56,T3,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,56,T3,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,56,T7,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,88,T12,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,56,T12,V,0,0,47,yes
3,0,1,8,1,164,31,0.159,24,T15,V,0,0,47,no
