@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,6,1,1,3,0.75,0,T10,V,0,0,14,no
1,0,1,6,1,1,3,0.75,0,T10,V,0,0,14,no
1,0,1,6,1,1,3,0.75,0,T10,V,0,0,14,no
1,0,6,26,4,1,3,0.75,23,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,3,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,4,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,4,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,4,T1,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,23,T6,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,36,T6,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,36,T6,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,21,T6,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,18,T6,V,15,7,14,yes
1,0,6,26,4,1,3,0.75,18,T6,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,23,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,23,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,23,T7,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,23,T7,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,23,T7,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,36,T7,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,36,T7,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,36,T7,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,21,T7,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,18,T7,V,15,7,14,yes
1,0,6,26,4,1,3,0.75,18,T7,V,15,7,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,2,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,16,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,16,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,18,T7,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,4,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,4,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,4,T7,V,0,0,14,yes
1,0,6,26,4,1,3,0.75,4,T7,V,0,0,14,no
1,0,6,26,4,1,3,0.75,23,T8,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,36,T8,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,36,T8,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,21,T8,V,18,7,14,no
1,0,6,26,4,1,3,0.75,18,T8,V,15,7,14,yes
1,0,6,26,4,1,3,0.75,18,T8,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,23,T8,V,23,7,14,yes
1,0,6,26,4,1,3,0.75,36,T8,V,20,7,14,no
1,0,6,26,4,1,3,0.75,36,T8,V,20,7,14,yes
1,0,6,26,4,1,3,0.75,21,T8,V,18,7,14,yes
1,0,6,26,4,1,3,0.75,18,T8,V,15,7,14,yes
1,0,6,26,4,1,3,0.75,18,T8,V,18,7,14,yes
1,0,6,32,2,1,3,0.75,44,T15,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,1,T15,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T0,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T1,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T1,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T1,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,0,T1,method,0,0,14,no
1,0,6,32,2,1,3,0.75,44,T1,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,0,T1,method,0,0,14,no
1,0,6,32,2,1,3,0.75,44,T3,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T5,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T5,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T6,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T6,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T6,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T6,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T6,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,1,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T7,method,0,0,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T8,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T9,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T10,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T10,method,36,28,14,yes
1,0,6,32,2,1,3,0.75,44,T10,method,36,28,14,no
1,0,6,32,2,1,3,0.75,44,T10,method,36,28,14,yes
1,0,6,38,2,1,3,0.75,38,T15,method,0,0,14,yes
1,0,6,38,2,1,3,0.75,38,T15,method,0,0,14,yes
1,0,6,38,2,1,3,0.75,38,T15,method,0,0,14,yes
1,0,6,38,2,1,3,0.75,38,T1,method,0,0,14,yes
1,0,6,38,2,1,3,0.75,38,T6,method,36,28,14,yes
