@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,4,22,4,41,5,0.109,43,T15,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T15,V,0,0,0,no
1,0,4,22,4,41,5,0.109,1858,T15,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1869,T0,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,43,T1,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,43,T1,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T1,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1869,T2,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1869,T3,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1869,T6,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1826,T6,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,929,T6,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,858,T6,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,43,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1869,T7,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1826,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,no
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,no
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,71,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,45,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1858,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1858,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,929,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1858,T7,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,1826,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,929,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,858,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1826,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,929,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,858,T8,V,16,128,0,no
1,0,4,22,4,41,5,0.109,1869,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,1869,T8,V,16,128,0,yes
1,0,4,22,4,41,5,0.109,43,T12,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,43,T12,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,43,T12,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,43,T12,V,0,0,0,yes
1,0,4,22,4,41,5,0.109,43,T12,V,0,0,0,yes
1,0,2,8,2,41,5,0.109,0,T1,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T1,method,0,0,0,no
1,0,2,8,2,41,5,0.109,929,T3,method,16,128,0,yes
1,0,2,8,2,41,5,0.109,929,T3,method,16,128,0,yes
1,0,2,8,2,41,5,0.109,929,T7,method,16,128,0,yes
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,0,T7,method,0,0,0,no
1,0,2,8,2,41,5,0.109,929,T9,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,43,T1,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,0,T1,method,0,0,0,no
1,0,2,9,2,41,5,0.109,0,T1,method,0,0,0,no
1,0,2,9,2,41,5,0.109,43,T7,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,43,T7,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,43,T7,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,43,T7,method,16,128,0,yes
1,0,2,9,2,41,5,0.109,43,T7,method,16,128,0,yes
