@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,7,10,1,8,10,0.556,1038,T0,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,1038,T0,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,217,T0,I,11,21,8,yes
1,0,7,10,1,8,10,0.556,217,T0,I,11,21,8,no
1,0,7,10,1,8,10,0.556,190,T0,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,190,T0,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,0,T1,I,0,0,8,no
1,0,7,10,1,8,10,0.556,0,T1,I,0,0,8,no
1,0,7,10,1,8,10,0.556,1038,T3,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,1038,T3,I,20,23,8,no
1,0,7,10,1,8,10,0.556,821,T3,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,217,T3,I,11,21,8,yes
1,0,7,10,1,8,10,0.556,217,T3,I,11,21,8,no
1,0,7,10,1,8,10,0.556,27,T3,I,5,4,8,yes
1,0,7,10,1,8,10,0.556,27,T3,I,5,4,8,yes
1,0,7,10,1,8,10,0.556,190,T3,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,190,T3,I,6,17,8,no
1,0,7,10,1,8,10,0.556,190,T3,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,190,T3,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,821,T5,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,27,T5,I,5,4,8,yes
1,0,7,10,1,8,10,0.556,27,T5,I,5,4,8,yes
1,0,7,10,1,8,10,0.556,190,T5,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,190,T5,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,1038,T6,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,1038,T6,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,217,T6,I,11,21,8,yes
1,0,7,10,1,8,10,0.556,217,T6,I,11,21,8,yes
1,0,7,10,1,8,10,0.556,190,T6,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,190,T6,I,6,17,8,yes
1,0,7,10,1,8,10,0.556,0,T7,I,0,0,8,no
1,0,7,10,1,8,10,0.556,0,T7,I,0,0,8,no
1,0,7,10,1,8,10,0.556,0,T7,I,0,0,8,no
1,0,7,10,1,8,10,0.556,821,T9,I,20,23,8,yes
1,0,7,10,1,8,10,0.556,27,T9,I,5,4,8,yes
1,0,7,10,1,8,10,0.556,190,T9,I,6,17,8,yes
1,0,3,9,3,8,10,0.556,2,T6,V,2,2,8,no
1,0,3,9,3,8,10,0.556,2,T8,V,2,2,8,no
1,0,3,9,3,8,10,0.556,2,T10,V,2,2,8,no
1,0,3,9,3,8,10,0.556,19,T6,V,12,32,8,no
1,0,3,9,3,8,10,0.556,19,T8,V,12,32,8,no
1,0,3,9,3,8,10,0.556,19,T10,V,12,32,8,no
1,0,1,5,1,8,10,0.556,3,T3,[B,1,5,8,yes
1,0,1,5,1,8,10,0.556,3,T3,[B,1,5,8,yes
1,0,1,5,1,8,10,0.556,3,T9,[B,1,5,8,yes
1,0,1,5,1,8,10,0.556,3,T10,[B,1,5,8,yes
1,0,2,9,1,8,10,0.556,12,T0,[B,2,6,8,no
1,0,2,9,1,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,24,T3,[B,2,6,8,yes
1,0,2,9,1,8,10,0.556,12,T5,[B,2,6,8,yes
1,0,2,9,1,8,10,0.556,24,T5,[B,2,6,8,no
1,0,2,9,1,8,10,0.556,12,T6,[B,2,6,8,yes
1,0,2,9,1,8,10,0.556,0,T7,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,0,T7,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,0,T7,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,0,T7,[B,0,0,8,no
1,0,2,9,1,8,10,0.556,12,T7,[B,0,0,8,yes
1,0,2,9,1,8,10,0.556,12,T9,[B,2,6,8,yes
1,0,2,9,1,8,10,0.556,24,T10,[B,2,6,8,yes
1,0,2,8,2,8,10,0.556,580,T0,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,580,T2,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,61,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,580,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T3,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,61,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T5,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,580,T6,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,61,T7,[B,0,0,8,yes
1,0,2,8,2,8,10,0.556,61,T7,[B,0,0,8,yes
1,0,2,8,2,8,10,0.556,61,T7,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T7,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T7,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T7,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,519,T7,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,61,T9,[B,20,23,8,yes
1,0,2,8,2,8,10,0.556,580,T11,[B,20,23,8,yes
1,0,2,9,2,8,10,0.556,1225,T0,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,38,T1,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1225,T2,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,38,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1225,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T3,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,38,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1187,T5,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1225,T6,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,38,T9,method,12,44,8,yes
1,0,2,9,2,8,10,0.556,1225,T11,method,12,44,8,yes
1,0,2,14,2,8,10,0.556,36,T1,[B,0,0,8,yes
1,0,2,14,2,8,10,0.556,36,T1,[B,0,0,8,yes
1,0,2,14,2,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,14,2,8,10,0.556,36,T7,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T9,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T10,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T10,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T10,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T10,[B,10,21,8,yes
1,0,2,14,2,8,10,0.556,36,T10,[B,10,21,8,yes
1,0,2,17,2,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T7,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T9,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,17,2,8,10,0.556,0,T10,[B,0,0,8,no
1,0,2,16,2,8,10,0.556,0,T1,method,0,0,8,no
1,0,2,16,2,8,10,0.556,12,T7,method,0,0,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,0,0,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,0,0,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,0,0,8,yes
1,0,2,16,2,8,10,0.556,12,T7,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T9,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T10,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T10,method,6,18,8,yes
1,0,2,16,2,8,10,0.556,12,T10,method,6,18,8,no
1,0,2,16,2,8,10,0.556,12,T10,method,6,18,8,yes
1,0,1,5,1,8,10,0.556,0,T7,method,0,0,8,no
1,0,1,5,1,8,10,0.556,0,T7,method,0,0,8,no
1,0,1,5,1,8,10,0.556,0,T9,method,0,0,8,no
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,no
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,no
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,no
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T3,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,no
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T5,I,1,7,8,yes
1,0,1,6,1,8,10,0.556,7,T9,I,1,7,8,yes
1,0,1,12,2,8,10,0.556,16,T1,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,18,T1,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,18,T3,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,18,T5,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,10,T6,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,16,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,10,T7,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,10,T7,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,10,T7,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,10,T7,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,18,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,18,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,18,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,18,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,18,T7,method,0,0,8,yes
1,0,1,12,2,8,10,0.556,10,T8,method,10,38,8,yes
1,0,1,12,2,8,10,0.556,10,T9,method,10,38,8,yes
1,0,4,18,3,8,10,0.556,18,T1,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,18,T1,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,0,T1,method,0,0,8,no
1,0,4,18,3,8,10,0.556,40,T7,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,22,T7,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,22,T7,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,22,T7,method,0,0,8,yes
1,0,4,18,3,8,10,0.556,12,T9,method,12,46,8,yes
1,0,4,18,3,8,10,0.556,22,T10,method,12,46,8,yes
1,0,2,5,2,8,10,0.556,7,T10,V,5,7,8,no
1,0,2,7,2,8,10,0.556,0,T1,[B,0,0,8,no
1,0,2,7,2,8,10,0.556,113,T7,[B,24,57,8,yes
1,0,2,7,2,8,10,0.556,113,T9,[B,24,57,8,yes
1,0,4,10,1,8,10,0.556,1,T1,V,0,0,8,no
1,0,4,10,1,8,10,0.556,0,T1,V,0,0,8,no
1,0,4,10,1,8,10,0.556,2,T6,V,2,0,8,no
1,0,4,10,1,8,10,0.556,1,T6,V,1,0,8,no
1,0,4,10,1,8,10,0.556,1,T6,V,1,0,8,no
1,0,4,10,1,8,10,0.556,2,T8,V,2,0,8,no
1,0,4,10,1,8,10,0.556,1,T8,V,1,0,8,no
1,0,4,10,1,8,10,0.556,1,T8,V,1,0,8,no
1,0,1,5,1,15,6,0.286,46,T1,V,0,0,69,yes
1,0,1,5,1,15,6,0.286,46,T1,V,0,0,69,yes
1,0,1,5,1,15,6,0.286,46,T1,V,0,0,69,yes
1,0,1,5,1,15,6,0.286,46,T12,V,0,0,69,yes
1,0,1,5,1,15,6,0.286,46,T12,V,0,0,69,yes
1,0,1,5,1,15,6,0.286,46,T12,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T1,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T1,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T1,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T12,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T12,V,0,0,69,yes
1,0,1,7,1,15,6,0.286,51,T12,V,0,0,69,yes
1,0,1,4,1,15,6,0.286,6,T7,method,0,0,69,yes
1,0,1,4,1,15,6,0.286,6,T9,method,5,6,69,yes
1,0,1,4,1,15,6,0.286,30,T7,method,0,0,69,yes
1,0,1,4,1,15,6,0.286,30,T9,method,17,53,69,yes
1,0,1,4,1,15,6,0.286,5,T7,method,0,0,69,yes
1,0,1,4,1,15,6,0.286,5,T7,method,0,0,69,yes
