@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,7,11,2,9,9,0.5,1150,T0,I,20,11,9,yes
1,0,7,11,2,9,9,0.5,1150,T0,I,20,11,9,yes
1,0,7,11,2,9,9,0.5,256,T0,I,11,9,9,yes
1,0,7,11,2,9,9,0.5,256,T0,I,11,9,9,no
1,0,7,11,2,9,9,0.5,197,T0,I,6,5,9,yes
1,0,7,11,2,9,9,0.5,197,T0,I,6,5,9,yes
1,0,7,11,2,9,9,0.5,0,T1,I,0,0,9,no
1,0,7,11,2,9,9,0.5,0,T1,I,0,0,9,no
1,0,7,11,2,9,9,0.5,1150,T3,I,20,11,9,yes
1,0,7,11,2,9,9,0.5,1150,T3,I,20,11,9,no
1,0,7,11,2,9,9,0.5,894,T3,I,20,11,9,yes
1,0,7,11,2,9,9,0.5,256,T3,I,11,9,9,yes
1,0,7,11,2,9,9,0.5,256,T3,I,11,9,9,no
1,0,7,11,2,9,9,0.5,59,T3,I,5,4,9,yes
1,0,7,11,2,9,9,0.5,59,T3,I,5,4,9,yes
1,0,7,11,2,9,9,0.5,197,T3,I,6,5,9,yes
1,0,7,11,2,9,9,0.5,197,T3,I,6,5,9,no
1,0,7,11,2,9,9,0.5,197,T3,I,6,5,9,yes
1,0,7,11,2,9,9,0.5,197,T3,I,6,5,9,yes
1,0,7,11,2,9,9,0.5,894,T5,I,20,11,9,yes
1,0,7,11,2,9,9,0.5,59,T5,I,5,4,9,yes
