@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,8,2,6,6,0.5,588,T0,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,588,T2,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,62,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,588,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T3,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,62,T5,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T5,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T5,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T5,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,588,T6,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,62,T7,[B,0,0,1,yes
1,0,2,8,2,6,6,0.5,62,T7,[B,0,0,1,yes
1,0,2,8,2,6,6,0.5,62,T7,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T7,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,526,T7,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,62,T9,[B,21,24,1,yes
1,0,2,8,2,6,6,0.5,588,T11,[B,21,24,1,yes
1,0,2,9,2,6,6,0.5,1225,T0,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,38,T1,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1225,T2,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,38,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1225,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T3,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,38,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1187,T5,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1225,T6,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,38,T9,method,12,44,1,yes
1,0,2,9,2,6,6,0.5,1225,T11,method,12,44,1,yes
1,0,2,14,2,6,6,0.5,37,T1,[B,0,0,1,yes
1,0,2,14,2,6,6,0.5,37,T1,[B,0,0,1,yes
1,0,2,14,2,6,6,0.5,0,T1,[B,0,0,1,no
1,0,2,14,2,6,6,0.5,37,T7,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T9,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T10,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T10,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T10,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T10,[B,11,22,1,yes
1,0,2,14,2,6,6,0.5,37,T10,[B,11,22,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,0,0,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,0,0,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,0,0,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,0,0,1,yes
1,0,1,12,1,6,6,0.5,12,T7,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T9,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T10,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T10,method,6,18,1,yes
1,0,1,12,1,6,6,0.5,12,T10,method,6,18,1,no
1,0,1,12,1,6,6,0.5,12,T10,method,6,18,1,yes
1,0,1,5,1,6,6,0.5,0,T7,method,0,0,1,no
1,0,1,5,1,6,6,0.5,0,T7,method,0,0,1,no
1,0,1,5,1,6,6,0.5,0,T9,method,0,0,1,no
1,0,1,12,2,6,6,0.5,16,T1,method,0,0,1,yes
1,0,1,12,2,6,6,0.5,18,T1,method,10,38,1,yes
1,0,1,12,2,6,6,0.5,18,T3,method,10,38,1,yes
1,0,1,12,2,6,6,0.5,18,T5,method,10,38,1,yes
