@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,691,43,0.059,7,T7,V,0,0,4001,no
1,0,1,3,1,691,43,0.059,3121,T12,V,0,0,4001,yes
1,0,1,3,1,691,43,0.059,642,T7,Z,282,0,4001,yes
1,0,1,3,1,691,43,0.059,642,T9,Z,282,0,4001,yes
1,0,1,3,1,691,43,0.059,659,T7,Z,269,7,4001,yes
1,0,1,3,1,691,43,0.059,659,T9,Z,269,7,4001,yes
1,0,1,4,1,691,43,0.059,51,T7,method,51,0,4001,yes
1,0,1,4,1,691,43,0.059,51,T7,method,51,0,4001,yes
1,0,1,4,1,691,43,0.059,51,T9,method,51,0,4001,yes
1,0,1,4,1,691,43,0.059,51,T7,method,51,0,4001,yes
1,0,1,4,1,691,43,0.059,51,T7,method,51,0,4001,yes
1,0,1,4,1,691,43,0.059,51,T9,method,51,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T0,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T2,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T3,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T6,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,27,T7,method,0,0,4001,yes
1,0,2,9,2,691,43,0.059,27,T7,method,0,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T7,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,81,T7,method,0,0,4001,yes
1,0,2,9,2,691,43,0.059,27,T9,method,27,0,4001,yes
1,0,2,9,2,691,43,0.059,108,T11,method,27,0,4001,yes
1,0,4,13,2,691,43,0.059,1028,T0,method,149,0,4001,yes
1,0,4,13,2,691,43,0.059,0,T1,method,0,0,4001,no
1,0,4,13,2,691,43,0.059,244,T1,method,0,0,4001,yes
1,0,4,13,2,691,43,0.059,1028,T2,method,149,0,4001,yes
1,0,4,13,2,691,43,0.059,1028,T3,method,149,0,4001,yes
