@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
3,0,1,3,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,12,T7,V,0,0,784,no
3,0,1,9,1,164,31,0.159,132,T3,V,0,0,784,yes
3,0,1,9,1,164,31,0.159,132,T3,V,0,0,784,yes
3,0,1,9,1,164,31,0.159,66,T7,V,0,0,784,no
3,0,1,10,1,164,31,0.159,16,T3,V,0,0,784,yes
3,0,1,10,1,164,31,0.159,8,T7,V,0,0,784,no
3,0,1,11,1,164,31,0.159,1032,T7,V,0,0,784,no
3,0,1,16,1,164,31,0.159,1258,T7,V,0,0,784,yes
3,0,1,16,1,164,31,0.159,1258,T7,V,0,0,784,yes
3,0,1,16,1,164,31,0.159,1258,T7,V,0,0,784,yes
3,0,1,16,1,164,31,0.159,1230,T12,V,0,0,784,yes
3,0,1,16,1,164,31,0.159,1230,T12,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,32,T7,V,0,0,784,no
3,0,1,6,1,164,31,0.159,574,T7,V,0,0,784,yes
3,0,1,6,1,164,31,0.159,574,T7,V,0,0,784,yes
3,0,1,6,1,164,31,0.159,574,T7,V,0,0,784,yes
3,0,1,6,1,164,31,0.159,574,T7,V,0,0,784,yes
3,0,1,6,1,164,31,0.159,574,T12,V,0,0,784,yes
3,0,1,6,1,164,31,0.159,574,T12,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,6,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,44,T12,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,28,T12,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T3,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T7,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T12,V,0,0,784,yes
3,0,1,8,1,164,31,0.159,12,T12,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,18,T7,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,10,T7,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,10,T7,V,0,0,784,yes
3,0,1,3,1,164,31,0.159,2,T1,method,1,34,784,yes
3,0,1,3,1,164,31,0.159,2,T7,method,1,34,784,yes
3,0,1,3,1,164,31,0.159,2,T7,method,1,34,784,yes
3,0,1,3,1,164,31,0.159,2,T9,method,1,34,784,yes
3,0,6,13,3,164,31,0.159,788,T0,I,10,170,784,yes
3,0,6,13,3,164,31,0.159,16,T3,I,4,74,784,yes
3,0,6,13,3,164,31,0.159,788,T3,I,10,170,784,yes
3,0,6,13,3,164,31,0.159,788,T3,I,10,170,784,yes
