@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,1,1,3,1,102,15,0.128,0,T1,V,0,0,0,no
2,1,1,3,1,102,15,0.128,26773,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T1,V,0,0,0,no
2,1,1,4,1,102,15,0.128,69397,T3,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,no
2,1,1,4,1,102,15,0.128,69397,T12,V,0,0,0,yes
2,1,1,3,1,102,15,0.128,0,T10,V,0,0,0,no
2,1,2,7,2,102,15,0.128,169923,T3,B,529,1281,0,yes
2,1,2,7,2,102,15,0.128,169923,T6,B,529,1281,0,yes
2,1,2,7,2,102,15,0.128,114925,T7,B,0,0,0,yes
2,1,2,7,2,102,15,0.128,169923,T8,B,529,1281,0,yes
2,1,2,7,2,102,15,0.128,169920,T9,B,529,1281,0,yes
2,1,2,7,2,102,15,0.128,114925,T12,B,0,0,0,yes
2,1,1,5,1,102,15,0.128,1426,T9,I,297,749,0,yes
2,1,1,5,1,102,15,0.128,1426,T10,I,297,749,0,yes
2,1,5,16,3,102,15,0.128,1426,T0,V,297,749,0,no
2,1,5,16,3,102,15,0.128,0,T0,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T1,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T1,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T2,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T3,V,0,0,0,no
2,1,5,16,3,102,15,0.128,1426,T6,V,297,749,0,yes
2,1,5,16,3,102,15,0.128,1426,T6,V,297,749,0,no
2,1,5,16,3,102,15,0.128,0,T6,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T6,V,0,0,0,no
2,1,5,16,3,102,15,0.128,1426,T7,V,297,749,0,yes
2,1,5,16,3,102,15,0.128,1426,T7,V,0,0,0,no
2,1,5,16,3,102,15,0.128,1426,T8,V,297,749,0,yes
2,1,5,16,3,102,15,0.128,0,T8,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T10,V,0,0,0,no
2,1,5,16,3,102,15,0.128,1426,T10,V,297,749,0,yes
2,1,5,16,3,102,15,0.128,0,T11,V,0,0,0,no
2,1,1,5,1,102,15,0.128,8088,T9,method,32,76,0,yes
2,1,1,5,1,102,15,0.128,8088,T10,method,32,76,0,yes
2,1,3,15,2,102,15,0.128,0,T1,Z,0,0,0,no
2,1,3,15,2,102,15,0.128,1336,T3,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,1336,T3,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,696,T3,Z,0,0,0,yes
2,1,3,15,2,102,15,0.128,696,T3,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,640,T3,Z,20,52,0,yes
2,1,3,15,2,102,15,0.128,640,T3,Z,0,0,0,yes
2,1,3,15,2,102,15,0.128,640,T3,Z,20,52,0,yes
2,1,3,15,2,102,15,0.128,1336,T5,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,1336,T6,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,640,T6,Z,20,52,0,yes
2,1,3,15,2,102,15,0.128,1336,T7,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,1336,T8,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,640,T8,Z,20,52,0,no
2,1,3,15,2,102,15,0.128,696,T9,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,640,T9,Z,20,52,0,yes
2,1,3,15,2,102,15,0.128,1336,T10,Z,68,160,0,no
2,1,3,15,2,102,15,0.128,696,T10,Z,68,160,0,yes
2,1,3,15,2,102,15,0.128,640,T10,Z,20,52,0,yes
2,1,3,15,2,102,15,0.128,696,T12,Z,0,0,0,yes
2,1,3,15,2,102,15,0.128,640,T12,Z,0,0,0,yes
2,1,3,11,2,102,15,0.128,4080,T0,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T0,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,0,T1,B,0,0,0,no
2,1,3,11,2,102,15,0.128,4080,T3,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T3,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T6,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T6,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T7,B,0,0,0,yes
2,1,3,11,2,102,15,0.128,4080,T9,B,52,120,0,yes
2,1,3,11,2,102,15,0.128,4080,T10,B,52,120,0,no
2,1,3,11,2,102,15,0.128,4080,T10,B,52,120,0,yes
2,1,1,5,1,102,15,0.128,180,T9,[B,60,148,0,yes
2,1,1,5,1,102,15,0.128,180,T10,[B,60,148,0,yes
2,1,1,5,1,102,15,0.128,9560,T9,D,68,160,0,yes
2,1,1,5,1,102,15,0.128,9560,T10,D,68,160,0,yes
2,1,1,5,1,102,15,0.128,8551,T9,F,67,158,0,yes
2,1,1,5,1,102,15,0.128,8551,T10,F,67,158,0,yes
2,1,1,5,1,102,15,0.128,19145,T9,I,250,595,0,yes
2,1,1,5,1,102,15,0.128,19145,T10,I,250,595,0,yes
2,1,1,5,1,102,15,0.128,9436,T9,J,72,168,0,yes
2,1,1,5,1,102,15,0.128,9436,T10,J,72,168,0,yes
2,1,1,5,1,102,15,0.128,136,T9,I,34,86,0,yes
2,1,1,5,1,102,15,0.128,136,T10,I,34,86,0,yes
2,1,5,16,3,102,15,0.128,136,T0,V,34,86,0,no
2,1,5,16,3,102,15,0.128,0,T0,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T1,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T1,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T2,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T3,V,0,0,0,no
2,1,5,16,3,102,15,0.128,136,T6,V,34,86,0,yes
2,1,5,16,3,102,15,0.128,136,T6,V,34,86,0,no
2,1,5,16,3,102,15,0.128,0,T6,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T6,V,0,0,0,no
2,1,5,16,3,102,15,0.128,136,T7,V,34,86,0,yes
2,1,5,16,3,102,15,0.128,136,T7,V,0,0,0,no
2,1,5,16,3,102,15,0.128,136,T8,V,34,86,0,yes
2,1,5,16,3,102,15,0.128,0,T8,V,0,0,0,no
2,1,5,16,3,102,15,0.128,0,T10,V,0,0,0,no
2,1,5,16,3,102,15,0.128,136,T10,V,34,86,0,yes
2,1,5,16,3,102,15,0.128,0,T11,V,0,0,0,no
2,1,2,11,2,102,15,0.128,0,T1,V,0,0,0,no
2,1,2,11,2,102,15,0.128,4,T3,V,4,0,0,yes
2,1,2,11,2,102,15,0.128,4,T3,V,4,0,0,yes
2,1,2,11,2,102,15,0.128,4,T3,V,0,0,0,no
2,1,2,11,2,102,15,0.128,4,T5,V,4,0,0,yes
2,1,2,11,2,102,15,0.128,4,T6,V,4,0,0,yes
2,1,2,11,2,102,15,0.128,4,T7,V,4,0,0,yes
