@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,1,1,3,1,120,13,0.098,29469,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T1,V,0,0,0,no
2,1,1,3,1,120,13,0.098,76151,T3,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,76151,T12,V,0,0,0,no
2,1,1,4,1,120,13,0.098,76151,T12,V,0,0,0,yes
2,1,1,3,1,120,13,0.098,0,T10,V,0,0,0,no
2,1,2,7,2,120,13,0.098,1302934,T3,B,942,3020,0,yes
2,1,2,7,2,120,13,0.098,1302934,T6,B,942,3020,0,yes
2,1,2,7,2,120,13,0.098,732380,T7,B,0,0,0,yes
2,1,2,7,2,120,13,0.098,1302934,T8,B,942,3020,0,yes
2,1,2,7,2,120,13,0.098,1203436,T9,B,942,3020,0,yes
2,1,2,7,2,120,13,0.098,732380,T12,B,0,0,0,yes
2,1,1,4,1,120,13,0.098,69474,T7,I,577,2032,0,yes
2,1,1,4,1,120,13,0.098,69474,T9,I,577,2032,0,yes
2,1,1,5,1,120,13,0.098,2072,T9,I,541,1791,0,yes
2,1,1,5,1,120,13,0.098,2080,T10,I,541,1791,0,yes
2,1,5,18,3,120,13,0.098,2072,T0,V,541,1791,0,no
2,1,5,18,3,120,13,0.098,0,T0,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T1,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T1,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T2,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T3,V,0,0,0,no
2,1,5,18,3,120,13,0.098,2072,T6,V,541,1791,0,yes
2,1,5,18,3,120,13,0.098,2072,T6,V,541,1791,0,no
2,1,5,18,3,120,13,0.098,0,T6,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T6,V,0,0,0,no
2,1,5,18,3,120,13,0.098,2072,T7,V,541,1791,0,yes
2,1,5,18,3,120,13,0.098,2072,T7,V,0,0,0,no
2,1,5,18,3,120,13,0.098,2072,T8,V,541,1791,0,yes
2,1,5,18,3,120,13,0.098,0,T8,V,0,0,0,no
2,1,5,18,3,120,13,0.098,0,T10,V,0,0,0,no
2,1,5,18,3,120,13,0.098,2072,T10,V,541,1791,0,yes
2,1,5,18,3,120,13,0.098,0,T11,V,0,0,0,no
2,1,1,5,1,120,13,0.098,11122,T9,method,57,167,0,yes
2,1,1,5,1,120,13,0.098,11122,T10,method,57,167,0,yes
2,1,3,16,2,120,13,0.098,0,T1,Z,0,0,0,no
2,1,3,16,2,120,13,0.098,1370,T3,Z,106,353,0,yes
2,1,3,16,2,120,13,0.098,1370,T3,Z,106,353,0,yes
2,1,3,16,2,120,13,0.098,748,T3,Z,0,0,0,yes
2,1,3,16,2,120,13,0.098,748,T3,Z,106,353,0,yes
2,1,3,16,2,120,13,0.098,622,T3,Z,22,116,0,yes
2,1,3,16,2,120,13,0.098,622,T3,Z,0,0,0,yes
2,1,3,16,2,120,13,0.098,622,T3,Z,22,116,0,yes
2,1,3,16,2,120,13,0.098,1370,T5,Z,106,353,0,yes
2,1,3,16,2,120,13,0.098,1370,T6,Z,106,353,0,yes
