@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,1,1,3,1,107,14,0.116,0,T1,V,0,0,0,no
2,1,1,3,1,107,14,0.116,26811,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T1,V,0,0,0,no
2,1,1,4,1,107,14,0.116,69500,T3,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,no
2,1,1,4,1,107,14,0.116,69500,T12,V,0,0,0,yes
2,1,1,3,1,107,14,0.116,0,T10,V,0,0,0,no
2,1,2,7,2,107,14,0.116,828108,T3,B,574,1392,0,yes
2,1,2,7,2,107,14,0.116,828108,T6,B,574,1392,0,yes
2,1,2,7,2,107,14,0.116,495149,T7,B,0,0,0,yes
2,1,2,7,2,107,14,0.116,828108,T8,B,574,1392,0,yes
2,1,2,7,2,107,14,0.116,728610,T9,B,574,1392,0,yes
2,1,2,7,2,107,14,0.116,495149,T12,B,0,0,0,yes
2,1,1,5,1,107,14,0.116,1486,T9,I,309,773,0,yes
2,1,1,5,1,107,14,0.116,1486,T10,I,309,773,0,yes
2,1,5,16,3,107,14,0.116,1486,T0,V,309,773,0,no
2,1,5,16,3,107,14,0.116,0,T0,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T1,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T1,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T2,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T3,V,0,0,0,no
2,1,5,16,3,107,14,0.116,1486,T6,V,309,773,0,yes
2,1,5,16,3,107,14,0.116,1486,T6,V,309,773,0,no
2,1,5,16,3,107,14,0.116,0,T6,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T6,V,0,0,0,no
2,1,5,16,3,107,14,0.116,1486,T7,V,309,773,0,yes
2,1,5,16,3,107,14,0.116,1486,T7,V,0,0,0,no
2,1,5,16,3,107,14,0.116,1486,T8,V,309,773,0,yes
2,1,5,16,3,107,14,0.116,0,T8,V,0,0,0,no
2,1,5,16,3,107,14,0.116,0,T10,V,0,0,0,no
2,1,5,16,3,107,14,0.116,1486,T10,V,309,773,0,yes
2,1,5,16,3,107,14,0.116,0,T11,V,0,0,0,no
2,1,1,5,1,107,14,0.116,8088,T9,method,32,76,0,yes
2,1,1,5,1,107,14,0.116,8088,T10,method,32,76,0,yes
2,1,3,15,2,107,14,0.116,0,T1,Z,0,0,0,no
2,1,3,15,2,107,14,0.116,1336,T3,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,1336,T3,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,716,T3,Z,0,0,0,yes
2,1,3,15,2,107,14,0.116,716,T3,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,620,T3,Z,20,52,0,yes
2,1,3,15,2,107,14,0.116,620,T3,Z,0,0,0,yes
2,1,3,15,2,107,14,0.116,620,T3,Z,20,52,0,yes
2,1,3,15,2,107,14,0.116,1336,T5,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,1336,T6,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,620,T6,Z,20,52,0,yes
2,1,3,15,2,107,14,0.116,1336,T7,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,1336,T8,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,620,T8,Z,20,52,0,no
2,1,3,15,2,107,14,0.116,716,T9,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,620,T9,Z,20,52,0,yes
2,1,3,15,2,107,14,0.116,1336,T10,Z,68,160,0,no
2,1,3,15,2,107,14,0.116,716,T10,Z,68,160,0,yes
2,1,3,15,2,107,14,0.116,620,T10,Z,20,52,0,yes
2,1,3,15,2,107,14,0.116,716,T12,Z,0,0,0,yes
