@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,4,1,10,13,0.565,0,T1,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T1,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T1,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T3,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T10,V,49,153,0,no
1,0,1,4,1,10,13,0.565,0,T12,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T12,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T12,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T12,V,0,0,0,no
1,0,1,4,1,10,13,0.565,0,T12,V,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T1,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T1,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T1,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T1,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T3,Z,2,8,0,no
1,0,4,21,2,10,13,0.565,0,T3,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T3,Z,2,8,0,no
1,0,4,21,2,10,13,0.565,0,T6,Z,4,12,0,no
1,0,4,21,2,10,13,0.565,0,T6,Z,3,10,0,no
1,0,4,21,2,10,13,0.565,0,T6,Z,2,8,0,no
1,0,4,21,2,10,13,0.565,0,T7,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T7,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T7,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T7,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T7,Z,0,0,0,no
1,0,4,21,2,10,13,0.565,0,T8,Z,4,12,0,no
1,0,4,21,2,10,13,0.565,0,T8,Z,3,10,0,no
1,0,4,21,2,10,13,0.565,0,T8,Z,2,8,0,no
1,0,4,21,2,10,13,0.565,0,T9,Z,2,8,0,no
1,0,4,21,2,10,13,0.565,0,T10,Z,2,6,0,no
1,0,3,13,2,10,13,0.565,0,T1,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T1,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T1,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T3,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T3,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T3,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T3,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T3,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T6,V,2,6,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,0,0,0,no
1,0,3,13,2,10,13,0.565,0,T7,V,2,6,0,no
1,0,3,13,2,10,13,0.565,0,T8,V,2,6,0,no
1,0,2,32,3,10,13,0.565,0,T1,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T1,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T1,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,32,3,10,13,0.565,0,T7,method,3,13,0,no
1,0,2,32,3,10,13,0.565,0,T9,method,3,13,0,no
1,0,2,32,3,10,13,0.565,0,T10,method,5,17,0,no
1,0,2,32,3,10,13,0.565,0,T10,method,5,17,0,no
1,0,4,20,2,10,13,0.565,0,T0,method,3,9,0,no
1,0,4,20,2,10,13,0.565,0,T0,method,2,7,0,no
1,0,4,20,2,10,13,0.565,0,T1,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T1,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,2,7,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T3,method,2,7,0,no
1,0,4,20,2,10,13,0.565,0,T6,method,3,9,0,no
1,0,4,20,2,10,13,0.565,0,T6,method,3,9,0,no
1,0,4,20,2,10,13,0.565,0,T6,method,2,7,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,4,20,2,10,13,0.565,0,T8,method,3,9,0,no
1,0,4,20,2,10,13,0.565,0,T9,method,2,7,0,no
1,0,4,20,2,10,13,0.565,0,T10,method,2,7,0,no
1,0,3,16,2,10,13,0.565,0,T0,method,3,13,0,no
1,0,3,16,2,10,13,0.565,0,T1,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T6,method,3,13,0,no
1,0,3,16,2,10,13,0.565,0,T6,method,3,13,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,16,2,10,13,0.565,0,T8,method,3,13,0,no
1,0,3,16,2,10,13,0.565,0,T9,method,2,11,0,no
1,0,3,7,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,3,7,2,10,13,0.565,0,T6,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T6,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,7,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,3,7,2,10,13,0.565,0,T8,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T8,method,6,25,0,no
1,0,3,7,2,10,13,0.565,0,T9,method,6,25,0,no
1,0,2,13,2,10,13,0.565,0,T1,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T1,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T2,method,2,8,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T3,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T6,method,31,95,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,31,95,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
1,0,2,13,2,10,13,0.565,0,T7,method,0,0,0,no
