@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,26,17,0.395,162,T12,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,158,T1,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,158,T7,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,158,T7,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,158,T7,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,158,T7,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,158,T9,method,144,219,35,yes
1,0,1,3,1,26,17,0.395,115,T1,method,116,190,35,yes
1,0,3,12,3,26,17,0.395,158,T6,method,144,219,35,yes
1,0,3,12,3,26,17,0.395,145,T6,method,131,206,35,yes
1,0,3,12,3,26,17,0.395,159,T7,method,0,0,35,yes
1,0,3,12,3,26,17,0.395,158,T7,method,144,219,35,yes
1,0,3,12,3,26,17,0.395,145,T7,method,0,0,35,yes
1,0,3,12,3,26,17,0.395,145,T7,method,0,0,35,yes
1,0,3,12,3,26,17,0.395,145,T7,method,131,206,35,yes
1,0,1,3,1,26,17,0.395,115,T7,method,116,190,35,yes
1,0,1,3,1,26,17,0.395,115,T7,method,116,190,35,yes
1,0,1,3,1,26,17,0.395,115,T7,method,116,190,35,yes
1,0,3,12,3,26,17,0.395,158,T8,method,144,219,35,yes
1,0,3,12,3,26,17,0.395,145,T8,method,131,206,35,yes
1,0,1,3,1,26,17,0.395,115,T9,method,116,190,35,yes
1,0,1,3,1,26,17,0.395,13,T9,method,13,13,35,yes
1,0,3,11,3,26,17,0.395,53,T3,method,14,13,35,yes
1,0,2,6,2,26,17,0.395,52,T3,method,13,13,35,yes
1,0,3,11,3,26,17,0.395,326,T6,method,145,219,35,yes
1,0,3,11,3,26,17,0.395,53,T6,method,14,13,35,yes
1,0,3,11,3,26,17,0.395,326,T7,method,145,219,35,yes
1,0,3,11,3,26,17,0.395,53,T7,method,0,0,35,yes
1,0,3,11,3,26,17,0.395,53,T7,method,0,0,35,yes
1,0,2,6,2,26,17,0.395,52,T7,method,13,13,35,yes
1,0,3,11,3,26,17,0.395,326,T8,method,145,219,35,yes
1,0,3,11,3,26,17,0.395,53,T8,method,14,13,35,yes
1,0,2,6,2,26,17,0.395,52,T9,method,13,13,35,yes
1,0,2,6,2,26,17,0.395,273,T9,method,131,206,35,yes
1,0,3,12,3,26,17,0.395,28,T1,method,28,29,35,yes
1,0,3,12,3,26,17,0.395,221,T6,method,31,32,35,yes
1,0,3,12,3,26,17,0.395,221,T7,method,31,32,35,yes
1,0,3,12,3,26,17,0.395,28,T7,method,28,29,35,yes
1,0,3,12,3,26,17,0.395,28,T7,method,28,29,35,yes
1,0,3,12,3,26,17,0.395,28,T7,method,28,29,35,yes
1,0,3,12,3,26,17,0.395,221,T8,method,31,32,35,yes
1,0,3,12,3,26,17,0.395,28,T9,method,28,29,35,yes
1,0,3,12,3,26,17,0.395,193,T9,method,31,32,35,yes
1,0,4,12,3,26,17,0.395,349,T0,V,31,32,35,yes
1,0,1,3,1,26,17,0.395,26,T1,V,0,0,35,yes
1,0,4,12,3,26,17,0.395,349,T2,V,31,32,35,yes
1,0,4,12,3,26,17,0.395,349,T3,V,31,32,35,yes
1,0,4,12,3,26,17,0.395,349,T6,V,31,32,35,yes
1,0,4,12,3,26,17,0.395,182,T6,V,31,32,35,yes
1,0,4,12,3,26,17,0.395,167,T7,V,0,0,35,yes
1,0,4,12,3,26,17,0.395,182,T7,V,31,32,35,no
1,0,4,12,3,26,17,0.395,143,T7,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,26,T7,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,26,T7,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,26,T7,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,26,T7,V,0,0,35,yes
1,0,1,3,1,26,17,0.395,26,T7,V,0,0,35,yes
1,0,4,12,3,26,17,0.395,182,T8,V,31,32,35,yes
1,0,4,12,3,26,17,0.395,349,T11,V,31,32,35,yes
1,0,1,6,1,26,17,0.395,3872,T6,method,147,219,35,yes
1,0,2,9,3,26,17,0.395,484,T7,method,0,0,35,yes
1,0,1,6,1,26,17,0.395,3872,T7,method,147,219,35,yes
1,0,1,6,1,26,17,0.395,3872,T7,method,147,219,35,yes
1,0,1,6,1,26,17,0.395,189,T7,method,0,0,35,yes
1,0,1,6,1,26,17,0.395,3872,T8,method,147,219,35,yes
1,0,1,6,1,26,17,0.395,484,T9,method,147,219,35,yes
1,0,3,16,2,26,17,0.395,121,T0,method,27,26,35,yes
1,0,3,16,2,26,17,0.395,121,T1,method,27,26,35,yes
1,0,3,16,2,26,17,0.395,120,T1,method,26,26,35,yes
1,0,3,16,2,26,17,0.395,121,T3,method,27,26,35,yes
1,0,3,16,2,26,17,0.395,121,T3,method,27,26,35,yes
1,0,3,16,2,26,17,0.395,120,T3,method,26,26,35,yes
1,0,3,16,2,26,17,0.395,120,T3,method,26,26,35,yes
1,0,2,7,2,26,17,0.395,159,T3,method,145,219,35,yes
1,0,2,7,2,26,17,0.395,159,T3,method,145,219,35,yes
