@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,25,17,0.405,324,T12,V,0,0,35,yes
1,0,1,3,1,25,17,0.405,316,T1,method,144,219,35,yes
1,0,1,3,1,25,17,0.405,316,T7,method,144,219,35,yes
1,0,1,3,1,25,17,0.405,316,T7,method,144,219,35,yes
1,0,1,3,1,25,17,0.405,316,T7,method,144,219,35,yes
1,0,1,3,1,25,17,0.405,316,T7,method,144,219,35,yes
1,0,1,3,1,25,17,0.405,316,T9,method,144,219,35,yes
1,0,3,12,3,25,17,0.405,290,T15,method,0,0,35,yes
1,0,3,12,3,25,17,0.405,60,T1,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,230,T1,method,116,190,35,yes
1,0,3,12,3,25,17,0.405,60,T3,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,316,T6,method,144,219,35,yes
1,0,3,12,3,25,17,0.405,290,T6,method,131,206,35,yes
1,0,3,12,3,25,17,0.405,318,T7,method,0,0,35,yes
1,0,3,12,3,25,17,0.405,316,T7,method,144,219,35,yes
1,0,3,12,3,25,17,0.405,290,T7,method,0,0,35,yes
1,0,3,12,3,25,17,0.405,290,T7,method,0,0,35,yes
1,0,3,12,3,25,17,0.405,290,T7,method,131,206,35,yes
1,0,3,12,3,25,17,0.405,60,T7,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,60,T7,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,60,T7,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,60,T7,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,60,T7,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,230,T7,method,116,190,35,yes
1,0,3,12,3,25,17,0.405,230,T7,method,116,190,35,yes
1,0,3,12,3,25,17,0.405,230,T7,method,116,190,35,yes
1,0,3,12,3,25,17,0.405,316,T8,method,144,219,35,yes
1,0,3,12,3,25,17,0.405,290,T8,method,131,206,35,yes
1,0,3,12,3,25,17,0.405,316,T8,method,144,219,35,yes
1,0,3,12,3,25,17,0.405,290,T8,method,131,206,35,yes
1,0,3,12,3,25,17,0.405,60,T9,method,15,16,35,yes
1,0,3,12,3,25,17,0.405,230,T9,method,116,190,35,yes
1,0,3,12,3,25,17,0.405,26,T9,method,13,13,35,yes
1,0,3,11,3,25,17,0.405,104,T15,method,13,13,35,no
1,0,3,11,3,25,17,0.405,2,T1,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,2,T1,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,106,T3,method,14,13,35,yes
1,0,3,11,3,25,17,0.405,104,T3,method,13,13,35,yes
1,0,3,11,3,25,17,0.405,652,T6,method,145,219,35,yes
1,0,3,11,3,25,17,0.405,106,T6,method,14,13,35,yes
1,0,3,11,3,25,17,0.405,652,T7,method,145,219,35,yes
1,0,3,11,3,25,17,0.405,106,T7,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,106,T7,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,2,T7,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,2,T7,method,0,0,35,yes
1,0,3,11,3,25,17,0.405,2,T7,method,0,0,35,no
1,0,3,11,3,25,17,0.405,104,T7,method,13,13,35,yes
1,0,3,11,3,25,17,0.405,652,T8,method,145,219,35,yes
1,0,3,11,3,25,17,0.405,106,T8,method,14,13,35,yes
1,0,3,11,3,25,17,0.405,652,T8,method,145,219,35,yes
1,0,3,11,3,25,17,0.405,106,T8,method,14,13,35,yes
1,0,3,11,3,25,17,0.405,104,T9,method,13,13,35,yes
1,0,3,11,3,25,17,0.405,546,T9,method,131,206,35,yes
1,0,2,6,2,25,17,0.405,56,T1,method,28,29,35,yes
1,0,2,6,2,25,17,0.405,442,T6,method,31,32,35,yes
1,0,2,6,2,25,17,0.405,442,T7,method,31,32,35,yes
1,0,2,6,2,25,17,0.405,56,T7,method,28,29,35,yes
1,0,2,6,2,25,17,0.405,56,T7,method,28,29,35,yes
1,0,2,6,2,25,17,0.405,56,T7,method,28,29,35,yes
1,0,2,6,2,25,17,0.405,442,T8,method,31,32,35,yes
1,0,2,6,2,25,17,0.405,442,T8,method,31,32,35,yes
1,0,2,6,2,25,17,0.405,56,T9,method,28,29,35,yes
1,0,2,6,2,25,17,0.405,386,T9,method,31,32,35,yes
1,0,4,12,3,25,17,0.405,286,T15,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T15,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T15,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,698,T0,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,52,T1,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,698,T2,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,698,T3,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,698,T6,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,364,T6,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,78,T6,V,13,13,35,yes
1,0,4,12,3,25,17,0.405,334,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,364,T7,V,31,32,35,no
1,0,4,12,3,25,17,0.405,286,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,78,T7,V,13,13,35,yes
1,0,4,12,3,25,17,0.405,52,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,52,T7,V,0,0,35,yes
1,0,4,12,3,25,17,0.405,364,T8,V,31,32,35,no
1,0,4,12,3,25,17,0.405,78,T8,V,13,13,35,yes
1,0,4,12,3,25,17,0.405,364,T8,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,78,T8,V,13,13,35,yes
1,0,4,12,3,25,17,0.405,698,T8,V,31,32,35,yes
1,0,4,12,3,25,17,0.405,698,T8,V,31,32,35,yes
1,0,2,9,3,25,17,0.405,8712,T0,method,147,219,35,yes
1,0,2,9,3,25,17,0.405,8712,T2,method,147,219,35,yes
