@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {ROR,STD,LVR,AOR,COR,SOR,ORU,LOR,EOF}
@attribute methodReturn {none,I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,0,0,0,31,1,0.031,3,LVR,none,625,644,0,no
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,ROR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,ROR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,162,ROR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,159,STD,none,625,644,0,yes
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,no
1,0,0,0,0,31,1,0.031,3,LVR,none,626,644,0,no
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,no
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,yes
1,0,0,0,0,31,1,0.031,3,AOR,none,626,644,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
0,0,0,0,0,31,1,0.031,0,ROR,method,0,0,0,no
1,5,2,6,2,5,9,0.643,0,STD,V,0,0,0,no
2,0,5,22,4,5,9,0.643,240,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,240,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,240,ROR,method,6,0,0,no
2,0,5,22,4,5,9,0.643,240,ROR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,240,ROR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,420,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,420,LVR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,420,ROR,method,6,0,0,no
2,0,5,22,4,5,9,0.643,420,ROR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,420,ROR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,240,LVR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,LVR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,420,LVR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,420,LVR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,420,ROR,method,5,0,0,no
2,0,5,22,4,5,9,0.643,420,ROR,method,5,0,0,no
2,0,5,22,4,5,9,0.643,420,ROR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,180,STD,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,STD,method,4,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,240,AOR,method,5,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,AOR,method,6,0,0,yes
2,0,5,22,4,5,9,0.643,180,LVR,method,6,0,0,no
