@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {ROR,STD,LVR,AOR,COR,SOR,ORU,LOR,EOF}
@attribute methodReturn {none,I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,no
1,0,0,0,0,73,8,0.099,1,LVR,none,11,32,5,no
1,0,0,0,0,73,8,0.099,1,STD,none,11,32,5,no
1,0,0,0,0,73,8,0.099,1,LVR,none,11,32,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,11,32,5,no
1,0,0,0,0,73,8,0.099,1,LVR,none,11,32,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,11,32,5,yes
1,0,0,0,0,73,8,0.099,1,LVR,none,11,32,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,11,32,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,yes
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,no
1,0,0,0,0,73,8,0.099,1,STD,none,10,31,5,no
1,0,0,0,0,73,8,0.099,1,COR,method,2,10,5,yes
1,0,0,0,0,73,8,0.099,1,COR,method,2,10,5,no
1,0,0,0,0,73,8,0.099,1,ROR,method,1,5,5,no
1,0,0,0,0,73,8,0.099,1,LVR,method,2,10,5,yes
1,0,0,0,0,73,8,0.099,1,LVR,method,2,10,5,yes
1,0,0,0,0,73,8,0.099,2,STD,V,1,5,5,yes
1,0,10,32,5,73,8,0.099,18,ROR,Z,7,18,5,yes
1,0,10,32,5,73,8,0.099,2,LVR,Z,2,2,5,yes
1,0,10,32,5,73,8,0.099,16,ROR,Z,6,18,5,yes
1,0,10,32,5,73,8,0.099,16,ROR,Z,6,18,5,yes
1,0,10,32,5,73,8,0.099,16,COR,Z,6,18,5,no
1,0,10,32,5,73,8,0.099,16,COR,Z,6,18,5,yes
1,0,10,32,5,73,8,0.099,16,COR,Z,6,18,5,yes
1,0,10,32,5,73,8,0.099,16,COR,Z,6,18,5,yes
1,0,10,32,5,73,8,0.099,4,LVR,Z,2,4,5,yes
1,0,10,32,5,73,8,0.099,12,STD,Z,3,12,5,no
1,0,10,32,5,73,8,0.099,12,STD,Z,3,12,5,no
1,0,10,32,5,73,8,0.099,0,LVR,Z,0,0,5,no
1,0,10,32,5,73,8,0.099,148,LVR,Z,4,20,5,yes
1,0,10,32,5,73,8,0.099,148,LVR,Z,4,20,5,yes
1,0,10,32,5,73,8,0.099,148,ROR,Z,4,20,5,no
1,0,10,32,5,73,8,0.099,148,ROR,Z,4,20,5,no
1,0,10,32,5,73,8,0.099,148,ROR,Z,4,20,5,yes
1,0,10,32,5,73,8,0.099,148,COR,Z,4,20,5,no
1,0,10,32,5,73,8,0.099,148,COR,Z,4,20,5,yes
1,0,10,32,5,73,8,0.099,148,COR,Z,4,20,5,no
1,0,10,32,5,73,8,0.099,148,COR,Z,4,20,5,no
1,0,10,32,5,73,8,0.099,2,LVR,Z,1,2,5,yes
1,0,10,32,5,73,8,0.099,0,LVR,Z,0,0,5,no
1,0,10,32,5,73,8,0.099,0,LVR,Z,0,0,5,no
1,0,10,32,5,73,8,0.099,10,LVR,Z,3,12,5,yes
1,0,4,19,4,73,8,0.099,5,LVR,I,2,6,5,yes
1,0,4,19,4,73,8,0.099,5,LVR,I,2,6,5,yes
1,0,4,19,4,73,8,0.099,94,ROR,I,1,3,5,no
1,0,4,19,4,73,8,0.099,94,STD,I,1,3,5,yes
1,0,4,16,3,73,8,0.099,2,LVR,method,2,10,5,no
1,0,4,16,3,73,8,0.099,2,LVR,method,2,10,5,yes
1,0,4,16,3,73,8,0.099,2,ROR,method,2,10,5,no
1,0,4,16,3,73,8,0.099,2,ROR,method,2,10,5,yes
1,0,4,16,3,73,8,0.099,2,ROR,method,2,10,5,no
1,0,4,16,3,73,8,0.099,2,STD,method,1,5,5,yes
1,0,3,10,2,73,8,0.099,182,ROR,Z,4,17,5,no
1,0,3,10,2,73,8,0.099,0,LVR,Z,0,0,5,no
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,no
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,no
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,no
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,40,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,40,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,no
1,0,3,10,2,73,8,0.099,182,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,40,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,40,COR,Z,5,22,5,yes
1,0,3,10,2,73,8,0.099,94,LVR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,LVR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,AOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,AOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,AOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,AOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,COR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,94,COR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,46,LOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,46,LOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,2,LOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,2,LOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,46,LOR,I,2,6,5,yes
1,0,3,10,2,73,8,0.099,46,LOR,I,2,6,5,yes
1,0,6,15,2,73,8,0.099,148,ROR,Z,3,12,5,no
1,0,6,15,2,73,8,0.099,16,LVR,Z,3,12,5,yes
1,0,6,15,2,73,8,0.099,132,ROR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,132,ROR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,yes
1,0,6,15,2,73,8,0.099,0,LVR,Z,0,0,5,no
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,yes
1,0,6,15,2,73,8,0.099,132,COR,Z,4,20,5,yes
1,0,6,15,2,73,8,0.099,60,COR,Z,4,20,5,no
1,0,6,15,2,73,8,0.099,60,COR,Z,4,20,5,yes
1,0,10,30,2,73,8,0.099,72,COR,Z,3,6,5,no
1,0,10,30,2,73,8,0.099,72,COR,Z,3,6,5,yes
1,0,10,30,2,73,8,0.099,68,COR,Z,3,6,5,yes
1,0,10,30,2,73,8,0.099,68,COR,Z,3,6,5,yes
1,0,10,30,2,73,8,0.099,62,COR,Z,3,6,5,yes
1,0,10,30,2,73,8,0.099,62,COR,Z,3,6,5,yes
1,0,10,30,2,73,8,0.099,56,COR,Z,3,6,5,yes
